"survive","param.index","drug.outsideConcentration.MULT","mutant.effect","rate.efflux.DNA.switchOn.MULT","rate.efflux.protein.translation.MULT","extinction.time","extinction.time.sd","num.reps"
1,"1",0,50,1,1,NA,NA,1000
0.976,"2",0.5,50,1,1,42.1158206449598,27.3822914782392,1000
0.891,"3",0.7,50,1,1,59.7400930361723,44.9129947993049,1000
0.665,"4",0.9,50,1,1,102.416200629147,84.0527662316597,1000
0.565,"5",1,50,1,1,104.005740882668,84.0914379136723,1000
0.425,"6",1.1,50,1,1,97.8756110697435,71.3121783427541,1000
0.363,"7",1.2,50,1,1,99.2879157594899,77.2543103398403,1000
0.311,"8",1.3,50,1,1,88.1531764038072,71.8986554125954,1000
0.262,"9",1.4,50,1,1,86.4434396433424,70.9891722847515,1000
0.187,"10",1.5,50,1,1,78.780438993302,60.4463120125444,1000
0.133,"11",1.75,50,1,1,70.2526569510937,63.3231228786613,1000
0.113,"12",2,50,1,1,64.8872471172586,62.2358688862406,1000
0.073,"13",2.25,50,1,1,61.7584699329753,67.9824782653924,1000
0.053,"14",2.5,50,1,1,60.7033777382933,81.8509766318711,1000
0.024,"15",2.75,50,1,1,61.2769112864459,93.1851090126783,1000
0.02,"16",3,50,1,1,59.0151160284956,93.356008642595,1000
0.002,"17",3.5,50,1,1,49.5735774449718,76.0032736874901,1000
0,"18",4,50,1,1,46.2040949904674,79.8823463269772,1000
0,"19",4.5,50,1,1,42.3203972435475,62.3040086321881,1000
0,"20",5,50,1,1,35.8972250605601,47.7517659574379,1000
0,"21",6,50,1,1,28.5430314176681,35.3051725866042,1000
0,"22",7,50,1,1,25.7336616198423,27.8574814778968,1000
0,"23",8,50,1,1,23.0290282853675,24.0166430389196,1000
0,"24",9,50,1,1,21.0191065598626,19.6815387376601,1000
0,"25",10,50,1,1,20.935702787216,20.894618056355,1000
1,"26",0,50,2,0.5,NA,NA,1000
0.977,"27",0.5,50,2,0.5,35.4071092891617,29.6292237486676,1000
0.916,"28",0.7,50,2,0.5,59.141369227497,52.5338674227688,1000
0.813,"29",0.9,50,2,0.5,83.0171824261051,61.3584180176738,1000
0.703,"30",1,50,2,0.5,91.6587703295602,71.6891963592944,1000
0.604,"31",1.1,50,2,0.5,90.7198157923272,70.2141761570831,1000
0.531,"32",1.2,50,2,0.5,88.4195962480625,69.8735361016383,1000
0.458,"33",1.3,50,2,0.5,84.5438724284667,65.7049820678986,1000
0.403,"34",1.4,50,2,0.5,83.576379993868,67.9040982998605,1000
0.325,"35",1.5,50,2,0.5,77.2322861653078,70.2485337777165,1000
0.242,"36",1.75,50,2,0.5,77.4925460258051,70.72430302693,1000
0.172,"37",2,50,2,0.5,73.2754160061052,68.2057718628605,1000
0.089,"38",2.25,50,2,0.5,72.7769340648086,98.2388003184031,1000
0.059,"39",2.5,50,2,0.5,76.0340776685693,106.994199799715,1000
0.034,"40",2.75,50,2,0.5,72.5379598645104,111.515834104041,1000
0.011,"41",3,50,2,0.5,73.1757985111469,120.541545940534,1000
0,"42",3.5,50,2,0.5,58.487031578048,93.2613760926884,1000
0,"43",4,50,2,0.5,45.8784840436569,55.0182488407516,1000
0,"44",4.5,50,2,0.5,38.5267172284421,41.0084800189125,1000
0,"45",5,50,2,0.5,36.1786463226912,37.9072484825987,1000
0,"46",6,50,2,0.5,29.7238313727587,31.2566225993929,1000
0,"47",7,50,2,0.5,27.3245803293104,26.9957285209462,1000
0,"48",8,50,2,0.5,23.8324518377584,20.7653843880987,1000
0,"49",9,50,2,0.5,22.0117683900338,19.1778141430446,1000
0,"50",10,50,2,0.5,19.3894977424134,16.6646321297212,1000
1,"51",0,50,8,0.125,NA,NA,1000
0.986,"52",0.5,50,8,0.125,22.7344017549412,7.29569885691296,1000
0.96,"53",0.7,50,8,0.125,46.1837154424799,43.2427048752109,1000
0.895,"54",0.9,50,8,0.125,54.0585790804751,43.7292404259096,1000
0.85,"55",1,50,8,0.125,60.8366488690446,49.0420390104869,1000
0.825,"56",1.1,50,8,0.125,68.6016443595952,53.9899402886363,1000
0.763,"57",1.2,50,8,0.125,70.7514687353747,57.5926646413856,1000
0.707,"58",1.3,50,8,0.125,72.9881437756974,58.5611150688365,1000
0.593,"59",1.4,50,8,0.125,83.0044923512445,66.257495480158,1000
0.537,"60",1.5,50,8,0.125,86.417745892969,83.0647944442824,1000
0.344,"61",1.75,50,8,0.125,96.5463689930134,100.609443508793,1000
0.186,"62",2,50,8,0.125,105.020178081288,120.378303920232,1000
0.062,"63",2.25,50,8,0.125,117.200720523822,154.766305710415,1000
0.004,"64",2.5,50,8,0.125,103.740221036911,150.874957990326,1000
0.001,"65",2.75,50,8,0.125,86.5508065643037,113.620347664833,1000
0,"66",3,50,8,0.125,67.5449596667974,74.0344525013774,1000
0,"67",3.5,50,8,0.125,52.1248366829429,48.3534146197887,1000
0,"68",4,50,8,0.125,43.1337677383908,37.216903202084,1000
0,"69",4.5,50,8,0.125,37.5276017622439,31.2479289606982,1000
0,"70",5,50,8,0.125,32.9490095838922,25.6874991591264,1000
0,"71",6,50,8,0.125,28.8291388032928,20.7300631513458,1000
0,"72",7,50,8,0.125,24.048610468744,16.1883613633018,1000
0,"73",8,50,8,0.125,22.3185836388359,15.5227768669345,1000
0,"74",9,50,8,0.125,20.1823458538489,12.8491860333423,1000
0,"75",10,50,8,0.125,19.0486484805306,11.9657014925386,1000
1,"76",0,50,32,0.03125,NA,NA,1000
0.982,"77",0.5,50,32,0.03125,26.2456757556455,11.5890777010315,1000
0.95,"78",0.7,50,32,0.03125,36.6784122164076,29.1101508121568,1000
0.902,"79",0.9,50,32,0.03125,50.5614854919947,42.0545143660345,1000
0.871,"80",1,50,32,0.03125,52.23350454234,45.2796206761222,1000
0.797,"81",1.1,50,32,0.03125,68.894887971615,53.5027493754178,1000
0.71,"82",1.2,50,32,0.03125,82.4759131058486,67.5822216976243,1000
0.638,"83",1.3,50,32,0.03125,88.1290718668315,86.4076622907776,1000
0.475,"84",1.4,50,32,0.03125,104.29902031638,101.918946587151,1000
0.359,"85",1.5,50,32,0.03125,138.09869316221,136.282437700581,1000
0.048,"86",1.75,50,32,0.03125,173.825042980061,221.814102191904,1000
0,"87",2,50,32,0.03125,111.150812893365,124.055898740759,1000
0,"88",2.25,50,32,0.03125,84.2939627142091,71.6903055952601,1000
0,"89",2.5,50,32,0.03125,64.9923090852219,53.9525871140375,1000
0,"90",2.75,50,32,0.03125,56.4276812927245,41.8261915213724,1000
0,"91",3,50,32,0.03125,48.4475336123457,34.1480372457133,1000
0,"92",3.5,50,32,0.03125,40.4912230286804,25.9860880952313,1000
0,"93",4,50,32,0.03125,36.2390789966354,22.3468014641544,1000
0,"94",4.5,50,32,0.03125,29.9907714625992,19.4838847771014,1000
0,"95",5,50,32,0.03125,28.6269481114957,17.6948143690399,1000
0,"96",6,50,32,0.03125,24.6935929133725,14.9139968001514,1000
0,"97",7,50,32,0.03125,21.5339900599875,11.6742323088531,1000
0,"98",8,50,32,0.03125,20.341352467537,10.9958637460073,1000
0,"99",9,50,32,0.03125,18.1058930593504,9.67502649057193,1000
0,"100",10,50,32,0.03125,16.5227257754177,8.80056495945163,1000
