"sim.label","seed","param.index"
1,229774115,1
2,1690025779,1
3,672684497,1
21,120633860,1
22,752105897,1
23,1392390633,1
41,381932711,1
42,1391537609,1
43,1870994239,1
61,1025015514,1
62,1855872106,1
63,2057280705,1
81,80770133,1
82,548076439,1
83,1521510476,1
1,990050344,2
2,121072120,2
3,325168993,2
21,1739469731,2
22,1187291364,2
23,954042416,2
41,2089867612,2
42,1780989644,2
43,932044428,2
61,1822618795,2
62,1514299136,2
63,1330258751,2
81,1629178925,2
82,121500759,2
83,1336162076,2
1,1881174699,3
2,601392134,3
3,242823699,3
21,1514510106,3
22,1376705979,3
23,1627734804,3
41,1483986004,3
42,1242115031,3
43,1376836252,3
61,1388205671,3
62,2126997348,3
63,487284954,3
81,1949550188,3
82,1463362675,3
83,463809034,3
1,977146391,4
2,890786788,4
21,207370680,4
22,1480746605,4
41,1455006478,4
42,1893804101,4
61,352990586,4
62,711604255,4
81,963408940,4
82,64236793,4
1,363496842,5
2,894966636,5
3,1936687803,5
21,1942172440,5
22,678148399,5
23,1929865849,5
41,1023364327,5
42,2000464810,5
43,1119687911,5
61,2027349253,5
62,1869753617,5
63,1618176012,5
81,328206631,5
82,1789329657,5
83,1298774391,5
1,1043303649,6
2,277337274,6
3,591659812,6
21,1071296086,6
22,807841274,6
23,1225174220,6
41,71612986,6
42,600935852,6
43,1829481719,6
61,106242998,6
62,1089216198,6
63,901999568,6
81,1411177183,6
82,2025915477,6
83,285717513,6
1,160234756,7
2,731135833,7
3,1922319429,7
21,1371832593,7
22,456611184,7
23,1269599243,7
41,2097409648,7
42,1268763178,7
43,1701231433,7
61,1320683190,7
62,2087548222,7
63,1861337268,7
81,1920511086,7
82,1840791779,7
83,133168171,7
1,1393239370,8
2,590989916,8
21,1855953415,8
22,1868114091,8
41,925148802,8
42,1029324035,8
61,79512640,8
62,1995303254,8
81,504853517,8
82,1722554686,8
1,1551410709,9
2,1408214804,9
3,976545435,9
21,1355875815,9
22,1194124412,9
23,1068176965,9
41,332329992,9
42,347602034,9
43,1976405653,9
61,1521665031,9
62,1894989043,9
63,1016664016,9
81,1574592805,9
82,774035945,9
83,544916388,9
1,1495198092,10
2,2101155639,10
3,1294963678,10
21,1885854138,10
22,838920560,10
23,1776875767,10
41,1149596458,10
42,1275765178,10
43,2029957354,10
61,31475425,10
62,836237520,10
63,1411128207,10
81,678774462,10
82,170621,10
83,585078679,10
1,1405559913,11
2,1664107113,11
3,579937325,11
21,843028895,11
22,1223325399,11
23,2011317576,11
41,1195057941,11
42,1692729265,11
43,580349313,11
61,2053498442,11
62,597387015,11
63,788257156,11
81,1641781861,11
82,1199107582,11
83,1346008051,11
1,1668878637,12
2,295377063,12
3,1839802167,12
21,1677030650,12
22,564650540,12
23,1578710728,12
41,539892556,12
42,1520074147,12
43,1389699899,12
61,160576667,12
62,1457001179,12
63,1730403022,12
81,530046058,12
82,1598904974,12
83,590074588,12
1,1277673950,13
2,1560894711,13
3,446157627,13
4,1227863203,13
21,1528346201,13
22,381126496,13
23,1720769218,13
24,1896309233,13
41,1980695404,13
42,2139410972,13
43,231300293,13
44,2144287475,13
61,331030753,13
62,2056745592,13
63,1304972772,13
64,199265817,13
81,1232911960,13
82,690626575,13
83,1956150376,13
84,1820067143,13
1,1432051321,14
2,1209622587,14
3,1877395215,14
4,473860175,14
21,1884245148,14
22,894173455,14
23,1624775968,14
41,530041602,14
42,1770073477,14
43,1343234858,14
61,806584116,14
62,1554651623,14
63,112978366,14
64,1702456704,14
81,347770878,14
82,771681234,14
83,1389364420,14
84,263343123,14
1,218643747,15
2,1720467230,15
3,2025370062,15
21,1300992226,15
22,648286389,15
23,262831914,15
41,1088129525,15
42,1872974607,15
43,1289638921,15
61,1560169460,15
62,1378877859,15
63,1703545780,15
81,1705654905,15
82,802090116,15
83,1059695268,15
1,1084196628,16
2,1906613246,16
3,1618219539,16
21,281593129,16
22,828082335,16
23,2007988366,16
41,1716474040,16
42,691908887,16
43,3764667,16
61,954771289,16
62,420556404,16
63,1824480866,16
81,1246082898,16
82,1945779886,16
83,1983664034,16
1,989500214,17
2,555470547,17
3,741348949,17
4,1939851137,17
5,1386650883,17
21,2023484470,17
22,621863594,17
23,1774684097,17
24,768970699,17
25,1213002449,17
41,215669830,17
42,1046799509,17
43,114340837,17
44,199022185,17
45,2069003318,17
61,1813386485,17
62,780392237,17
63,1095654019,17
64,723516634,17
65,314674898,17
81,696626122,17
82,147298500,17
83,888571973,17
84,613346022,17
85,1029447325,17
1,1958158021,18
2,482598917,18
3,1613826740,18
4,60735202,18
21,1183922716,18
22,2127458742,18
23,1086132743,18
24,2047418932,18
41,428829115,18
42,1775869971,18
43,1410417996,18
44,1881384094,18
61,1010551726,18
62,2136685995,18
63,1553518598,18
64,511852559,18
81,444570967,18
82,330436921,18
83,638975262,18
84,1053139735,18
1,1325810025,19
2,1275298037,19
3,817500246,19
21,7394365,19
22,1335005977,19
23,1400916032,19
41,299103704,19
42,1907658141,19
43,1158660046,19
61,1634973167,19
62,1236319980,19
63,41183488,19
81,196323488,19
82,1851798232,19
83,367454629,19
1,778806306,20
2,369580650,20
3,1087373809,20
21,549018311,20
22,228110164,20
23,1228975592,20
41,964707393,20
42,867199506,20
43,687875297,20
61,1184480374,20
62,2095135893,20
63,1547672191,20
81,788869746,20
82,1337280416,20
83,1037017571,20
1,1358583414,21
2,1384295925,21
3,1755272255,21
4,2075477963,21
5,624434212,21
6,869689306,21
21,274223703,21
22,772092637,21
23,1267633763,21
24,107003478,21
25,109796049,21
26,891167108,21
41,1452596613,21
42,140705509,21
43,347635087,21
44,1543633454,21
45,1398590277,21
46,1169228872,21
61,542277924,21
62,1388999807,21
63,1537588473,21
64,2060303469,21
65,1438060239,21
66,138753125,21
81,240920136,21
82,816379784,21
83,1560232527,21
84,1988458335,21
85,256947798,21
86,1069330939,21
1,678469141,22
2,1978711401,22
3,354791826,22
4,1398320432,22
5,863778293,22
21,587027632,22
22,1084718532,22
23,1594515570,22
24,1179191084,22
25,425440405,22
41,1649799853,22
42,1438137835,22
43,1851076413,22
44,2143190233,22
45,555018911,22
61,1125960520,22
62,1204706478,22
63,1571081599,22
64,166716699,22
65,1966114937,22
81,875442828,22
82,145768938,22
83,983377514,22
84,86732690,22
85,1715941372,22
