"sim.label","seed","param.index"
1,905281432,1
2,39563243,1
3,2058390564,1
21,1180294656,1
22,224928643,1
23,1731914798,1
41,2062648586,1
42,481551124,1
43,722682244,1
61,1766148135,1
62,734258824,1
63,856881988,1
81,919767683,1
82,254779251,1
83,2093762547,1
1,924541732,2
2,737051014,2
3,546410156,2
21,1368260676,2
22,978672533,2
23,650210820,2
41,135622419,2
42,835913691,2
43,1349083478,2
61,1336934188,2
62,820194791,2
63,525806986,2
81,1480306312,2
82,422209154,2
83,1793097864,2
1,813167780,3
2,151924371,3
3,586114755,3
21,611730892,3
22,595693945,3
23,326201213,3
41,1502532573,3
42,1974183098,3
43,346632787,3
61,920819454,3
62,1653949816,3
63,1397093817,3
81,829264437,3
82,618177024,3
83,637951422,3
1,397078269,4
2,1553149973,4
3,28363368,4
21,627474814,4
22,519292605,4
23,1252714782,4
41,388413486,4
42,1371839664,4
43,2014312183,4
61,251576336,4
62,511119124,4
63,596714264,4
81,1673756359,4
82,2020993996,4
83,1916846132,4
1,1458642691,5
2,830739897,5
3,1927559381,5
21,1321074960,5
22,241021519,5
23,1914740964,5
41,550001373,5
42,1424182971,5
43,1298913975,5
61,1353244077,5
62,339795019,5
63,660832398,5
81,2092986335,5
82,230511340,5
83,1991364161,5
1,1442903391,6
2,1351614192,6
3,755800190,6
21,737609923,6
22,806330801,6
23,763418557,6
41,1271226078,6
42,28138083,6
43,979763686,6
61,1999286717,6
62,1707560928,6
63,1463663531,6
81,1260784454,6
82,1578945454,6
83,178904182,6
1,50973486,7
2,1418796653,7
3,1501447395,7
21,1329740559,7
22,2072871002,7
23,1082383660,7
41,669016688,7
42,578714158,7
43,478938023,7
61,1567416268,7
62,524619873,7
63,2020480927,7
81,323005488,7
82,1155380910,7
83,1715654076,7
1,610114009,8
2,1754482893,8
3,1437724144,8
21,1261099589,8
22,1612399919,8
23,1066440248,8
41,323597038,8
42,1087593325,8
43,1961669079,8
61,2025708248,8
62,1870757617,8
63,131431185,8
81,207238657,8
82,1166373968,8
83,1654751404,8
1,974660858,9
2,2094456876,9
3,563846859,9
21,1390026057,9
22,1839501808,9
23,950056196,9
41,262274576,9
42,364924338,9
43,1241856629,9
61,1786557688,9
62,1373729593,9
63,928249505,9
81,697264644,9
82,803802812,9
83,372023551,9
1,2011641678,10
2,137892960,10
3,965775680,10
21,23110840,10
22,797188521,10
23,243825694,10
41,1117205554,10
42,367957706,10
43,1150227623,10
61,971386190,10
62,400949544,10
63,2127470615,10
81,570100074,10
82,1667296859,10
83,801333609,10
1,1310833599,11
2,191717944,11
3,2104083426,11
21,403006542,11
22,179614150,11
23,1479762620,11
41,685875999,11
42,383173063,11
43,386742539,11
61,1275540518,11
62,87563957,11
63,1269380831,11
81,1274307274,11
82,1556137819,11
83,2014498913,11
1,1408620146,12
2,264035276,12
3,723667462,12
21,792244977,12
22,373518628,12
23,229526199,12
41,516963660,12
42,274219408,12
43,1670612680,12
61,1025579272,12
62,1050027980,12
63,160987002,12
81,1788445505,12
82,440263247,12
83,78032350,12
1,1401207806,13
2,655329722,13
3,192900116,13
4,625342710,13
21,1594699860,13
22,953399429,13
23,532424555,13
24,108264960,13
41,1234053692,13
42,1133397978,13
43,603476850,13
44,1115107449,13
61,188811248,13
62,1049890301,13
63,255661603,13
64,1828682491,13
81,779309323,13
82,348081310,13
83,1070678128,13
84,956011170,13
1,2049102741,14
2,1989229521,14
3,195287929,14
4,492134634,14
5,1428407533,14
6,254896908,14
21,624333179,14
22,535263003,14
23,1038975939,14
24,1184148319,14
25,1901624502,14
26,817463957,14
41,892955091,14
42,347340505,14
43,692991300,14
44,222142580,14
45,293967941,14
46,243631847,14
61,146369042,14
62,522392209,14
63,1044403580,14
64,1084182243,14
