"sim.label","seed","param.index"
1,78718784,1
2,1324122890,1
21,2023531220,1
41,757350003,1
61,2145908098,1
81,2052105087,1
1,3157688,2
21,130665338,2
41,1991706917,2
61,245200864,2
81,1671974754,2
1,619839929,3
2,1091098857,3
21,679363514,3
22,700566715,3
41,965431103,3
42,912010660,3
61,694266276,3
62,348807707,3
81,1652424604,3
82,1943740759,3
1,2096664037,4
2,1400309460,4
21,1005364017,4
22,175418547,4
41,1329881746,4
42,1325251544,4
61,799609538,4
62,2101760798,4
81,76863439,4
82,1343086554,4
1,1412780094,5
2,851515362,5
21,375053341,5
22,405258608,5
41,1419516452,5
42,1762433124,5
61,1377500869,5
62,1034264079,5
81,548688967,5
82,49536435,5
1,395082513,6
2,1098746446,6
3,2043354893,6
21,228912851,6
22,239817211,6
23,1940274382,6
41,1670086321,6
42,1384406864,6
43,289439376,6
61,1111260836,6
62,1120499243,6
63,473052123,6
81,1593502013,6
82,481160459,6
83,404704456,6
1,920263637,7
2,448873138,7
3,1393043565,7
4,342086531,7
5,334384103,7
21,1559863421,7
22,571563748,7
23,1219965587,7
24,1390723288,7
25,2078260708,7
41,1356019903,7
42,1251440330,7
43,432536040,7
44,1058217229,7
45,552268658,7
61,1826493180,7
62,1549024570,7
63,1991785080,7
64,1092284239,7
65,114129336,7
81,888515535,7
82,453427734,7
83,1587520745,7
84,1017637240,7
85,1091845542,7
1,2042926338,8
2,2143922341,8
3,888732656,8
4,1646986331,8
5,123502004,8
6,527779472,8
7,260510727,8
8,1534534776,8
9,1517080251,8
10,2087683589,8
21,1537866369,8
22,266366712,8
23,1502200788,8
24,200690964,8
25,597049423,8
26,684493722,8
27,1126466343,8
28,2138811267,8
29,1102826630,8
30,2077247842,8
41,2094339910,8
42,250639340,8
43,68958921,8
44,502649005,8
45,73926777,8
46,66937518,8
47,665561356,8
48,709263156,8
49,2118983859,8
61,1105727017,8
62,1314582945,8
63,730537933,8
64,1528643382,8
65,1136047854,8
66,1195038588,8
67,1258722311,8
68,337643982,8
69,1136157166,8
81,1553025215,8
82,1043979058,8
83,880304984,8
84,1000266494,8
85,1923621265,8
86,579232667,8
87,209261985,8
88,1246497790,8
89,1268199709,8
1,2123571743,9
2,1925069616,9
3,1681740457,9
4,663887901,9
5,954605411,9
6,2069668109,9
7,1868999751,9
8,235262925,9
9,154605461,9
10,1230144050,9
11,473362712,9
12,171901018,9
13,1721604971,9
14,1601434604,9
15,319195488,9
16,1590390752,9
17,1111049315,9
18,1074015009,9
19,37448133,9
20,775982365,9
21,372796846,9
22,1930210180,9
23,204661651,9
24,1805127271,9
25,268256972,9
26,1311457768,9
27,289925415,9
28,344260437,9
29,1973404951,9
30,570940240,9
31,665166501,9
32,1336875669,9
33,2143828550,9
34,735472781,9
35,1393461445,9
36,1145822648,9
37,1237768484,9
38,1067137182,9
39,1381639941,9
40,1674616288,9
41,1223759559,9
42,125934784,9
43,488822959,9
44,1148142498,9
45,1011269387,9
46,664339453,9
47,1545194456,9
48,1159484746,9
49,1436295423,9
50,815836814,9
51,1436757949,9
52,672376979,9
53,151486029,9
54,227919510,9
55,2096298466,9
56,895133892,9
57,2019468218,9
58,1654858184,9
59,179778854,9
60,145219557,9
61,993181920,9
62,986175122,9
63,1200390686,9
64,1234435333,9
65,871454808,9
66,1574736028,9
67,719162322,9
68,916506515,9
69,826590631,9
70,87202976,9
71,153730781,9
72,336016768,9
73,5424695,9
74,1754150137,9
75,291264982,9
76,1343687,9
77,672187564,9
78,476612674,9
79,1480678961,9
80,2072574576,9
81,1465367198,9
82,867925527,9
83,1046136964,9
84,1607601277,9
85,758632498,9
86,763291117,9
87,1849120736,9
88,1384412866,9
89,962953063,9
90,85741748,9
91,589486054,9
92,402206008,9
93,1363897385,9
94,1141584176,9
95,271552403,9
96,1265428817,9
97,2107689231,9
98,816735896,9
99,1934939980,9
100,1617999334,9
1,1856664609,10
2,1743986372,10
3,1679298643,10
4,1449479760,10
5,1662663546,10
6,1534162863,10
7,958994279,10
8,1836408958,10
9,1282914146,10
10,324073825,10
11,819327452,10
12,1520654497,10
13,831191641,10
14,859811006,10
15,1009053904,10
16,240580704,10
17,1263099893,10
18,964632620,10
19,136733648,10
20,345340703,10
21,1094510064,10
22,690911078,10
23,549236074,10
24,716522302,10
25,80175412,10
26,1515411229,10
27,1478226431,10
28,1326443172,10
29,536456763,10
30,1835175826,10
31,454990060,10
32,603479654,10
33,399492166,10
34,1263858086,10
35,1824648160,10
36,1558551308,10
37,1529685719,10
38,1624440816,10
39,449949222,10
40,1646462948,10
41,1386743957,10
42,1282969267,10
43,992878605,10
44,1300632945,10
45,1919119645,10
46,1146321437,10
47,2074805651,10
48,1568781959,10
49,503724485,10
50,1714609862,10
51,646971144,10
52,2002028237,10
53,983330451,10
54,500624775,10
55,421196822,10
56,713114133,10
57,692493774,10
58,1669373860,10
59,432305251,10
60,1378267493,10
61,1708481970,10
62,372670728,10
63,994988509,10
64,264900074,10
65,766709697,10
66,159593729,10
67,1262837984,10
68,1077089475,10
69,1677531939,10
70,1265234552,10
71,2114589313,10
72,981677361,10
73,19702151,10
74,2018388008,10
75,241730227,10
76,796869283,10
77,876472443,10
78,78674801,10
79,248659311,10
80,991196322,10
81,543066261,10
82,1678097435,10
83,1431554539,10
84,343941408,10
85,448696016,10
86,332569453,10
87,1931207164,10
88,1134792568,10
89,79071618,10
90,1861157848,10
91,1287706585,10
92,1064766703,10
93,1113686172,10
94,1814918298,10
95,2028273470,10
96,3996371,10
97,848098932,10
98,1033317151,10
99,1027997087,10
100,615324159,10
1,842239830,11
2,342298972,11
3,1943671281,11
4,1131909194,11
5,1969812093,11
6,437074323,11
7,1567839598,11
8,1926522989,11
9,1462182573,11
10,1398512861,11
11,768891460,11
12,1673146724,11
13,916867686,11
14,1530838070,11
15,875167110,11
16,162240207,11
17,1726632613,11
18,1208591008,11
19,1458934618,11
20,1601920402,11
21,1288831750,11
22,1455890619,11
23,1512566278,11
24,1997689067,11
25,2104060149,11
26,704150934,11
27,1714163681,11
28,947461246,11
29,1109027066,11
30,873020562,11
31,838052710,11
32,761238901,11
33,885400646,11
34,1830605158,11
35,2006812176,11
36,639301579,11
37,753621054,11
38,178437794,11
39,442434472,11
40,445579048,11
41,803000641,11
42,1614142296,11
43,1005267076,11
44,325193872,11
45,478248606,11
46,1634441163,11
47,2048632327,11
48,307505579,11
49,24714131,11
50,1495342170,11
51,1104569254,11
52,1409120383,11
53,795317956,11
54,1147214099,11
55,1901956047,11
56,675799453,11
57,448240074,11
58,153185733,11
59,895780659,11
60,1104988131,11
61,207961479,11
62,544399569,11
63,694605631,11
64,1691381380,11
65,1901377584,11
66,446094860,11
67,1718945540,11
68,1997410052,11
69,1436000641,11
70,1763767714,11
71,444938411,11
72,1968722222,11
73,1231840462,11
74,1639486077,11
75,603266062,11
76,500849444,11
77,580865180,11
78,1873518542,11
79,706178424,11
80,1907464608,11
81,864022432,11
82,1050007625,11
83,1229755605,11
84,1128344448,11
85,1888281190,11
86,1324479349,11
87,1685114405,11
88,1014492986,11
89,1867577552,11
90,1636283883,11
91,2085242361,11
92,1100234685,11
93,639452531,11
94,545430932,11
95,1744740591,11
96,1536456976,11
97,1188571626,11
98,478050843,11
99,1620575348,11
100,1777466192,11
1,734458938,12
2,1132444134,12
3,164257797,12
4,713583362,12
5,1202664351,12
6,792017264,12
7,406400591,12
8,953150908,12
9,1054779162,12
10,1777635330,12
11,394746474,12
12,1261016221,12
13,821130438,12
14,989061492,12
15,1608167223,12
16,902746961,12
17,1901177084,12
18,676696313,12
19,1541290123,12
20,260358757,12
21,1983190726,12
22,113706248,12
23,1259233332,12
24,1299654014,12
25,8036586,12
26,1163273847,12
27,1903056282,12
28,1427150411,12
29,405862946,12
30,1394416184,12
31,127967460,12
32,1211911896,12
33,332292746,12
34,844877022,12
35,36015561,12
36,487016675,12
37,776476346,12
38,1728401580,12
39,1342770174,12
40,171150729,12
41,1139247378,12
42,1543442982,12
43,1934205253,12
44,346847529,12
45,1861801642,12
46,594865312,12
47,1636489923,12
48,97948826,12
49,2054555792,12
50,891007130,12
51,833499776,12
52,1612439089,12
53,2110454059,12
54,1359905003,12
55,2039483525,12
56,1533135515,12
57,723358223,12
58,1513146817,12
59,1878671202,12
60,1815737899,12
61,1530442365,12
62,1272811895,12
63,1533091397,12
64,1021641401,12
65,1893997821,12
66,136835139,12
67,633561270,12
68,44957424,12
69,1864870942,12
70,2017874461,12
71,84095350,12
72,1856604747,12
73,1425666941,12
74,2134013494,12
75,875454123,12
76,61405896,12
77,1395615748,12
78,1342857209,12
79,1651408666,12
80,2052387111,12
81,14801899,12
82,1364345012,12
83,1072671943,12
84,389279853,12
85,1201370242,12
86,650649753,12
87,714567425,12
88,1311166450,12
89,742275512,12
90,1771342921,12
91,793632518,12
92,60388648,12
93,1667481019,12
94,2028710560,12
95,1489323888,12
96,1448319510,12
97,1292404909,12
98,1241705499,12
99,539124201,12
100,918297213,12
1,500430448,13
2,131683646,13
3,1093264687,13
4,1347284746,13
5,346115268,13
6,643831931,13
7,1479840592,13
8,890860597,13
9,1051998947,13
10,700232844,13
11,1243296184,13
12,392161422,13
13,1251762284,13
14,1487545224,13
15,802312510,13
16,70681400,13
17,528892950,13
18,58088062,13
19,1931453774,13
20,2061175932,13
21,1830595172,13
22,2088948048,13
23,31623286,13
24,1073128396,13
25,1541209187,13
26,174569539,13
27,931181173,13
28,1780578947,13
29,1460493572,13
30,1675200938,13
31,564999502,13
32,2056156978,13
33,1417214829,13
34,1662741324,13
35,24189037,13
36,99262217,13
37,457640814,13
38,2078096380,13
39,244204338,13
40,1075458404,13
41,60291570,13
42,1580787451,13
43,88377744,13
44,1685700790,13
45,704148004,13
46,39063141,13
47,2060468949,13
48,150865632,13
49,1579950887,13
50,1473064705,13
51,1413805282,13
52,1074394018,13
53,146090449,13
54,696031476,13
55,743259308,13
56,1097923825,13
57,1304748341,13
58,1132651660,13
59,607167878,13
60,71723109,13
61,1539025737,13
62,422324847,13
63,990779181,13
64,470967932,13
65,319938826,13
66,175483869,13
67,1827931564,13
68,2074347782,13
69,1915636407,13
70,1741647217,13
71,2138588541,13
72,2104834797,13
73,1739384518,13
74,1100786492,13
75,1930747149,13
76,957937627,13
77,623345438,13
78,1391526784,13
79,833090836,13
80,2126540532,13
81,569980394,13
82,676638433,13
83,1904551743,13
84,1223971349,13
85,926730003,13
86,1622856543,13
87,1226922409,13
88,1690087024,13
89,1509868371,13
90,120422073,13
91,1955552848,13
92,230420303,13
93,163925261,13
94,1607747806,13
95,866121951,13
96,1310924453,13
97,193765671,13
98,659152703,13
99,1660360375,13
100,567503744,13
1,1109785054,14
2,696981847,14
3,1079485963,14
4,1301187083,14
5,1740594674,14
6,233243976,14
7,2043451218,14
8,183558692,14
9,1711478252,14
10,1132887251,14
11,250600328,14
12,225585597,14
13,352816636,14
14,845985904,14
15,1289891392,14
16,436317165,14
17,53068622,14
18,1086295939,14
19,1071668530,14
20,1995211919,14
21,1590917836,14
22,417487229,14
23,93045514,14
24,810401509,14
25,1274370151,14
26,4377805,14
27,2012648937,14
28,837842582,14
29,519622354,14
30,1620349909,14
31,103844874,14
32,84280330,14
33,48846052,14
34,349891460,14
35,2115459231,14
