"sample.time","num.cells","param.index","mutant.effect","drug.outsideConcentration.MULT","efflux.binom.param","cell.type"
0,6000,"1",1,0.1,0.5,"WT"
10,5998,"1",1,0.1,0.5,"WT"
20,6068,"1",1,0.1,0.5,"WT"
30,11966,"1",1,0.1,0.5,"WT"
40,11948,"1",1,0.1,0.5,"WT"
50,23781,"1",1,0.1,0.5,"WT"
60,23709,"1",1,0.1,0.5,"WT"
70,44815,"1",1,0.1,0.5,"WT"
80,46997,"1",1,0.1,0.5,"WT"
90,70080,"1",1,0.1,0.5,"WT"
100,93042,"1",1,0.1,0.5,"WT"
110,107432,"1",1,0.1,0.5,"WT"
120,183976,"1",1,0.1,0.5,"WT"
130,189642,"1",1,0.1,0.5,"WT"
140,357559,"1",1,0.1,0.5,"WT"
150,364680,"1",1,0.1,0.5,"WT"
160,647137,"1",1,0.1,0.5,"WT"
170,717379,"1",1,0.1,0.5,"WT"
180,1067721,"1",1,0.1,0.5,"WT"
0,5000,"2",1,0.125892541179417,0.5,"WT"
10,5000,"2",1,0.125892541179417,0.5,"WT"
20,5073,"2",1,0.125892541179417,0.5,"WT"
30,9970,"2",1,0.125892541179417,0.5,"WT"
40,9939,"2",1,0.125892541179417,0.5,"WT"
50,19742,"2",1,0.125892541179417,0.5,"WT"
60,19641,"2",1,0.125892541179417,0.5,"WT"
70,36998,"2",1,0.125892541179417,0.5,"WT"
80,38759,"2",1,0.125892541179417,0.5,"WT"
90,57611,"2",1,0.125892541179417,0.5,"WT"
100,76435,"2",1,0.125892541179417,0.5,"WT"
110,87932,"2",1,0.125892541179417,0.5,"WT"
120,150480,"2",1,0.125892541179417,0.5,"WT"
130,154561,"2",1,0.125892541179417,0.5,"WT"
140,291135,"2",1,0.125892541179417,0.5,"WT"
150,295762,"2",1,0.125892541179417,0.5,"WT"
160,524500,"2",1,0.125892541179417,0.5,"WT"
170,579083,"2",1,0.125892541179417,0.5,"WT"
180,860260,"2",1,0.125892541179417,0.5,"WT"
0,10000,"3",1,0.158489319246111,0.5,"WT"
10,9998,"3",1,0.158489319246111,0.5,"WT"
20,10110,"3",1,0.158489319246111,0.5,"WT"
30,19883,"3",1,0.158489319246111,0.5,"WT"
40,19784,"3",1,0.158489319246111,0.5,"WT"
50,39180,"3",1,0.158489319246111,0.5,"WT"
60,38861,"3",1,0.158489319246111,0.5,"WT"
70,73172,"3",1,0.158489319246111,0.5,"WT"
80,76213,"3",1,0.158489319246111,0.5,"WT"
90,113403,"3",1,0.158489319246111,0.5,"WT"
100,149099,"3",1,0.158489319246111,0.5,"WT"
110,171306,"3",1,0.158489319246111,0.5,"WT"
120,291067,"3",1,0.158489319246111,0.5,"WT"
130,297900,"3",1,0.158489319246111,0.5,"WT"
140,559039,"3",1,0.158489319246111,0.5,"WT"
150,565284,"3",1,0.158489319246111,0.5,"WT"
160,999864,"3",1,0.158489319246111,0.5,"WT"
170,1097806,"3",1,0.158489319246111,0.5,"WT"
180,1627835,"3",1,0.158489319246111,0.5,"WT"
0,10000,"4",1,0.199526231496888,0.5,"WT"
10,9993,"4",1,0.199526231496888,0.5,"WT"
20,10101,"4",1,0.199526231496888,0.5,"WT"
30,19828,"4",1,0.199526231496888,0.5,"WT"
40,19667,"4",1,0.199526231496888,0.5,"WT"
50,38852,"4",1,0.199526231496888,0.5,"WT"
60,38380,"4",1,0.199526231496888,0.5,"WT"
70,71914,"4",1,0.199526231496888,0.5,"WT"
80,74491,"4",1,0.199526231496888,0.5,"WT"
90,109924,"4",1,0.199526231496888,0.5,"WT"
100,144022,"4",1,0.199526231496888,0.5,"WT"
110,164455,"4",1,0.199526231496888,0.5,"WT"
120,278054,"4",1,0.199526231496888,0.5,"WT"
130,282965,"4",1,0.199526231496888,0.5,"WT"
140,527995,"4",1,0.199526231496888,0.5,"WT"
150,530716,"4",1,0.199526231496888,0.5,"WT"
160,932011,"4",1,0.199526231496888,0.5,"WT"
170,1017577,"4",1,0.199526231496888,0.5,"WT"
180,1499085,"4",1,0.199526231496888,0.5,"WT"
0,10000,"5",1,0.251188643150958,0.5,"WT"
10,9995,"5",1,0.251188643150958,0.5,"WT"
20,10077,"5",1,0.251188643150958,0.5,"WT"
30,19768,"5",1,0.251188643150958,0.5,"WT"
40,19523,"5",1,0.251188643150958,0.5,"WT"
50,38370,"5",1,0.251188643150958,0.5,"WT"
60,37662,"5",1,0.251188643150958,0.5,"WT"
70,69871,"5",1,0.251188643150958,0.5,"WT"
80,71957,"5",1,0.251188643150958,0.5,"WT"
90,105203,"5",1,0.251188643150958,0.5,"WT"
100,137060,"5",1,0.251188643150958,0.5,"WT"
110,155030,"5",1,0.251188643150958,0.5,"WT"
120,259836,"5",1,0.251188643150958,0.5,"WT"
130,262301,"5",1,0.251188643150958,0.5,"WT"
140,483952,"5",1,0.251188643150958,0.5,"WT"
150,482629,"5",1,0.251188643150958,0.5,"WT"
160,838500,"5",1,0.251188643150958,0.5,"WT"
170,907804,"5",1,0.251188643150958,0.5,"WT"
180,1321432,"5",1,0.251188643150958,0.5,"WT"
0,15000,"6",1,0.316227766016838,0.5,"WT"
10,14981,"6",1,0.316227766016838,0.5,"WT"
20,15084,"6",1,0.316227766016838,0.5,"WT"
30,29383,"6",1,0.316227766016838,0.5,"WT"
40,28881,"6",1,0.316227766016838,0.5,"WT"
50,56340,"6",1,0.316227766016838,0.5,"WT"
60,54791,"6",1,0.316227766016838,0.5,"WT"
70,100660,"6",1,0.316227766016838,0.5,"WT"
80,102448,"6",1,0.316227766016838,0.5,"WT"
90,147831,"6",1,0.316227766016838,0.5,"WT"
100,189878,"6",1,0.316227766016838,0.5,"WT"
110,211457,"6",1,0.316227766016838,0.5,"WT"
120,350525,"6",1,0.316227766016838,0.5,"WT"
130,348674,"6",1,0.316227766016838,0.5,"WT"
140,635035,"6",1,0.316227766016838,0.5,"WT"
150,624479,"6",1,0.316227766016838,0.5,"WT"
160,1070260,"6",1,0.316227766016838,0.5,"WT"
170,1142722,"6",1,0.316227766016838,0.5,"WT"
180,1639605,"6",1,0.316227766016838,0.5,"WT"
0,25000,"7",1,0.398107170553497,0.5,"WT"
10,24974,"7",1,0.398107170553497,0.5,"WT"
20,25070,"7",1,0.398107170553497,0.5,"WT"
30,48501,"7",1,0.398107170553497,0.5,"WT"
40,47203,"7",1,0.398107170553497,0.5,"WT"
50,90714,"7",1,0.398107170553497,0.5,"WT"
60,86967,"7",1,0.398107170553497,0.5,"WT"
70,156841,"7",1,0.398107170553497,0.5,"WT"
80,156840,"7",1,0.398107170553497,0.5,"WT"
90,221956,"7",1,0.398107170553497,0.5,"WT"
100,279966,"7",1,0.398107170553497,0.5,"WT"
110,305385,"7",1,0.398107170553497,0.5,"WT"
120,495755,"7",1,0.398107170553497,0.5,"WT"
130,483025,"7",1,0.398107170553497,0.5,"WT"
140,860327,"7",1,0.398107170553497,0.5,"WT"
150,828467,"7",1,0.398107170553497,0.5,"WT"
160,1387912,"7",1,0.398107170553497,0.5,"WT"
170,1450920,"7",1,0.398107170553497,0.5,"WT"
180,2036839,"7",1,0.398107170553497,0.5,"WT"
0,47000,"8",1,0.501187233627272,0.5,"WT"
10,46910,"8",1,0.501187233627272,0.5,"WT"
20,46927,"8",1,0.501187233627272,0.5,"WT"
30,90024,"8",1,0.501187233627272,0.5,"WT"
40,86256,"8",1,0.501187233627272,0.5,"WT"
50,162433,"8",1,0.501187233627272,0.5,"WT"
60,152150,"8",1,0.501187233627272,0.5,"WT"
70,267652,"8",1,0.501187233627272,0.5,"WT"
80,260429,"8",1,0.501187233627272,0.5,"WT"
90,358432,"8",1,0.501187233627272,0.5,"WT"
100,437724,"8",1,0.501187233627272,0.5,"WT"
110,464343,"8",1,0.501187233627272,0.5,"WT"
120,728362,"8",1,0.501187233627272,0.5,"WT"
130,689019,"8",1,0.501187233627272,0.5,"WT"
140,1186995,"8",1,0.501187233627272,0.5,"WT"
150,1108900,"8",1,0.501187233627272,0.5,"WT"
160,1799903,"8",1,0.501187233627272,0.5,"WT"
170,1821939,"8",1,0.501187233627272,0.5,"WT"
180,2480256,"8",1,0.501187233627272,0.5,"WT"
0,100000,"9",1,0.630957344480193,0.5,"WT"
10,99734,"9",1,0.630957344480193,0.5,"WT"
20,99065,"9",1,0.630957344480193,0.5,"WT"
30,187106,"9",1,0.630957344480193,0.5,"WT"
40,175218,"9",1,0.630957344480193,0.5,"WT"
50,319922,"9",1,0.630957344480193,0.5,"WT"
60,289915,"9",1,0.630957344480193,0.5,"WT"
70,489486,"9",1,0.630957344480193,0.5,"WT"
80,458131,"9",1,0.630957344480193,0.5,"WT"
90,602541,"9",1,0.630957344480193,0.5,"WT"
100,705347,"9",1,0.630957344480193,0.5,"WT"
110,714750,"9",1,0.630957344480193,0.5,"WT"
120,1070164,"9",1,0.630957344480193,0.5,"WT"
130,966616,"9",1,0.630957344480193,0.5,"WT"
140,1587860,"9",1,0.630957344480193,0.5,"WT"
150,1418014,"9",1,0.630957344480193,0.5,"WT"
160,2191022,"9",1,0.630957344480193,0.5,"WT"
170,2117163,"9",1,0.630957344480193,0.5,"WT"
180,2743473,"9",1,0.630957344480193,0.5,"WT"
0,100000,"10",1,0.794328234724281,0.5,"WT"
10,99580,"10",1,0.794328234724281,0.5,"WT"
20,97944,"10",1,0.794328234724281,0.5,"WT"
30,180797,"10",1,0.794328234724281,0.5,"WT"
40,163708,"10",1,0.794328234724281,0.5,"WT"
50,285601,"10",1,0.794328234724281,0.5,"WT"
60,246444,"10",1,0.794328234724281,0.5,"WT"
70,392024,"10",1,0.794328234724281,0.5,"WT"
80,346444,"10",1,0.794328234724281,0.5,"WT"
90,425965,"10",1,0.794328234724281,0.5,"WT"
100,467806,"10",1,0.794328234724281,0.5,"WT"
110,443889,"10",1,0.794328234724281,0.5,"WT"
120,620167,"10",1,0.794328234724281,0.5,"WT"
130,524694,"10",1,0.794328234724281,0.5,"WT"
140,801611,"10",1,0.794328234724281,0.5,"WT"
150,669497,"10",1,0.794328234724281,0.5,"WT"
160,961831,"10",1,0.794328234724281,0.5,"WT"
170,868081,"10",1,0.794328234724281,0.5,"WT"
180,1048361,"10",1,0.794328234724281,0.5,"WT"
0,100000,"11",1,1,0.5,"WT"
10,99423,"11",1,1,0.5,"WT"
20,96215,"11",1,1,0.5,"WT"
30,171376,"11",1,1,0.5,"WT"
40,147434,"11",1,1,0.5,"WT"
50,240613,"11",1,1,0.5,"WT"
60,192786,"11",1,1,0.5,"WT"
70,280882,"11",1,1,0.5,"WT"
80,227825,"11",1,1,0.5,"WT"
90,255302,"11",1,1,0.5,"WT"
100,255169,"11",1,1,0.5,"WT"
110,219531,"11",1,1,0.5,"WT"
120,277976,"11",1,1,0.5,"WT"
130,213932,"11",1,1,0.5,"WT"
140,294411,"11",1,1,0.5,"WT"
150,223523,"11",1,1,0.5,"WT"
160,289875,"11",1,1,0.5,"WT"
170,237321,"11",1,1,0.5,"WT"
180,259408,"11",1,1,0.5,"WT"
0,100000,"12",1,1.25892541179417,0.5,"WT"
10,99037,"12",1,1.25892541179417,0.5,"WT"
20,93567,"12",1,1.25892541179417,0.5,"WT"
30,158665,"12",1,1.25892541179417,0.5,"WT"
40,126591,"12",1,1.25892541179417,0.5,"WT"
50,186854,"12",1,1.25892541179417,0.5,"WT"
60,134976,"12",1,1.25892541179417,0.5,"WT"
70,173879,"12",1,1.25892541179417,0.5,"WT"
80,125408,"12",1,1.25892541179417,0.5,"WT"
90,123377,"12",1,1.25892541179417,0.5,"WT"
100,108626,"12",1,1.25892541179417,0.5,"WT"
110,82204,"12",1,1.25892541179417,0.5,"WT"
120,90787,"12",1,1.25892541179417,0.5,"WT"
130,61145,"12",1,1.25892541179417,0.5,"WT"
140,73328,"12",1,1.25892541179417,0.5,"WT"
150,48922,"12",1,1.25892541179417,0.5,"WT"
160,55396,"12",1,1.25892541179417,0.5,"WT"
170,39569,"12",1,1.25892541179417,0.5,"WT"
180,37187,"12",1,1.25892541179417,0.5,"WT"
0,100000,"13",1,1.58489319246111,0.5,"WT"
10,98590,"13",1,1.58489319246111,0.5,"WT"
20,90004,"13",1,1.58489319246111,0.5,"WT"
30,141605,"13",1,1.58489319246111,0.5,"WT"
40,101625,"13",1,1.58489319246111,0.5,"WT"
50,130944,"13",1,1.58489319246111,0.5,"WT"
60,82016,"13",1,1.58489319246111,0.5,"WT"
70,89162,"13",1,1.58489319246111,0.5,"WT"
80,54628,"13",1,1.58489319246111,0.5,"WT"
90,45133,"13",1,1.58489319246111,0.5,"WT"
100,33191,"13",1,1.58489319246111,0.5,"WT"
110,21111,"13",1,1.58489319246111,0.5,"WT"
120,19331,"13",1,1.58489319246111,0.5,"WT"
130,10906,"13",1,1.58489319246111,0.5,"WT"
140,10857,"13",1,1.58489319246111,0.5,"WT"
150,6068,"13",1,1.58489319246111,0.5,"WT"
160,5731,"13",1,1.58489319246111,0.5,"WT"
170,3449,"13",1,1.58489319246111,0.5,"WT"
180,2747,"13",1,1.58489319246111,0.5,"WT"
0,100000,"14",1,1.99526231496888,0.5,"WT"
10,97895,"14",1,1.99526231496888,0.5,"WT"
20,84611,"14",1,1.99526231496888,0.5,"WT"
30,119012,"14",1,1.99526231496888,0.5,"WT"
40,73471,"14",1,1.99526231496888,0.5,"WT"
50,77930,"14",1,1.99526231496888,0.5,"WT"
60,40642,"14",1,1.99526231496888,0.5,"WT"
70,35161,"14",1,1.99526231496888,0.5,"WT"
80,17421,"14",1,1.99526231496888,0.5,"WT"
90,11378,"14",1,1.99526231496888,0.5,"WT"
100,6553,"14",1,1.99526231496888,0.5,"WT"
