"survive","param.index","mutant.effect","drug.outsideConcentration.MULT","efflux.binom.param","extinction.time","extinction.time.sd","num.reps","cell.type"
1,"1",1,0,0.5,NA,NA,1000,"WT"
0.964,"2",1,0.5,0.5,30.2861450439887,19.5753127004614,1000,"WT"
0.878,"3",1,0.7,0.5,62.5154336546798,49.6882526799282,1000,"WT"
0.503,"4",1,0.9,0.5,161.306481284836,166.704694299973,1000,"WT"
0.098,"5",1,1,0.5,277.82489398172,268.158778419414,1000,"WT"
0.001,"6",1,1.1,0.5,175.431778531572,165.321249632434,1000,"WT"
0,"7",1,1.2,0.5,121.728861945754,98.0981971824257,1000,"WT"
0,"8",1,1.3,0.5,97.9816590146633,69.7441551992135,1000,"WT"
0,"9",1,1.4,0.5,84.6861592702084,58.0800844202896,1000,"WT"
0,"10",1,1.5,0.5,73.1450142807323,45.649505259115,1000,"WT"
0,"11",1,1.75,0.5,56.824194478241,32.8900643006344,1000,"WT"
0,"12",1,2,0.5,47.5562388363395,26.8430376376356,1000,"WT"
0,"13",1,2.25,0.5,41.1630425095812,22.0077012215143,1000,"WT"
0,"14",1,2.5,0.5,37.3050039988163,19.9043601862818,1000,"WT"
0,"15",1,2.75,0.5,33.8607489119296,17.6032837504295,1000,"WT"
0,"16",1,3,0.5,31.97743613841,16.0091195617298,1000,"WT"
0,"17",1,3.5,0.5,28.229598200259,14.019679246256,1000,"WT"
0,"18",1,4,0.5,25.0815755697524,12.8371803998344,1000,"WT"
0,"19",1,4.5,0.5,22.622093408913,11.2247976303048,1000,"WT"
0,"20",1,5,0.5,20.7175568793084,10.501221711414,1000,"WT"
1,"21",1,0,0.6,NA,NA,1000,"WT"
0.966,"22",1,0.5,0.6,28.5689632667851,18.7563518094857,1000,"WT"
0.903,"23",1,0.7,0.6,59.7172729039353,44.2234906199149,1000,"WT"
0.523,"24",1,0.9,0.6,155.342482609412,163.09957981013,1000,"WT"
0.103,"25",1,1,0.6,254.268352525587,258.231527363836,1000,"WT"
0,"26",1,1.1,0.6,171.729946728864,159.651901055302,1000,"WT"
0,"27",1,1.2,0.6,120.853280102865,93.5544837758859,1000,"WT"
0,"28",1,1.3,0.6,98.4962582109105,74.5027856606832,1000,"WT"
0,"29",1,1.4,0.6,81.4570729061695,53.6859770893391,1000,"WT"
0,"30",1,1.5,0.6,74.6589036342749,48.1377894653789,1000,"WT"
0,"31",1,1.75,0.6,58.6250680632423,35.8937879979927,1000,"WT"
0,"32",1,2,0.6,48.8336046822415,27.2786567303872,1000,"WT"
0,"33",1,2.25,0.6,41.7662471738821,22.8930551383214,1000,"WT"
0,"34",1,2.5,0.6,37.2793631921739,20.0962750807054,1000,"WT"
0,"35",1,2.75,0.6,35.5196717792253,18.5958306092134,1000,"WT"
0,"36",1,3,0.6,31.8739150956605,16.0759677493305,1000,"WT"
0,"37",1,3.5,0.6,27.8033574753709,14.1908069436437,1000,"WT"
0,"38",1,4,0.6,25.5903826508671,12.8099594507493,1000,"WT"
0,"39",1,4.5,0.6,23.7587395913483,12.0695739514336,1000,"WT"
0,"40",1,5,0.6,21.100282063224,10.6421196138595,1000,"WT"
1,"41",1,0,0.7,NA,NA,1000,"WT"
0.965,"42",1,0.5,0.7,41.5698580616321,30.410835388211,1000,"WT"
0.911,"43",1,0.7,0.7,64.3190507092298,60.9345253533687,1000,"WT"
0.521,"44",1,0.9,0.7,178.563011098504,187.624293394897,1000,"WT"
0.079,"45",1,1,0.7,251.27792737046,254.851263658838,1000,"WT"
0.001,"46",1,1.1,0.7,182.232787537849,169.131575244002,1000,"WT"
0,"47",1,1.2,0.7,126.616464826262,100.322031219226,1000,"WT"
0,"48",1,1.3,0.7,101.403075844272,75.6921645011599,1000,"WT"
0,"49",1,1.4,0.7,85.6244301933367,57.5592659770561,1000,"WT"
0,"50",1,1.5,0.7,73.5323111825944,46.3317234977877,1000,"WT"
0,"51",1,1.75,0.7,56.060040411193,33.5740314719012,1000,"WT"
0,"52",1,2,0.7,48.849333218712,27.463036115689,1000,"WT"
0,"53",1,2.25,0.7,42.5430746020352,23.8339704771477,1000,"WT"
0,"54",1,2.5,0.7,38.0818734018724,20.6383682472948,1000,"WT"
0,"55",1,2.75,0.7,34.5890567517345,18.264744705117,1000,"WT"
0,"56",1,3,0.7,32.5367628590333,17.0314535098014,1000,"WT"
0,"57",1,3.5,0.7,28.5877786644917,14.211280620232,1000,"WT"
0,"58",1,4,0.7,25.2663852425448,12.667290481556,1000,"WT"
0,"59",1,4.5,0.7,24.1178058216915,12.1841421142256,1000,"WT"
0,"60",1,5,0.7,21.6951483336769,10.8418059897417,1000,"WT"
1,"61",1,0,0.8,NA,NA,1000,"WT"
0.967,"62",1,0.5,0.8,34.6630093504729,28.6470631405761,1000,"WT"
