"sim.label","sample.time","num.cells","param.index","mutant.effect","drug.outsideConcentration.MULT"
1,0,1000,1,1,1
1,10,994,1,1,1
1,20,1047,1,1,1
1,30,1721,1,1,1
1,40,1541,1,1,1
1,50,2451,1,1,1
1,60,2008,1,1,1
1,70,3125,1,1,1
1,80,2423,1,1,1
1,90,3592,1,1,1
1,100,2776,1,1,1
1,110,3894,1,1,1
1,120,3109,1,1,1
1,130,3929,1,1,1
1,140,3453,1,1,1
1,150,3793,1,1,1
1,160,3797,1,1,1
1,170,3643,1,1,1
1,180,4139,1,1,1
1,190,3643,1,1,1
1,200,4509,1,1,1
1,210,3751,1,1,1
1,220,4925,1,1,1
1,230,3965,1,1,1
1,240,5180,1,1,1
1,250,4209,1,1,1
1,260,5352,1,1,1
1,270,4526,1,1,1
1,280,5399,1,1,1
1,290,4886,1,1,1
1,300,5449,1,1,1
2,0,1000,1,1,1
2,10,991,1,1,1
2,20,1032,1,1,1
2,30,1709,1,1,1
2,40,1509,1,1,1
2,50,2408,1,1,1
2,60,1948,1,1,1
2,70,2952,1,1,1
2,80,2311,1,1,1
2,90,3456,1,1,1
2,100,2665,1,1,1
2,110,3712,1,1,1
2,120,2930,1,1,1
2,130,3619,1,1,1
2,140,3224,1,1,1
2,150,3497,1,1,1
2,160,3547,1,1,1
2,170,3408,1,1,1
2,180,3879,1,1,1
2,190,3422,1,1,1
2,200,4223,1,1,1
2,210,3407,1,1,1
2,220,4433,1,1,1
2,230,3504,1,1,1
2,240,4646,1,1,1
2,250,3779,1,1,1
2,260,4795,1,1,1
2,270,4095,1,1,1
2,280,4828,1,1,1
2,290,4386,1,1,1
2,300,4682,1,1,1
3,0,1000,1,1,1
3,10,995,1,1,1
3,20,1041,1,1,1
3,30,1715,1,1,1
3,40,1551,1,1,1
3,50,2503,1,1,1
3,60,1999,1,1,1
3,70,3081,1,1,1
3,80,2353,1,1,1
3,90,3513,1,1,1
3,100,2712,1,1,1
3,110,3723,1,1,1
3,120,3001,1,1,1
3,130,3727,1,1,1
3,140,3329,1,1,1
3,150,3656,1,1,1
3,160,3623,1,1,1
3,170,3423,1,1,1
3,180,3972,1,1,1
3,190,3373,1,1,1
3,200,4265,1,1,1
3,210,3464,1,1,1
3,220,4552,1,1,1
3,230,3625,1,1,1
3,240,4752,1,1,1
3,250,3862,1,1,1
3,260,4809,1,1,1
3,270,4180,1,1,1
3,280,4850,1,1,1
3,290,4492,1,1,1
3,300,4796,1,1,1
4,0,1000,1,1,1
4,10,998,1,1,1
4,20,1040,1,1,1
4,30,1712,1,1,1
4,40,1511,1,1,1
4,50,2408,1,1,1
4,60,1964,1,1,1
4,70,2983,1,1,1
4,80,2325,1,1,1
4,90,3469,1,1,1
4,100,2701,1,1,1
4,110,3765,1,1,1
4,120,3006,1,1,1
4,130,3745,1,1,1
4,140,3276,1,1,1
4,150,3636,1,1,1
4,160,3643,1,1,1
4,170,3471,1,1,1
4,180,3911,1,1,1
4,190,3487,1,1,1
4,200,4207,1,1,1
4,210,3426,1,1,1
4,220,4381,1,1,1
4,230,3521,1,1,1
4,240,4525,1,1,1
4,250,3654,1,1,1
4,260,4609,1,1,1
4,270,3890,1,1,1
4,280,4541,1,1,1
4,290,4054,1,1,1
4,300,4445,1,1,1
5,0,1000,1,1,1
5,10,993,1,1,1
5,20,1050,1,1,1
5,30,1721,1,1,1
5,40,1553,1,1,1
5,50,2415,1,1,1
5,60,1957,1,1,1
5,70,2986,1,1,1
5,80,2308,1,1,1
5,90,3403,1,1,1
5,100,2649,1,1,1
5,110,3675,1,1,1
5,120,2937,1,1,1
5,130,3662,1,1,1
5,140,3214,1,1,1
5,150,3651,1,1,1
5,160,3553,1,1,1
5,170,3538,1,1,1
5,180,3845,1,1,1
5,190,3418,1,1,1
5,200,4156,1,1,1
5,210,3488,1,1,1
5,220,4566,1,1,1
5,230,3664,1,1,1
5,240,4865,1,1,1
5,250,3869,1,1,1
5,260,4994,1,1,1
5,270,4197,1,1,1
5,280,5000,1,1,1
5,290,4520,1,1,1
5,300,4960,1,1,1
