"cell.type","t.end","psi90","psi99","psiZMIC"
"REG-ON","30",2.74800422690404,3.1347953091049,NA
"REG-ON","40",2.42191100567989,2.76040638800783,2.79351867058678
"REG-ON","50",2.56735259843779,2.82839375066985,2.85474273634313
"REG-ON","60",2.39281939365555,2.62961005867509,2.65544804633417
"REG-ON","70",2.26129426587252,2.47562880269035,2.49922795638543
"REG-ON","80",2.20614986776825,2.40478137807554,2.42650483463816
"REG-ON","90",2.10149617851746,2.2923011120279,2.3130313362137
"REG-ON","100",2.08542612891967,2.26682621996923,2.28654048913397
"REG-ON","110",2.028967760132,2.20513525486258,2.22429809191193
"REG-ON","120",2.00955803794356,2.17997352064768,2.19854826400248
"REG-ON","130",1.97866162385709,2.14481648287516,2.16299447869589
"REG-ON","140",1.94588152151403,2.10837371891884,2.12622539686002
"REG-ON","150",1.93129376751299,2.09016714916483,2.10768704919702
"REG-ON","160",1.90338925865101,2.05969892725313,2.07692208960974
"REG-ON","170",1.89544729428275,2.04920444115234,2.06611682570754
"REG-ON","180",1.87704986808966,2.02915791313877,2.04582289821103
"REG-ON","190",1.86650084332269,2.01675026677536,2.03319517706232
"REG-ON","200",1.855150689643,2.00425986687988,2.02060749678603
"REG-ON","210",1.84140376215584,1.98910826269827,2.00530709023058
"REG-ON","220",1.83552952891257,1.98190195199613,1.99792954937729
"REG-ON","230",1.82376540614814,1.96912208814927,1.98496245063389
"REG-ON","240",1.81925672136865,1.96343624065922,1.97907709551297
"REG-ON","250",1.81102808804226,1.95438826559325,1.96988520948993
"REG-ON","260",1.80474071128473,1.9471635301243,1.96261628437908
"REG-ON","270",1.79967599228619,1.94131817492183,1.95668538389638
"REG-ON","280",1.79236562545773,1.93346312485739,1.94872296413155
"REG-ON","290",1.78908493823825,1.92945647701727,1.94464615478339
"REG-ON","300",1.78253907601146,1.92276481686239,1.93766699153779
"REG-OFF","30",2.2261800542442,2.57131288895507,2.60799828307958
"REG-OFF","40",1.96806499712214,2.25012696877603,2.28088933141988
"REG-OFF","50",2.11443467990676,2.34880983007892,2.37456487927628
"REG-OFF","60",1.99094587267691,2.20718484253709,2.23088566310638
"REG-OFF","70",1.90026931440627,2.10906931194754,2.1301074695454
"REG-OFF","80",1.87980106623415,2.0814084629292,2.10193123822959
"REG-OFF","90",1.80881437015315,2.00555550714675,2.0270543672827
"REG-OFF","100",1.82316896435668,2.01446443184853,2.0353030889393
"REG-OFF","110",1.79455977436946,1.97973605592289,2.00056644138149
"REG-OFF","120",1.80066240808715,1.98211004034776,2.00244405839942
"REG-OFF","130",1.79220150916713,1.96956961193892,1.98968613754941
"REG-OFF","140",1.77929999611297,1.95275036665378,1.97264219717934
"REG-OFF","150",1.78268807161227,1.95353630551309,1.97303401109869
"REG-OFF","160",1.77056878810386,1.9381370498836,1.95724984860324
"REG-OFF","170",1.77735096955096,1.94328101943324,1.96205868985037
"REG-OFF","180",1.77205985200079,1.93590113790164,1.9544054079379
"REG-OFF","190",1.77369676793489,1.93582507059922,1.95409776834567
"REG-OFF","200",1.77363439156196,1.93423521516996,1.95231430487209
"REG-OFF","210",1.76966010709065,1.92876559713108,1.94669062983897
"REG-OFF","220",1.77293974874717,1.93094388364234,1.94869816509399
"REG-OFF","230",1.76921326470476,1.9260012978918,1.94362401307714
"REG-OFF","240",1.77239952780623,1.92824447754823,1.94573866702461
"REG-OFF","250",1.7711139534676,1.92608571267664,1.94345048758291
"REG-OFF","260",1.77137194219163,1.9255572945576,1.94278644281159
"REG-OFF","270",1.7723450844405,1.92587435299088,1.9429839171428
"REG-OFF","280",1.77049405197635,1.9233792171683,1.94037548213599
"REG-OFF","290",1.77375001641703,1.92474599662802,1.9414493677624
"REG-OFF","300",1.77201627014577,1.9224888252513,1.93913220037625
"REG-BURST","30",2.35653225447212,2.76768131890446,2.81281046088956
"REG-BURST","40",2.10101875318782,2.47210943204129,2.51425593101049
"REG-BURST","50",2.42595341245768,2.83642263504338,2.88357078215253
"REG-BURST","60",2.38669517281933,2.8462609119137,2.89945036253065
"REG-BURST","70",2.41556260800251,2.94213388425968,3.00288028915056
"REG-BURST","80",2.62681638968584,3.24457167187361,3.32203862083103
"REG-BURST","90",2.68501040586659,3.37494349688385,3.46604577189778
"REG-BURST","100",3.02598295842645,3.89562786914699,4.00834792609837
"REG-BURST","110",3.18228154735675,4.15762720901421,4.275733971083
"REG-BURST","120",3.50281643116608,4.59865711827272,4.74759500256422
"REG-BURST","130",3.73820905034076,4.92320635973211,5.06818036896211
"REG-BURST","140",3.90377298100339,5.1276193461178,5.26593736068146
"REG-BURST","150",4.13804556936855,5.40438867151626,5.54502025755549
"REG-BURST","160",4.23379276369683,5.52124523833018,5.66728195111124
"REG-BURST","170",4.44797315955817,5.76989305877646,5.92919250765992
"REG-BURST","180",4.55742266857976,5.90048073454464,6.06806626935597
"REG-BURST","190",4.70953783122802,6.07869294303345,6.25482162786349
"REG-BURST","200",4.83902728017364,6.23575496012123,6.41608637004448
"REG-BURST","210",4.9159187015385,6.33638133838099,6.51833835254092
"REG-BURST","220",5.04700055451695,6.50297536808609,6.68693638547815
"REG-BURST","230",5.1049082167711,6.58244160233752,6.76781563646714
