"sim.label","seed","param.index"
1,516329964,1
2,161377590,1
3,1078827321,1
4,1111962499,1
5,2098680622,1
6,986140332,1
7,1619581368,1
8,1283736931,1
9,1308404141,1
10,389403487,1
11,1368803503,1
12,374283698,1
13,716150562,1
14,1883876864,1
15,778294956,1
16,265328839,1
17,476169314,1
18,2073991965,1
19,733847565,1
20,1977393844,1
21,1708397566,1
22,518467428,1
23,1507499085,1
24,97846263,1
25,294993142,1
26,1726064314,1
27,35886243,1
28,827452071,1
29,1834293710,1
30,1136560404,1
31,122945439,1
32,2143078620,1
33,1919919552,1
34,44221588,1
35,642599081,1
36,129913142,1
37,239482484,1
38,296813302,1
39,30442639,1
40,1290164698,1
41,1108079681,1
42,1096307444,1
43,1307989446,1
44,94101630,1
45,1287756299,1
46,1595783564,1
47,1556234746,1
48,169993363,1
49,858925416,1
50,55732439,1
51,710945930,1
52,697770736,1
53,1223257472,1
54,1236959900,1
55,524113685,1
56,38116931,1
57,1686613203,1
58,1836377719,1
59,1096235391,1
60,1272672892,1
61,1482768906,1
62,1196760103,1
63,1475466638,1
64,1350857211,1
65,1577994305,1
66,1050727786,1
67,1915731321,1
68,1637334575,1
69,713824905,1
70,2111751045,1
71,1270551212,1
72,514149299,1
73,1281819131,1
74,186612438,1
75,579287860,1
76,1653376585,1
77,1765062671,1
78,1361037013,1
79,1611543089,1
80,335041588,1
81,771616901,1
82,1171620871,1
83,2037590598,1
84,1461145775,1
85,38017427,1
86,1478983627,1
87,1984387675,1
88,276903858,1
89,1879703448,1
90,1958872002,1
91,1994496394,1
92,1360362383,1
93,1760205160,1
94,569699839,1
95,103486777,1
96,726809583,1
97,476076706,1
98,257647789,1
99,1500600702,1
100,1907938724,1
1,1871824430,2
2,2079428414,2
3,216780705,2
4,2041698374,2
5,1505438996,2
6,1850577712,2
7,583677033,2
8,2058299377,2
9,546290618,2
10,981810043,2
11,1858594547,2
12,1778853451,2
13,2103428589,2
14,1092095252,2
15,1716371745,2
16,468801454,2
17,706871676,2
18,1411839451,2
19,554720662,2
20,1347395481,2
21,1100238351,2
22,1563740359,2
23,1745761913,2
24,464554486,2
25,979789556,2
26,137005257,2
27,2104561902,2
28,1881444371,2
29,60238207,2
30,834547470,2
31,1820941776,2
32,765204357,2
33,910733384,2
34,225814095,2
35,1787354488,2
36,1003562750,2
37,1409199773,2
38,1388934712,2
39,1753812089,2
40,713715649,2
41,1317513026,2
42,338512033,2
43,268948036,2
44,1646608147,2
45,1617564384,2
46,1611047731,2
47,2065323228,2
48,1834165198,2
49,581092795,2
50,729171168,2
51,1360913653,2
52,1366486958,2
53,1585585810,2
54,1024950920,2
55,1755587267,2
56,322058039,2
57,729013040,2
58,1216961889,2
59,1951273544,2
60,186117568,2
61,1651114856,2
62,109998874,2
63,210386889,2
64,340360984,2
65,342199891,2
66,966661238,2
67,869625039,2
68,1295188742,2
69,2113381190,2
70,401815936,2
71,507634378,2
72,1194154056,2
73,520202464,2
74,937439752,2
75,969304654,2
76,1030506896,2
77,1371837622,2
78,1262936048,2
79,853224249,2
80,787627603,2
81,785516915,2
82,886748393,2
83,1825167132,2
84,85266155,2
85,1415720470,2
86,342879798,2
87,8119401,2
88,1508457819,2
89,1171180050,2
90,1392341998,2
91,1962259596,2
92,1211899886,2
93,989958978,2
94,931399103,2
95,1446638423,2
96,1557733103,2
97,1453136566,2
98,1385791505,2
99,2009823859,2
100,1178527168,2
1,1518896070,3
2,1346842029,3
3,428007665,3
4,1094651514,3
5,678694901,3
6,1447818182,3
7,1675420491,3
8,953626068,3
9,1259210362,3
10,385863350,3
11,397034979,3
12,1012036957,3
13,1551798184,3
14,819637345,3
15,2112275582,3
16,1111851926,3
17,2062716699,3
18,291748084,3
19,1273197959,3
20,308963325,3
21,1434246082,3
22,905125664,3
23,825319196,3
24,78833477,3
25,902560611,3
26,1953263751,3
27,270313124,3
28,1721946599,3
29,1140475377,3
30,1691724788,3
31,246508527,3
32,1361726123,3
33,1228408570,3
34,1850506327,3
35,1659368853,3
36,576904502,3
37,2137178377,3
38,1553101717,3
39,119796417,3
40,1559936733,3
41,1834203027,3
42,1033557721,3
43,561366138,3
44,1678968461,3
45,791518861,3
46,1423155605,3
47,769935247,3
48,2123927135,3
49,196788681,3
50,1708459611,3
51,1866141608,3
52,425120100,3
53,1157051066,3
54,1547252689,3
55,2064004358,3
56,238794937,3
57,1012123144,3
58,1573086615,3
59,1451586574,3
60,1212132726,3
61,1304772334,3
62,1888677219,3
63,1417721151,3
64,1448906600,3
65,1679514585,3
66,269693851,3
67,378489036,3
68,1820703277,3
69,1805217330,3
70,656877470,3
71,1524928694,3
72,74780611,3
73,1356090860,3
74,1108786382,3
75,553491671,3
76,1672208461,3
77,988495061,3
78,583989084,3
79,1504058968,3
80,384673952,3
81,1866755966,3
82,1417264447,3
83,318376191,3
84,28520456,3
85,484905221,3
86,1780246054,3
87,728286052,3
88,1728045864,3
89,142395391,3
90,1114959678,3
91,1464159896,3
92,401192932,3
93,882107043,3
94,1600619758,3
95,399096921,3
96,713903334,3
97,1509685713,3
98,1042106327,3
99,93680634,3
100,186168995,3
1,1152205135,4
2,713955143,4
3,2071138888,4
4,1478638919,4
5,2042874787,4
6,1349433324,4
7,147016076,4
8,1335188498,4
9,1867617595,4
10,694527962,4
11,567698138,4
12,723454555,4
13,162642620,4
14,1451983173,4
15,186067817,4
16,530410689,4
17,808337124,4
18,167749083,4
19,848177751,4
20,460008754,4
21,236755620,4
22,1242175358,4
23,1832691160,4
24,306900230,4
25,428839849,4
26,1948517846,4
27,1236908833,4
28,1489139356,4
29,1552763775,4
30,595483864,4
31,1396402387,4
32,695941890,4
33,1402957411,4
34,103800348,4
35,1442657019,4
36,1039338496,4
37,1552354844,4
38,881449439,4
39,642608984,4
40,1373445459,4
41,1284428223,4
42,2099879449,4
43,176695815,4
44,1071363002,4
45,418257207,4
46,389690353,4
47,263430115,4
48,529923523,4
49,1545839735,4
50,725011689,4
51,71577862,4
52,216745093,4
53,1354857879,4
54,1027973162,4
55,1778481796,4
56,825500538,4
57,1937473898,4
58,554992091,4
59,383870693,4
60,1360175248,4
61,1842695026,4
62,1791175207,4
63,943191631,4
64,23011099,4
65,1683749517,4
66,212618080,4
67,1115974077,4
68,1003944841,4
69,1832334217,4
70,1501167234,4
71,1168729281,4
72,362169226,4
73,1792141509,4
74,1677375050,4
75,1121389722,4
76,96387976,4
77,1973024505,4
78,2093407174,4
79,957470657,4
80,758142945,4
81,932516642,4
82,987959308,4
83,434774978,4
84,484703159,4
85,1335292402,4
86,490254811,4
87,206349392,4
88,44989735,4
89,444768380,4
90,1597059440,4
91,24834026,4
92,181009487,4
93,171630398,4
94,1575936960,4
95,1376998215,4
96,1054283855,4
97,1865957786,4
98,1461336210,4
99,1550256181,4
100,77332644,4
1,303658645,5
2,1606987609,5
3,1516106716,5
4,692774,5
5,926293809,5
6,1774138283,5
7,949318646,5
8,895501307,5
9,461593396,5
10,188844411,5
11,2031526569,5
12,33568925,5
13,1526549844,5
14,1932426928,5
15,1850963551,5
16,1616539077,5
17,708204879,5
18,1351576295,5
19,1675453171,5
20,126758417,5
21,151153396,5
22,1361985056,5
23,890746913,5
24,597858484,5
25,1419377324,5
26,2079243224,5
27,1560430514,5
28,1748453022,5
29,2051221260,5
30,658132185,5
31,1504617152,5
32,1640580497,5
33,1267082274,5
34,821086167,5
35,660996379,5
36,80948152,5
37,1760956782,5
38,56854836,5
39,363596984,5
40,404569132,5
41,716343800,5
42,1416834559,5
43,2107445267,5
44,1735920434,5
45,1250596550,5
46,144547292,5
47,921785983,5
48,1397336713,5
49,52578324,5
50,685156311,5
51,1400749099,5
52,1259696361,5
53,1412980733,5
54,1576164664,5
55,1115795732,5
56,202295031,5
57,1266658659,5
58,1132200611,5
59,337654173,5
60,61472089,5
61,2137157602,5
62,1515761940,5
63,638653487,5
64,1396414714,5
65,429810323,5
66,548149760,5
67,1016553015,5
68,1274876291,5
69,283335876,5
70,500254305,5
71,517948509,5
72,822319164,5
73,968389091,5
74,2069184801,5
75,2001482656,5
76,1278557230,5
77,1287185725,5
78,1205970131,5
79,2028791279,5
80,2113297697,5
81,1398641779,5
82,1120743159,5
83,273036021,5
84,380824696,5
85,495824912,5
86,1626305399,5
87,741121024,5
88,360035034,5
89,931461898,5
90,1292280970,5
91,1246968231,5
92,326724315,5
93,1485161629,5
94,552037781,5
95,764408417,5
96,1869821424,5
97,1417843063,5
98,1213873917,5
99,1113067533,5
100,1208895223,5
1,590711930,6
2,1975301547,6
3,985870140,6
4,7628350,6
5,1374055938,6
6,530634499,6
7,179370703,6
8,193577033,6
9,2065333594,6
10,873167918,6
11,733698057,6
12,109436367,6
13,494987451,6
14,289520283,6
15,1573376818,6
16,821925740,6
17,93769825,6
18,1577688358,6
19,1721779724,6
20,787668896,6
21,466326458,6
22,30266640,6
23,1164581121,6
24,1472332067,6
25,1941044088,6
26,1407468242,6
27,52926635,6
28,1998426883,6
29,887734119,6
30,1497905305,6
31,1495706882,6
32,1980742487,6
33,18431395,6
34,1462604496,6
35,2027391430,6
36,864780314,6
37,998242656,6
38,178137509,6
39,2065383737,6
40,1233348634,6
41,675495399,6
42,630380648,6
43,1920414606,6
44,1880455070,6
45,650158381,6
46,431134128,6
47,693521817,6
48,1168948328,6
49,1481475031,6
50,1578968773,6
51,49971252,6
52,32946489,6
53,1273939184,6
54,1480814836,6
55,69209773,6
56,371011100,6
57,1030070042,6
58,318032190,6
59,1266944122,6
60,1068355504,6
61,136226965,6
62,360804915,6
63,1285086309,6
64,1097007155,6
65,659501545,6
66,124421994,6
67,882212406,6
68,1931120467,6
69,2130620468,6
70,1987938140,6
71,1916199854,6
72,850433735,6
73,578043838,6
74,1342494653,6
75,1439718168,6
76,1532299561,6
77,747236575,6
78,1740798051,6
79,1994050381,6
80,550592383,6
81,303312446,6
82,2071196513,6
83,855480732,6
84,828030706,6
85,1027631491,6
86,2126302708,6
87,814908240,6
88,836757915,6
89,1401731856,6
90,1174446476,6
91,470144038,6
92,449652661,6
