"sim.label","sample.time","num.cells","param.index","mutant.effect","drug.outsideConcentration.MULT"
1,0,1000,1,200,1.73780082874938
1,10,987,1,200,1.73780082874938
1,20,942,1,200,1.73780082874938
1,30,1661,1,200,1.73780082874938
1,40,1397,1,200,1.73780082874938
1,50,2145,1,200,1.73780082874938
1,60,1781,1,200,1.73780082874938
1,70,1785,1,200,1.73780082874938
1,80,2104,1,200,1.73780082874938
1,90,1643,1,200,1.73780082874938
1,100,2399,1,200,1.73780082874938
1,110,1840,1,200,1.73780082874938
1,120,2374,1,200,1.73780082874938
1,130,2129,1,200,1.73780082874938
1,140,1954,1,200,1.73780082874938
1,150,2406,1,200,1.73780082874938
1,160,1878,1,200,1.73780082874938
1,170,2617,1,200,1.73780082874938
1,180,2115,1,200,1.73780082874938
1,190,2422,1,200,1.73780082874938
1,200,2435,1,200,1.73780082874938
1,210,2184,1,200,1.73780082874938
1,220,2793,1,200,1.73780082874938
1,230,2220,1,200,1.73780082874938
1,240,2883,1,200,1.73780082874938
1,250,2493,1,200,1.73780082874938
1,260,2624,1,200,1.73780082874938
1,270,2739,1,200,1.73780082874938
1,280,2450,1,200,1.73780082874938
1,290,3065,1,200,1.73780082874938
1,300,2530,1,200,1.73780082874938
2,0,1000,1,200,1.73780082874938
2,10,991,1,200,1.73780082874938
2,20,934,1,200,1.73780082874938
2,30,1654,1,200,1.73780082874938
2,40,1413,1,200,1.73780082874938
2,50,2242,1,200,1.73780082874938
2,60,1840,1,200,1.73780082874938
2,70,1868,1,200,1.73780082874938
2,80,2281,1,200,1.73780082874938
2,90,1786,1,200,1.73780082874938
2,100,2583,1,200,1.73780082874938
2,110,2016,1,200,1.73780082874938
2,120,2606,1,200,1.73780082874938
2,130,2280,1,200,1.73780082874938
2,140,2110,1,200,1.73780082874938
2,150,2635,1,200,1.73780082874938
2,160,2052,1,200,1.73780082874938
2,170,2834,1,200,1.73780082874938
2,180,2276,1,200,1.73780082874938
2,190,2565,1,200,1.73780082874938
2,200,2538,1,200,1.73780082874938
2,210,2245,1,200,1.73780082874938
2,220,2800,1,200,1.73780082874938
2,230,2248,1,200,1.73780082874938
2,240,2892,1,200,1.73780082874938
2,250,2508,1,200,1.73780082874938
2,260,2653,1,200,1.73780082874938
2,270,2877,1,200,1.73780082874938
2,280,2526,1,200,1.73780082874938
2,290,3086,1,200,1.73780082874938
2,300,2585,1,200,1.73780082874938
3,0,1000,1,200,1.73780082874938
3,10,993,1,200,1.73780082874938
3,20,930,1,200,1.73780082874938
3,30,1631,1,200,1.73780082874938
3,40,1378,1,200,1.73780082874938
3,50,2168,1,200,1.73780082874938
3,60,1793,1,200,1.73780082874938
3,70,1799,1,200,1.73780082874938
3,80,2127,1,200,1.73780082874938
3,90,1688,1,200,1.73780082874938
3,100,2455,1,200,1.73780082874938
3,110,1919,1,200,1.73780082874938
3,120,2459,1,200,1.73780082874938
3,130,2222,1,200,1.73780082874938
3,140,2066,1,200,1.73780082874938
3,150,2560,1,200,1.73780082874938
3,160,2041,1,200,1.73780082874938
3,170,2807,1,200,1.73780082874938
3,180,2298,1,200,1.73780082874938
3,190,2603,1,200,1.73780082874938
3,200,2600,1,200,1.73780082874938
3,210,2357,1,200,1.73780082874938
3,220,3009,1,200,1.73780082874938
3,230,2396,1,200,1.73780082874938
3,240,3065,1,200,1.73780082874938
3,250,2623,1,200,1.73780082874938
3,260,2772,1,200,1.73780082874938
3,270,2925,1,200,1.73780082874938
3,280,2503,1,200,1.73780082874938
3,290,3088,1,200,1.73780082874938
3,300,2500,1,200,1.73780082874938
4,0,1000,1,200,1.73780082874938
4,10,992,1,200,1.73780082874938
4,20,928,1,200,1.73780082874938
4,30,1655,1,200,1.73780082874938
4,40,1416,1,200,1.73780082874938
4,50,2158,1,200,1.73780082874938
4,60,1764,1,200,1.73780082874938
4,70,1776,1,200,1.73780082874938
4,80,2105,1,200,1.73780082874938
4,90,1640,1,200,1.73780082874938
4,100,2407,1,200,1.73780082874938
4,110,1822,1,200,1.73780082874938
4,120,2303,1,200,1.73780082874938
4,130,2095,1,200,1.73780082874938
4,140,1940,1,200,1.73780082874938
4,150,2328,1,200,1.73780082874938
4,160,1809,1,200,1.73780082874938
4,170,2537,1,200,1.73780082874938
4,180,2014,1,200,1.73780082874938
4,190,2365,1,200,1.73780082874938
4,200,2248,1,200,1.73780082874938
4,210,2019,1,200,1.73780082874938
4,220,2559,1,200,1.73780082874938
4,230,2026,1,200,1.73780082874938
4,240,2623,1,200,1.73780082874938
4,250,2236,1,200,1.73780082874938
4,260,2381,1,200,1.73780082874938
4,270,2533,1,200,1.73780082874938
4,280,2190,1,200,1.73780082874938
