"sim.label","sample.time","num.cells","param.index","mutant.effect","drug.outsideConcentration.MULT"
1,0,1000,1,200,1
1,10,998,1,200,1
1,20,963,1,200,1
1,30,1719,1,200,1
1,40,1470,1,200,1
1,50,2302,1,200,1
1,60,1935,1,200,1
1,70,1918,1,200,1
1,80,2189,1,200,1
1,90,1652,1,200,1
1,100,2303,1,200,1
1,110,1696,1,200,1
1,120,2118,1,200,1
1,130,1777,1,200,1
1,140,1520,1,200,1
1,150,1742,1,200,1
1,160,1298,1,200,1
1,170,1646,1,200,1
1,180,1222,1,200,1
1,190,1366,1,200,1
1,200,1244,1,200,1
1,210,1058,1,200,1
1,220,1221,1,200,1
1,230,924,1,200,1
1,240,1170,1,200,1
1,250,929,1,200,1
1,260,980,1,200,1
1,270,942,1,200,1
1,280,764,1,200,1
1,290,870,1,200,1
1,300,657,1,200,1
2,0,1000,1,200,1
2,10,991,1,200,1
2,20,938,1,200,1
2,30,1706,1,200,1
2,40,1434,1,200,1
2,50,2225,1,200,1
2,60,1827,1,200,1
2,70,1784,1,200,1
2,80,2044,1,200,1
2,90,1552,1,200,1
2,100,2117,1,200,1
2,110,1560,1,200,1
2,120,1890,1,200,1
2,130,1569,1,200,1
2,140,1382,1,200,1
2,150,1550,1,200,1
2,160,1134,1,200,1
2,170,1518,1,200,1
2,180,1149,1,200,1
2,190,1301,1,200,1
2,200,1185,1,200,1
2,210,967,1,200,1
2,220,1142,1,200,1
2,230,840,1,200,1
2,240,1032,1,200,1
2,250,822,1,200,1
2,260,827,1,200,1
2,270,814,1,200,1
2,280,677,1,200,1
2,290,778,1,200,1
2,300,593,1,200,1
3,0,1000,1,200,1
3,10,989,1,200,1
3,20,958,1,200,1
3,30,1700,1,200,1
3,40,1469,1,200,1
3,50,2274,1,200,1
3,60,1869,1,200,1
3,70,1800,1,200,1
3,80,2119,1,200,1
3,90,1637,1,200,1
3,100,2292,1,200,1
3,110,1706,1,200,1
3,120,2146,1,200,1
3,130,1855,1,200,1
3,140,1641,1,200,1
3,150,1925,1,200,1
3,160,1433,1,200,1
3,170,1900,1,200,1
3,180,1441,1,200,1
3,190,1565,1,200,1
3,200,1442,1,200,1
3,210,1218,1,200,1
3,220,1413,1,200,1
3,230,1074,1,200,1
3,240,1295,1,200,1
3,250,1010,1,200,1
3,260,1051,1,200,1
3,270,1041,1,200,1
3,280,860,1,200,1
3,290,985,1,200,1
3,300,741,1,200,1
4,0,1000,1,200,1
4,10,993,1,200,1
4,20,943,1,200,1
4,30,1718,1,200,1
4,40,1487,1,200,1
4,50,2293,1,200,1
4,60,1893,1,200,1
4,70,1901,1,200,1
4,80,2121,1,200,1
4,90,1658,1,200,1
4,100,2320,1,200,1
4,110,1704,1,200,1
4,120,2080,1,200,1
4,130,1785,1,200,1
4,140,1615,1,200,1
4,150,1847,1,200,1
4,160,1377,1,200,1
4,170,1765,1,200,1
4,180,1312,1,200,1
4,190,1504,1,200,1
4,200,1380,1,200,1
4,210,1222,1,200,1
4,220,1422,1,200,1
4,230,1071,1,200,1
4,240,1323,1,200,1
4,250,1069,1,200,1
4,260,1105,1,200,1
4,270,1073,1,200,1
4,280,916,1,200,1
4,290,1089,1,200,1
4,300,830,1,200,1
5,0,1000,1,200,1
5,10,992,1,200,1
5,20,945,1,200,1
5,30,1697,1,200,1
5,40,1457,1,200,1
5,50,2251,1,200,1
5,60,1826,1,200,1
5,70,1888,1,200,1
5,80,2153,1,200,1
5,90,1655,1,200,1
5,100,2326,1,200,1
5,110,1702,1,200,1
5,120,2094,1,200,1
5,130,1708,1,200,1
5,140,1515,1,200,1
5,150,1724,1,200,1
5,160,1317,1,200,1
5,170,1734,1,200,1
5,180,1321,1,200,1
5,190,1516,1,200,1
5,200,1329,1,200,1
5,210,1131,1,200,1
5,220,1306,1,200,1
5,230,955,1,200,1
5,240,1220,1,200,1
5,250,952,1,200,1
5,260,1029,1,200,1
5,270,972,1,200,1
5,280,816,1,200,1
5,290,942,1,200,1
5,300,718,1,200,1
6,0,1000,1,200,1
6,10,994,1,200,1
6,20,952,1,200,1
6,30,1722,1,200,1
6,40,1479,1,200,1
6,50,2282,1,200,1
6,60,1833,1,200,1
6,70,1856,1,200,1
6,80,2109,1,200,1
6,90,1609,1,200,1
6,100,2264,1,200,1
6,110,1649,1,200,1
6,120,2061,1,200,1
6,130,1694,1,200,1
6,140,1490,1,200,1
6,150,1731,1,200,1
6,160,1287,1,200,1
6,170,1668,1,200,1
6,180,1263,1,200,1
6,190,1369,1,200,1
6,200,1225,1,200,1
6,210,1026,1,200,1
6,220,1186,1,200,1
6,230,875,1,200,1
6,240,1117,1,200,1
6,250,882,1,200,1
6,260,894,1,200,1
6,270,912,1,200,1
6,280,765,1,200,1
6,290,923,1,200,1
6,300,731,1,200,1
7,0,1000,1,200,1
7,10,993,1,200,1
7,20,942,1,200,1
7,30,1722,1,200,1
7,40,1472,1,200,1
7,50,2323,1,200,1
7,60,1943,1,200,1
7,70,1908,1,200,1
7,80,2139,1,200,1
7,90,1628,1,200,1
7,100,2306,1,200,1
7,110,1699,1,200,1
7,120,2077,1,200,1
7,130,1722,1,200,1
7,140,1523,1,200,1
7,150,1775,1,200,1
7,160,1321,1,200,1
7,170,1691,1,200,1
7,180,1283,1,200,1
7,190,1415,1,200,1
7,200,1289,1,200,1
7,210,1108,1,200,1
7,220,1295,1,200,1
7,230,967,1,200,1
7,240,1212,1,200,1
7,250,971,1,200,1
7,260,1004,1,200,1
7,270,939,1,200,1
7,280,789,1,200,1
7,290,907,1,200,1
7,300,686,1,200,1
8,0,1000,1,200,1
8,10,995,1,200,1
8,20,951,1,200,1
8,30,1721,1,200,1
8,40,1487,1,200,1
8,50,2326,1,200,1
8,60,1879,1,200,1
8,70,1864,1,200,1
8,80,2171,1,200,1
8,90,1657,1,200,1
8,100,2355,1,200,1
8,110,1784,1,200,1
8,120,2178,1,200,1
8,130,1854,1,200,1
8,140,1658,1,200,1
8,150,1943,1,200,1
8,160,1452,1,200,1
8,170,1907,1,200,1
8,180,1506,1,200,1
8,190,1579,1,200,1
8,200,1502,1,200,1
8,210,1281,1,200,1
8,220,1464,1,200,1
8,230,1132,1,200,1
8,240,1379,1,200,1
8,250,1107,1,200,1
8,260,1107,1,200,1
8,270,1091,1,200,1
8,280,905,1,200,1
8,290,1054,1,200,1
8,300,825,1,200,1
9,0,1000,1,200,1
9,10,996,1,200,1
9,20,961,1,200,1
9,30,1727,1,200,1
9,40,1486,1,200,1
9,50,2296,1,200,1
9,60,1869,1,200,1
9,70,1839,1,200,1
9,80,2111,1,200,1
9,90,1670,1,200,1
9,100,2416,1,200,1
9,110,1769,1,200,1
9,120,2172,1,200,1
9,130,1781,1,200,1
9,140,1574,1,200,1
9,150,1841,1,200,1
9,160,1358,1,200,1
9,170,1754,1,200,1
9,180,1312,1,200,1
9,190,1406,1,200,1
9,200,1308,1,200,1
9,210,1075,1,200,1
9,220,1277,1,200,1
9,230,946,1,200,1
9,240,1135,1,200,1
9,250,949,1,200,1
9,260,948,1,200,1
9,270,967,1,200,1
9,280,799,1,200,1
9,290,945,1,200,1
9,300,725,1,200,1
10,0,1000,1,200,1
10,10,995,1,200,1
10,20,946,1,200,1
10,30,1710,1,200,1
10,40,1485,1,200,1
10,50,2308,1,200,1
10,60,1874,1,200,1
10,70,1868,1,200,1
10,80,2144,1,200,1
10,90,1671,1,200,1
10,100,2348,1,200,1
10,110,1699,1,200,1
10,120,2057,1,200,1
10,130,1710,1,200,1
10,140,1544,1,200,1
10,150,1752,1,200,1
10,160,1273,1,200,1
10,170,1624,1,200,1
10,180,1229,1,200,1
10,190,1331,1,200,1
10,200,1232,1,200,1
10,210,1082,1,200,1
10,220,1315,1,200,1
10,230,994,1,200,1
10,240,1187,1,200,1
10,250,973,1,200,1
10,260,935,1,200,1
10,270,944,1,200,1
10,280,743,1,200,1
10,290,892,1,200,1
10,300,681,1,200,1
11,0,1000,1,200,1
11,10,997,1,200,1
11,20,949,1,200,1
11,30,1699,1,200,1
11,40,1435,1,200,1
11,50,2239,1,200,1
11,60,1845,1,200,1
11,70,1871,1,200,1
11,80,2128,1,200,1
11,90,1611,1,200,1
11,100,2291,1,200,1
11,110,1700,1,200,1
11,120,2102,1,200,1
11,130,1775,1,200,1
11,140,1591,1,200,1
11,150,1785,1,200,1
11,160,1345,1,200,1
11,170,1684,1,200,1
11,180,1308,1,200,1
11,190,1436,1,200,1
11,200,1315,1,200,1
11,210,1147,1,200,1
11,220,1355,1,200,1
11,230,1036,1,200,1
11,240,1237,1,200,1
11,250,997,1,200,1
