"sim.label","seed","param.index"
1,432547143,1
2,665455524,1
3,808480800,1
4,688796416,1
5,2079168238,1
6,1508412551,1
7,659332998,1
8,1263410168,1
9,1972342935,1
10,633921008,1
11,1873329247,1
12,1025926791,1
13,1862231852,1
14,1537561045,1
15,654345558,1
16,679379659,1
17,1932279909,1
18,1229362018,1
19,1708123951,1
20,1553005201,1
21,215767434,1
22,1233629687,1
23,189572921,1
24,2029762954,1
25,1620084857,1
26,1569530382,1
27,915883523,1
28,1533818784,1
29,1132530404,1
30,2070854326,1
31,262447780,1
32,1978468861,1
33,1514033428,1
34,1087673937,1
35,538267529,1
36,770178794,1
37,1632319195,1
38,1644040139,1
39,688200526,1
40,945045027,1
41,1397757480,1
42,1472205409,1
43,1058229310,1
44,988455947,1
45,1166409191,1
46,1865983806,1
47,1661579434,1
48,687342505,1
49,2005600857,1
50,1206301277,1
51,1245813448,1
52,1783969893,1
53,1863067709,1
54,460259289,1
55,424406927,1
56,279194445,1
57,1629974992,1
58,314821298,1
59,296889429,1
60,363160327,1
61,219828251,1
62,12003997,1
63,537804185,1
64,389062622,1
65,2032793580,1
66,130409264,1
67,1390189573,1
68,1577912445,1
69,696621727,1
70,206934776,1
71,1596918661,1
72,656676683,1
73,523890081,1
74,1457022040,1
75,985084159,1
76,1579069697,1
77,2003320336,1
78,2071893929,1
79,437916177,1
80,828522194,1
81,457947732,1
82,533221944,1
83,1304408089,1
84,1983573784,1
85,143830702,1
86,962936520,1
87,1101007130,1
88,1390453510,1
89,441754027,1
90,1772927049,1
91,1198450893,1
92,982957344,1
93,1629320705,1
94,221013037,1
95,551030317,1
96,1971264739,1
97,256244096,1
98,918964875,1
99,970169861,1
100,596146852,1
1,474486502,2
2,878656319,2
3,368905134,2
4,1799173126,2
5,994428719,2
6,1391049750,2
7,736539257,2
8,1306508637,2
9,1194741036,2
10,1804508501,2
11,268874126,2
12,1191240801,2
13,226094613,2
14,496668583,2
15,655139733,2
16,485135671,2
17,990376673,2
18,1311292736,2
19,1806794157,2
20,1365797772,2
21,1907994626,2
22,1001276331,2
23,61979911,2
24,789630182,2
25,1149079529,2
26,1443557638,2
27,1900352360,2
28,579560448,2
29,604911386,2
30,260956589,2
31,802905707,2
32,1197680425,2
33,2012842660,2
34,902839846,2
35,1086258633,2
36,1469941291,2
37,2088055548,2
38,449187899,2
39,159105247,2
40,929639628,2
41,905907116,2
42,274274463,2
43,1769079790,2
44,371859683,2
45,1960211115,2
46,1359164738,2
47,372983548,2
48,2012685399,2
49,1308715762,2
50,611392224,2
51,1764749608,2
52,1034380646,2
53,1644522995,2
54,1068968810,2
55,771185274,2
56,699398424,2
57,1831450709,2
58,1540921876,2
59,1672602971,2
60,1894291950,2
61,446746940,2
62,1269393383,2
63,1468554521,2
64,1724196620,2
65,1298294546,2
66,1285002582,2
67,1657816747,2
68,1138274068,2
69,149791885,2
70,1907970746,2
71,1220488188,2
72,1843647303,2
73,939494142,2
74,1013346318,2
75,33521868,2
76,1910899418,2
77,1050566504,2
78,247544194,2
79,1706186923,2
80,890488321,2
81,347978973,2
82,2090811576,2
83,691573292,2
84,438866878,2
85,176788470,2
86,593615028,2
87,1915820363,2
88,309158545,2
89,802195564,2
90,196442033,2
91,1532931964,2
92,1971147451,2
93,683560963,2
94,1292594656,2
95,1339618090,2
96,1471474150,2
97,60146785,2
98,262236645,2
99,1450599455,2
100,1534621026,2
1,265908845,3
2,182950318,3
3,512817977,3
4,313930815,3
5,516787808,3
6,1371528196,3
7,1137930064,3
8,367948055,3
9,1269577609,3
10,49021480,3
11,190346229,3
12,1228488626,3
13,623452927,3
14,1020971196,3
15,1874771899,3
16,1667074419,3
17,633565390,3
18,511312118,3
19,1277673444,3
20,197965130,3
21,939965411,3
22,2079777985,3
23,456074175,3
24,356992667,3
25,717981094,3
26,1870309101,3
27,2121199255,3
28,938451263,3
29,39838669,3
30,322428361,3
31,1098576557,3
32,1530850179,3
33,1255843507,3
34,927127754,3
35,2091727087,3
36,1892434976,3
37,1883474492,3
38,692810424,3
39,159890779,3
40,1751786750,3
41,131907468,3
42,1847988541,3
43,138106484,3
44,1633832746,3
45,742523612,3
46,1311730632,3
47,1972462776,3
48,88225478,3
49,760196345,3
50,368359434,3
51,963689759,3
52,235927904,3
53,667536743,3
54,2106475465,3
