"sample.time","num.cells","param.index","mutant.effect","drug.outsideConcentration.MULT","cell.type"
0,100000,"1",200,1.73780082874938,"REG-ON"
10,99041,"1",200,1.73780082874938,"REG-ON"
20,93367,"1",200,1.73780082874938,"REG-ON"
30,165269,"1",200,1.73780082874938,"REG-ON"
40,140160,"1",200,1.73780082874938,"REG-ON"
50,218395,"1",200,1.73780082874938,"REG-ON"
60,180034,"1",200,1.73780082874938,"REG-ON"
70,181502,"1",200,1.73780082874938,"REG-ON"
80,214960,"1",200,1.73780082874938,"REG-ON"
90,169266,"1",200,1.73780082874938,"REG-ON"
100,247103,"1",200,1.73780082874938,"REG-ON"
110,191578,"1",200,1.73780082874938,"REG-ON"
120,246489,"1",200,1.73780082874938,"REG-ON"
130,218846,"1",200,1.73780082874938,"REG-ON"
140,203599,"1",200,1.73780082874938,"REG-ON"
150,249181,"1",200,1.73780082874938,"REG-ON"
160,196678,"1",200,1.73780082874938,"REG-ON"
170,271078,"1",200,1.73780082874938,"REG-ON"
180,218265,"1",200,1.73780082874938,"REG-ON"
190,253383,"1",200,1.73780082874938,"REG-ON"
200,248535,"1",200,1.73780082874938,"REG-ON"
210,222664,"1",200,1.73780082874938,"REG-ON"
220,279861,"1",200,1.73780082874938,"REG-ON"
230,223647,"1",200,1.73780082874938,"REG-ON"
240,290819,"1",200,1.73780082874938,"REG-ON"
250,248919,"1",200,1.73780082874938,"REG-ON"
260,267812,"1",200,1.73780082874938,"REG-ON"
270,282088,"1",200,1.73780082874938,"REG-ON"
280,246294,"1",200,1.73780082874938,"REG-ON"
290,307671,"1",200,1.73780082874938,"REG-ON"
300,251335,"1",200,1.73780082874938,"REG-ON"
0,100000,"2",200,1.81970085860998,"REG-ON"
10,98979,"2",200,1.81970085860998,"REG-ON"
20,92687,"2",200,1.81970085860998,"REG-ON"
30,162106,"2",200,1.81970085860998,"REG-ON"
40,135275,"2",200,1.81970085860998,"REG-ON"
50,207221,"2",200,1.81970085860998,"REG-ON"
60,167962,"2",200,1.81970085860998,"REG-ON"
70,166486,"2",200,1.81970085860998,"REG-ON"
80,192800,"2",200,1.81970085860998,"REG-ON"
90,148864,"2",200,1.81970085860998,"REG-ON"
100,212464,"2",200,1.81970085860998,"REG-ON"
110,161383,"2",200,1.81970085860998,"REG-ON"
120,203273,"2",200,1.81970085860998,"REG-ON"
130,177677,"2",200,1.81970085860998,"REG-ON"
140,161959,"2",200,1.81970085860998,"REG-ON"
150,194600,"2",200,1.81970085860998,"REG-ON"
160,150732,"2",200,1.81970085860998,"REG-ON"
170,203194,"2",200,1.81970085860998,"REG-ON"
180,160291,"2",200,1.81970085860998,"REG-ON"
190,182745,"2",200,1.81970085860998,"REG-ON"
200,175712,"2",200,1.81970085860998,"REG-ON"
210,154417,"2",200,1.81970085860998,"REG-ON"
220,189775,"2",200,1.81970085860998,"REG-ON"
230,148919,"2",200,1.81970085860998,"REG-ON"
240,189627,"2",200,1.81970085860998,"REG-ON"
250,159183,"2",200,1.81970085860998,"REG-ON"
260,167833,"2",200,1.81970085860998,"REG-ON"
270,173283,"2",200,1.81970085860998,"REG-ON"
280,148751,"2",200,1.81970085860998,"REG-ON"
290,181974,"2",200,1.81970085860998,"REG-ON"
300,145836,"2",200,1.81970085860998,"REG-ON"
0,100000,"3",200,1.90546071796325,"REG-ON"
