"param.index","kappa","MIC.fraction","drug.outsideConcentration.MULT","rate","t.end"
"1",1,0.08321406,0.1,0.00900283818744961,"60"
"1",1,0.08321406,0.1,0.010791738459255,"120"
"1",1,0.08321406,0.1,0.0112013633383338,"180"
"2",2,0.08058672,0.1,0.00955020268292949,"60"
"2",2,0.08058672,0.1,0.0115589478575053,"120"
"2",2,0.08058672,0.1,0.0120758599393774,"180"
"3",3,0.079134,0.1,0.00959433864882443,"60"
"3",3,0.079134,0.1,0.0116532005680752,"120"
"3",3,0.079134,0.1,0.0121966381294388,"180"
"4",4,0.07814015,0.1,0.00960294414998904,"60"
"4",4,0.07814015,0.1,0.0116707567648664,"120"
"4",4,0.07814015,0.1,0.0122209994562375,"180"
"5",5,0.0775176,0.1,0.0096064850374777,"60"
"5",5,0.0775176,0.1,0.0116767049331634,"120"
"5",5,0.0775176,0.1,0.0122270854567556,"180"
"6",1,0.08321406,0.158489319246111,0.0086051846379162,"60"
"6",1,0.08321406,0.158489319246111,0.0102372558883,"120"
"6",1,0.08321406,0.158489319246111,0.0105715669687551,"180"
"7",2,0.08058672,0.158489319246111,0.00945229747296059,"60"
"7",2,0.08058672,0.158489319246111,0.011395513879811,"120"
"7",2,0.08058672,0.158489319246111,0.0118773593620561,"180"
"8",3,0.079134,0.158489319246111,0.00957747470214165,"60"
"8",3,0.079134,0.158489319246111,0.0116088347794214,"120"
"8",3,0.079134,0.158489319246111,0.0121407324475637,"180"
"9",4,0.07814015,0.158489319246111,0.00960034539212122,"60"
"9",4,0.07814015,0.158489319246111,0.011657320921042,"120"
"9",4,0.07814015,0.158489319246111,0.0122018675961319,"180"
"10",5,0.0775176,0.158489319246111,0.00960313376921454,"60"
"10",5,0.0775176,0.158489319246111,0.011671118474294,"120"
"10",5,0.0775176,0.158489319246111,0.0122191897135601,"180"
"11",1,0.08321406,0.251188643150958,0.0080596550807695,"60"
"11",1,0.08321406,0.251188643150958,0.00943923866820879,"120"
"11",1,0.08321406,0.251188643150958,0.00964059270095706,"180"
"12",2,0.08058672,0.251188643150958,0.00927729819266783,"60"
"12",2,0.08058672,0.251188643150958,0.0110669588731579,"120"
"12",2,0.08058672,0.251188643150958,0.0114550843353742,"180"
"13",3,0.079134,0.251188643150958,0.00950880470910731,"60"
"13",3,0.079134,0.251188643150958,0.0114699972733327,"120"
"13",3,0.079134,0.251188643150958,0.0119525460519542,"180"
"14",4,0.07814015,0.251188643150958,0.00957888026157282,"60"
"14",4,0.07814015,0.251188643150958,0.0116031554752912,"120"
"14",4,0.07814015,0.251188643150958,0.0121228223593115,"180"
"15",5,0.0775176,0.251188643150958,0.00959617428018145,"60"
"15",5,0.0775176,0.251188643150958,0.0116413876077794,"120"
"15",5,0.0775176,0.251188643150958,0.0121796577301984,"180"
"16",1,0.08321406,0.398107170553497,0.00716714759538141,"60"
"16",1,0.08321406,0.398107170553497,0.00814919606244298,"120"
"16",1,0.08321406,0.398107170553497,0.00815583007365203,"180"
