"sim.label","sample.time","num.cells","param.index","kappa","MIC.fraction","drug.outsideConcentration.MULT"
1,0,1000,1,1,0.08321406,0.1
1,10,998,1,1,0.08321406,0.1
1,20,998,1,1,0.08321406,0.1
1,30,1944,1,1,0.08321406,0.1
1,40,1897,1,1,0.08321406,0.1
1,50,3702,1,1,0.08321406,0.1
1,60,3606,1,1,0.08321406,0.1
1,70,6678,1,1,0.08321406,0.1
1,80,6810,1,1,0.08321406,0.1
1,90,9985,1,1,0.08321406,0.1
1,100,12785,1,1,0.08321406,0.1
1,110,14418,1,1,0.08321406,0.1
1,120,24001,1,1,0.08321406,0.1
1,130,24135,1,1,0.08321406,0.1
1,140,44385,1,1,0.08321406,0.1
1,150,43951,1,1,0.08321406,0.1
1,160,76612,1,1,0.08321406,0.1
1,170,82190,1,1,0.08321406,0.1
1,180,120222,1,1,0.08321406,0.1
2,0,1000,1,1,0.08321406,0.1
2,10,996,1,1,0.08321406,0.1
2,20,996,1,1,0.08321406,0.1
2,30,1950,1,1,0.08321406,0.1
2,40,1921,1,1,0.08321406,0.1
2,50,3749,1,1,0.08321406,0.1
2,60,3655,1,1,0.08321406,0.1
2,70,6750,1,1,0.08321406,0.1
2,80,6903,1,1,0.08321406,0.1
2,90,10101,1,1,0.08321406,0.1
2,100,12933,1,1,0.08321406,0.1
2,110,14655,1,1,0.08321406,0.1
2,120,24314,1,1,0.08321406,0.1
2,130,24541,1,1,0.08321406,0.1
2,140,45086,1,1,0.08321406,0.1
2,150,44712,1,1,0.08321406,0.1
2,160,77622,1,1,0.08321406,0.1
2,170,83417,1,1,0.08321406,0.1
2,180,121796,1,1,0.08321406,0.1
3,0,1000,1,1,0.08321406,0.1
3,10,998,1,1,0.08321406,0.1
3,20,998,1,1,0.08321406,0.1
3,30,1944,1,1,0.08321406,0.1
3,40,1902,1,1,0.08321406,0.1
3,50,3706,1,1,0.08321406,0.1
3,60,3607,1,1,0.08321406,0.1
3,70,6627,1,1,0.08321406,0.1
3,80,6820,1,1,0.08321406,0.1
3,90,9819,1,1,0.08321406,0.1
3,100,12805,1,1,0.08321406,0.1
3,110,14429,1,1,0.08321406,0.1
3,120,24029,1,1,0.08321406,0.1
3,130,24115,1,1,0.08321406,0.1
3,140,44259,1,1,0.08321406,0.1
3,150,43927,1,1,0.08321406,0.1
3,160,75814,1,1,0.08321406,0.1
3,170,81860,1,1,0.08321406,0.1
3,180,118555,1,1,0.08321406,0.1
21,0,1000,1,1,0.08321406,0.1
21,10,996,1,1,0.08321406,0.1
21,20,997,1,1,0.08321406,0.1
21,30,1928,1,1,0.08321406,0.1
21,40,1882,1,1,0.08321406,0.1
21,50,3675,1,1,0.08321406,0.1
21,60,3591,1,1,0.08321406,0.1
21,70,6606,1,1,0.08321406,0.1
21,80,6792,1,1,0.08321406,0.1
21,90,9686,1,1,0.08321406,0.1
21,100,12689,1,1,0.08321406,0.1
21,110,14164,1,1,0.08321406,0.1
21,120,23882,1,1,0.08321406,0.1
21,130,23970,1,1,0.08321406,0.1
21,140,44098,1,1,0.08321406,0.1
21,150,43751,1,1,0.08321406,0.1
21,160,75350,1,1,0.08321406,0.1
21,170,81745,1,1,0.08321406,0.1
21,180,117473,1,1,0.08321406,0.1
22,0,1000,1,1,0.08321406,0.1
22,10,996,1,1,0.08321406,0.1
22,20,998,1,1,0.08321406,0.1
22,30,1937,1,1,0.08321406,0.1
22,40,1892,1,1,0.08321406,0.1
22,50,3717,1,1,0.08321406,0.1
22,60,3611,1,1,0.08321406,0.1
22,70,6679,1,1,0.08321406,0.1
22,80,6853,1,1,0.08321406,0.1
22,90,10004,1,1,0.08321406,0.1
22,100,12974,1,1,0.08321406,0.1
22,110,14526,1,1,0.08321406,0.1
22,120,24397,1,1,0.08321406,0.1
22,130,24469,1,1,0.08321406,0.1
22,140,44972,1,1,0.08321406,0.1
22,150,44618,1,1,0.08321406,0.1
22,160,77116,1,1,0.08321406,0.1
22,170,83197,1,1,0.08321406,0.1
22,180,120386,1,1,0.08321406,0.1
23,0,1000,1,1,0.08321406,0.1
23,10,998,1,1,0.08321406,0.1
23,20,1001,1,1,0.08321406,0.1
23,30,1930,1,1,0.08321406,0.1
23,40,1903,1,1,0.08321406,0.1
23,50,3726,1,1,0.08321406,0.1
23,60,3649,1,1,0.08321406,0.1
23,70,6735,1,1,0.08321406,0.1
23,80,6903,1,1,0.08321406,0.1
23,90,9983,1,1,0.08321406,0.1
23,100,12995,1,1,0.08321406,0.1
23,110,14718,1,1,0.08321406,0.1
23,120,24477,1,1,0.08321406,0.1
23,130,24610,1,1,0.08321406,0.1
23,140,45249,1,1,0.08321406,0.1
23,150,44916,1,1,0.08321406,0.1
23,160,77607,1,1,0.08321406,0.1
23,170,83828,1,1,0.08321406,0.1
23,180,121481,1,1,0.08321406,0.1
41,0,1000,1,1,0.08321406,0.1
41,10,997,1,1,0.08321406,0.1
41,20,1006,1,1,0.08321406,0.1
41,30,1943,1,1,0.08321406,0.1
41,40,1916,1,1,0.08321406,0.1
41,50,3721,1,1,0.08321406,0.1
41,60,3626,1,1,0.08321406,0.1
41,70,6684,1,1,0.08321406,0.1
41,80,6867,1,1,0.08321406,0.1
41,90,9924,1,1,0.08321406,0.1
41,100,12913,1,1,0.08321406,0.1
41,110,14514,1,1,0.08321406,0.1
41,120,24221,1,1,0.08321406,0.1
41,130,24378,1,1,0.08321406,0.1
41,140,44712,1,1,0.08321406,0.1
41,150,44527,1,1,0.08321406,0.1
41,160,76759,1,1,0.08321406,0.1
41,170,83208,1,1,0.08321406,0.1
41,180,120389,1,1,0.08321406,0.1
42,0,1000,1,1,0.08321406,0.1
42,10,992,1,1,0.08321406,0.1
42,20,985,1,1,0.08321406,0.1
42,30,1936,1,1,0.08321406,0.1
42,40,1896,1,1,0.08321406,0.1
42,50,3683,1,1,0.08321406,0.1
42,60,3608,1,1,0.08321406,0.1
42,70,6598,1,1,0.08321406,0.1
42,80,6790,1,1,0.08321406,0.1
42,90,9760,1,1,0.08321406,0.1
42,100,12752,1,1,0.08321406,0.1
42,110,14195,1,1,0.08321406,0.1
42,120,23886,1,1,0.08321406,0.1
42,130,23916,1,1,0.08321406,0.1
42,140,44105,1,1,0.08321406,0.1
42,150,43821,1,1,0.08321406,0.1
42,160,75421,1,1,0.08321406,0.1
42,170,81774,1,1,0.08321406,0.1
42,180,117739,1,1,0.08321406,0.1
43,0,1000,1,1,0.08321406,0.1
43,10,996,1,1,0.08321406,0.1
43,20,996,1,1,0.08321406,0.1
43,30,1950,1,1,0.08321406,0.1
43,40,1914,1,1,0.08321406,0.1
43,50,3720,1,1,0.08321406,0.1
43,60,3624,1,1,0.08321406,0.1
43,70,6645,1,1,0.08321406,0.1
43,80,6860,1,1,0.08321406,0.1
43,90,9966,1,1,0.08321406,0.1
43,100,12957,1,1,0.08321406,0.1
43,110,14506,1,1,0.08321406,0.1
43,120,24337,1,1,0.08321406,0.1
43,130,24434,1,1,0.08321406,0.1
43,140,45016,1,1,0.08321406,0.1
43,150,44627,1,1,0.08321406,0.1
43,160,77158,1,1,0.08321406,0.1
43,170,83163,1,1,0.08321406,0.1
43,180,120552,1,1,0.08321406,0.1
61,0,1000,1,1,0.08321406,0.1
61,10,999,1,1,0.08321406,0.1
61,20,1009,1,1,0.08321406,0.1
61,30,1944,1,1,0.08321406,0.1
61,40,1912,1,1,0.08321406,0.1
61,50,3722,1,1,0.08321406,0.1
61,60,3630,1,1,0.08321406,0.1
61,70,6721,1,1,0.08321406,0.1
61,80,6877,1,1,0.08321406,0.1
61,90,9942,1,1,0.08321406,0.1
61,100,12955,1,1,0.08321406,0.1
61,110,14563,1,1,0.08321406,0.1
61,120,24354,1,1,0.08321406,0.1
61,130,24472,1,1,0.08321406,0.1
61,140,44997,1,1,0.08321406,0.1
61,150,44590,1,1,0.08321406,0.1
61,160,77074,1,1,0.08321406,0.1
61,170,83142,1,1,0.08321406,0.1
61,180,120395,1,1,0.08321406,0.1
62,0,1000,1,1,0.08321406,0.1
62,10,999,1,1,0.08321406,0.1
62,20,1011,1,1,0.08321406,0.1
62,30,1966,1,1,0.08321406,0.1
62,40,1933,1,1,0.08321406,0.1
62,50,3761,1,1,0.08321406,0.1
62,60,3679,1,1,0.08321406,0.1
62,70,6753,1,1,0.08321406,0.1
62,80,6947,1,1,0.08321406,0.1
62,90,10040,1,1,0.08321406,0.1
62,100,13137,1,1,0.08321406,0.1
62,110,14706,1,1,0.08321406,0.1
62,120,24630,1,1,0.08321406,0.1
62,130,24707,1,1,0.08321406,0.1
62,140,45361,1,1,0.08321406,0.1
62,150,45092,1,1,0.08321406,0.1
62,160,77787,1,1,0.08321406,0.1
62,170,84221,1,1,0.08321406,0.1
62,180,121192,1,1,0.08321406,0.1
63,0,1000,1,1,0.08321406,0.1
63,10,999,1,1,0.08321406,0.1
63,20,991,1,1,0.08321406,0.1
63,30,1939,1,1,0.08321406,0.1
63,40,1891,1,1,0.08321406,0.1
63,50,3702,1,1,0.08321406,0.1
63,60,3606,1,1,0.08321406,0.1
63,70,6646,1,1,0.08321406,0.1
63,80,6811,1,1,0.08321406,0.1
63,90,9889,1,1,0.08321406,0.1
63,100,12826,1,1,0.08321406,0.1
63,110,14420,1,1,0.08321406,0.1
63,120,24115,1,1,0.08321406,0.1
63,130,24194,1,1,0.08321406,0.1
63,140,44541,1,1,0.08321406,0.1
63,150,44234,1,1,0.08321406,0.1
63,160,76284,1,1,0.08321406,0.1
63,170,82470,1,1,0.08321406,0.1
63,180,118958,1,1,0.08321406,0.1
81,0,1000,1,1,0.08321406,0.1
81,10,997,1,1,0.08321406,0.1
81,20,1000,1,1,0.08321406,0.1
81,30,1944,1,1,0.08321406,0.1
81,40,1918,1,1,0.08321406,0.1
81,50,3749,1,1,0.08321406,0.1
81,60,3663,1,1,0.08321406,0.1
81,70,6781,1,1,0.08321406,0.1
81,80,6932,1,1,0.08321406,0.1
81,90,10073,1,1,0.08321406,0.1
81,100,13058,1,1,0.08321406,0.1
81,110,14741,1,1,0.08321406,0.1
81,120,24537,1,1,0.08321406,0.1
81,130,24563,1,1,0.08321406,0.1
81,140,45197,1,1,0.08321406,0.1
81,150,44785,1,1,0.08321406,0.1
81,160,77708,1,1,0.08321406,0.1
81,170,83708,1,1,0.08321406,0.1
81,180,121786,1,1,0.08321406,0.1
82,0,1000,1,1,0.08321406,0.1
82,10,999,1,1,0.08321406,0.1
82,20,1000,1,1,0.08321406,0.1
82,30,1948,1,1,0.08321406,0.1
82,40,1907,1,1,0.08321406,0.1
82,50,3719,1,1,0.08321406,0.1
82,60,3651,1,1,0.08321406,0.1
82,70,6736,1,1,0.08321406,0.1
82,80,6906,1,1,0.08321406,0.1
82,90,10158,1,1,0.08321406,0.1
82,100,13019,1,1,0.08321406,0.1
82,110,14693,1,1,0.08321406,0.1
82,120,24496,1,1,0.08321406,0.1
82,130,24621,1,1,0.08321406,0.1
82,140,45347,1,1,0.08321406,0.1
82,150,44980,1,1,0.08321406,0.1
82,160,78201,1,1,0.08321406,0.1
82,170,84090,1,1,0.08321406,0.1
82,180,122468,1,1,0.08321406,0.1
83,0,1000,1,1,0.08321406,0.1
83,10,999,1,1,0.08321406,0.1
83,20,1001,1,1,0.08321406,0.1
83,30,1938,1,1,0.08321406,0.1
83,40,1900,1,1,0.08321406,0.1
83,50,3703,1,1,0.08321406,0.1
83,60,3618,1,1,0.08321406,0.1
83,70,6693,1,1,0.08321406,0.1
83,80,6829,1,1,0.08321406,0.1
83,90,9899,1,1,0.08321406,0.1
83,100,12851,1,1,0.08321406,0.1
83,110,14453,1,1,0.08321406,0.1
