"sim.label","seed","param.index"
1,640895633,1
2,1935693476,1
3,1216339646,1
21,1350482947,1
22,252544191,1
23,142126527,1
41,590193975,1
42,855839261,1
43,23760860,1
61,394273972,1
62,834815333,1
63,890165675,1
81,61791776,1
82,1701163053,1
83,947473495,1
1,323393878,2
21,1462098461,2
41,1806199030,2
61,613681265,2
81,1996485915,2
1,2009514469,3
21,1672227543,3
41,1928675785,3
61,72062088,3
81,1179482561,3
1,1841827878,4
21,1015015060,4
41,1479822745,4
61,1968011871,4
81,323298269,4
1,1694361339,5
21,1170266636,5
41,1774542461,5
61,1713288579,5
81,2067898492,5
1,1211619161,6
2,1852962440,6
3,153584289,6
4,1190022771,6
21,1336826455,6
22,1549627147,6
23,1499776536,6
24,2049929851,6
41,1906068349,6
42,270279189,6
43,640356679,6
44,869587046,6
61,870093798,6
62,1152693446,6
63,1259422321,6
64,2044372493,6
81,338562233,6
82,327772394,6
83,1335091313,6
84,1099966655,6
1,1944549533,7
21,1722995824,7
41,163942789,7
61,1642727070,7
62,349283184,7
81,665291086,7
82,1466472798,7
1,793485847,8
21,318438571,8
41,2024854824,8
61,2119866634,8
81,1246912976,8
1,2146193367,9
21,264821054,9
41,900504343,9
61,599930565,9
81,1609154574,9
1,1139773663,10
21,629410325,10
41,217885339,10
61,82992025,10
81,584650282,10
1,2048825355,11
2,1732654365,11
3,1029959050,11
4,1518680481,11
5,599256048,11
6,379124401,11
7,234320044,11
21,785668929,11
22,1694249547,11
23,1103692859,11
24,29269256,11
25,561072230,11
26,879809843,11
27,2038060688,11
41,182400804,11
42,1166661430,11
43,562385480,11
44,1966318660,11
45,1636909054,11
46,41371795,11
47,54333409,11
61,884948100,11
62,437930731,11
63,1128308129,11
64,800914447,11
65,1072970271,11
66,619860106,11
67,1073804406,11
81,1444493362,11
82,1692140291,11
83,411005207,11
84,488266095,11
85,1263542958,11
86,104119652,11
87,1257035701,11
88,907055406,11
1,1166469557,12
2,1950172059,12
21,2032258652,12
22,1719572811,12
41,997192336,12
42,122161606,12
61,207114874,12
62,1452709385,12
81,977919449,12
82,1702952995,12
1,255346805,13
21,1565524462,13
41,1647275481,13
61,1072023525,13
81,1844056654,13
1,1563250855,14
21,2034810422,14
41,2102070582,14
61,1833057732,14
81,831455312,14
1,920296803,15
21,343079937,15
41,59731696,15
61,146446523,15
81,1929774901,15
1,951421553,16
2,580872348,16
3,540253166,16
4,268526672,16
5,1568193196,16
6,742256490,16
7,489962059,16
8,1902392699,16
9,1788534490,16
10,1539691779,16
11,458390307,16
12,561935234,16
13,409090444,16
14,2216156,16
15,1159883139,16
16,1215472479,16
17,1163847766,16
18,34538826,16
21,323298741,16
22,1309791808,16
23,540407732,16
24,32738597,16
25,216387187,16
26,492899783,16
27,1865868883,16
28,871182849,16
29,540591915,16
30,1488324007,16
31,1897519880,16
32,1102087785,16
33,1664849874,16
34,398086595,16
35,290076258,16
36,1312103990,16
37,1903741943,16
38,1745000610,16
41,1095117069,16
42,1119262609,16
43,923162913,16
44,425332487,16
45,1411633658,16
46,615808076,16
47,1812291847,16
48,891490155,16
49,495596062,16
50,307610728,16
51,1973193617,16
52,1974775728,16
53,693928132,16
54,279717887,16
55,677355485,16
56,877677400,16
57,1040723332,16
58,1344583363,16
61,1188364361,16
62,1823515120,16
63,1448132117,16
64,1643338700,16
65,1989142513,16
66,31869567,16
67,1576399707,16
68,1029794202,16
69,582013297,16
70,1886698895,16
71,80488613,16
72,170536119,16
73,304837758,16
74,360664748,16
75,205256934,16
76,1392698723,16
77,223418742,16
78,1719678986,16
81,1888792873,16
82,1612674891,16
83,1175754452,16
84,1886058394,16
85,1524798522,16
86,880641418,16
87,1570538289,16
88,2117307966,16
89,1518065714,16
90,862326235,16
91,741046637,16
92,1982643686,16
93,1437755880,16
94,549511444,16
95,426656609,16
96,1981105014,16
97,1404479004,16
98,328672992,16
1,605711339,17
2,531155654,17
3,1258834035,17
4,1266325886,17
5,1041134370,17
21,185314079,17
22,386428798,17
23,398533265,17
24,1820393968,17
25,816025691,17
41,1034749943,17
42,471239674,17
43,1075018277,17
44,845592202,17
61,1085444880,17
62,288094935,17
63,1807763249,17
64,869885830,17
81,1963549654,17
82,1642529581,17
83,1848685733,17
84,1889600544,17
1,1545632802,18
2,1896675552,18
21,243544820,18
22,2018539583,18
41,1827055203,18
42,795494281,18
61,188719717,18
62,1438687571,18
81,1947165361,18
82,804194800,18
1,188382372,19
2,1090229853,19
21,1568222820,19
22,2112377929,19
41,32046126,19
42,1539514084,19
61,66624493,19
62,1627949481,19
81,1934786462,19
82,1031931427,19
1,792444060,20
21,778932794,20
41,1208948273,20
61,1807014103,20
81,2111569997,20
1,582234169,21
2,1764309790,21
3,980540341,21
4,606401281,21
5,1754132153,21
6,144401704,21
7,134470191,21
8,602145523,21
9,730585846,21
10,400723426,21
11,1588054167,21
12,1830593106,21
13,1864364619,21
14,747119710,21
15,1383085951,21
16,501263508,21
17,295639038,21
18,304831577,21
19,187419766,21
20,564001312,21
21,1707119108,21
22,2117805434,21
23,985284456,21
24,93900942,21
25,1487651984,21
26,1738584390,21
27,1182949102,21
28,1415126908,21
29,1663826110,21
30,1188452111,21
31,861401036,21
32,1141453495,21
33,1473662937,21
34,1472141811,21
35,1604664874,21
36,285927945,21
37,320123709,21
38,1015232147,21
39,316343146,21
40,1017598415,21
41,482132571,21
42,1330575143,21
43,1468277288,21
44,1539186951,21
45,1713617202,21
46,236862761,21
47,1366775059,21
48,360973579,21
49,2063148234,21
50,2117887797,21
51,1797231577,21
52,1805495122,21
53,1519289999,21
54,482968878,21
55,199233851,21
56,1815262023,21
57,1611628026,21
58,1161248511,21
59,2110511789,21
60,1319518030,21
61,377221963,21
62,263131008,21
63,282112349,21
64,1878093236,21
65,382412521,21
66,1888657002,21
67,758504355,21
68,1138826674,21
69,772826193,21
70,1896770585,21
71,1672500114,21
72,974009302,21
73,798911659,21
74,1241164994,21
75,1349653439,21
76,453561578,21
77,1410030171,21
78,1775639527,21
79,1551546081,21
80,961566931,21
81,1280332768,21
82,880686700,21
83,734547643,21
84,1344682337,21
85,1534756580,21
86,2088572721,21
87,2113832881,21
88,16320468,21
89,757228220,21
90,522590195,21
91,549651119,21
92,431843931,21
93,1894136725,21
94,265952107,21
95,953762677,21
96,2078426675,21
97,1395818165,21
98,861140711,21
99,1091020574,21
100,1848049390,21
1,292291791,22
2,1131211151,22
3,1369598273,22
4,1341604341,22
5,38566921,22
6,1237949820,22
7,1858575263,22
8,1857792420,22
9,1079044096,22
10,1537951472,22
11,1458475653,22
12,828091715,22
13,474187420,22
14,1968822826,22
15,1193302571,22
16,1571042434,22
17,1984771594,22
18,1039450031,22
19,1752300707,22
20,1909712435,22
21,1709716518,22
22,1808212429,22
23,1815444460,22
24,2016344923,22
25,630798740,22
26,1348271473,22
27,1152053036,22
28,734708945,22
29,1034698264,22
30,922720589,22
31,1006617610,22
32,1656915565,22
33,1412162462,22
34,957942162,22
35,79468772,22
36,1365784089,22
37,2033195085,22
38,370058058,22
41,517931420,22
42,1626399440,22
43,1614295551,22
44,330337,22
45,1337820557,22
46,4069433,22
47,1398554913,22
48,1895203823,22
49,1685513617,22
50,1553547652,22
51,1793799868,22
52,2022337135,22
53,304344428,22
54,12906357,22
55,892101648,22
56,1184708084,22
57,851820449,22
61,1172525516,22
62,712197545,22
63,504491405,22
64,174105008,22
65,1523299784,22
66,1537301254,22
67,1881960965,22
68,1666125689,22
69,104539578,22
70,1066018584,22
71,948798077,22
72,301072266,22
73,1677261586,22
74,1954926973,22
75,426197723,22
76,314073894,22
77,1992599304,22
78,463446678,22
81,2130187426,22
82,1671596692,22
83,1931929704,22
84,973734675,22
85,93570263,22
86,187296365,22
87,1212634455,22
88,1222033879,22
89,1470671446,22
90,446571157,22
91,1449810732,22
92,930722116,22
93,1635070857,22
94,1019862054,22
95,1670271080,22
96,700666355,22
97,2078005815,22
98,705648650,22
1,1251897843,23
2,1137699815,23
3,1081563892,23
4,704550840,23
5,1305553838,23
6,1721029483,23
7,1106804752,23
8,759265434,23
9,846591946,23
21,177773146,23
22,2128579179,23
23,634127346,23
24,304880699,23
25,1787306480,23
26,1240177020,23
27,962370929,23
28,352513667,23
29,1531949583,23
41,1373861900,23
42,886876867,23
43,1027973528,23
44,1867879229,23
45,1264414061,23
46,1738858567,23
47,1726708212,23
48,1221950303,23
49,1077231993,23
61,862418630,23
62,406591347,23
63,862331257,23
64,2136693062,23
65,2140674900,23
66,1823793291,23
67,924771202,23
68,1439131539,23
