"survive","param.index","kappa","MIC.fraction","drug.outsideConcentration.MULT","extinction.time","extinction.time.sd","num.reps"
1,"1",1,0.08321406,0,NA,NA,1000
1,"2",2,0.08058672,0,NA,NA,1000
1,"3",3,0.079134,0,NA,NA,1000
1,"4",4,0.07814015,0,NA,NA,1000
1,"5",5,0.0775176,0,NA,NA,1000
0.982,"6",1,0.08321406,0.1,13.8522873969042,5.81715983171658,1000
1,"7",2,0.08058672,0.1,NA,NA,1000
1,"8",3,0.079134,0.1,NA,NA,1000
1,"9",4,0.07814015,0.1,NA,NA,1000
1,"10",5,0.0775176,0.1,NA,NA,1000
0.964,"11",1,0.08321406,0.2,26.5927802944129,24.7558992486646,1000
0.996,"12",2,0.08058672,0.2,15.0504012413653,5.72237315706788,1000
0.999,"13",3,0.079134,0.2,18.045053687997,NA,1000
1,"14",4,0.07814015,0.2,NA,NA,1000
1,"15",5,0.0775176,0.2,NA,NA,1000
0.92,"16",1,0.08321406,0.3,25.2022350130556,18.1392496948303,1000
0.987,"17",2,0.08058672,0.3,21.8079709315692,16.3023941082224,1000
0.998,"18",3,0.079134,0.3,16.9861452791588,1.06452069330094,1000
0.999,"19",4,0.07814015,0.3,14.8402876100313,NA,1000
1,"20",5,0.0775176,0.3,NA,NA,1000
0.896,"21",1,0.08321406,0.4,34.1338507458315,26.8313141728014,1000
0.99,"22",2,0.08058672,0.4,24.7945579159229,17.4741146247337,1000
0.996,"23",3,0.079134,0.4,18.0062589664936,3.96211495499533,1000
0.999,"24",4,0.07814015,0.4,36.3686136628242,NA,1000
0.999,"25",5,0.0775176,0.4,14.6879529588558,NA,1000
0.825,"26",1,0.08321406,0.5,45.6889626327589,50.5986697385105,1000
0.964,"27",2,0.08058672,0.5,27.0651630661904,18.5786532311359,1000
0.993,"28",3,0.079134,0.5,27.7296685011958,12.3730339316851,1000
0.996,"29",4,0.07814015,0.5,23.5587593896611,10.4019346955781,1000
0.999,"30",5,0.0775176,0.5,18.3660172212994,NA,1000
0.743,"31",1,0.08321406,0.6,59.1271176139233,63.0930358551282,1000
0.919,"32",2,0.08058672,0.6,41.1207535828829,41.0992586044921,1000
0.981,"33",3,0.079134,0.6,39.2694684596268,19.2064398764141,1000
0.992,"34",4,0.07814015,0.6,27.8044978055722,17.5196801958922,1000
1,"35",5,0.0775176,0.6,NA,NA,1000
0.641,"36",1,0.08321406,0.7,71.8606067162769,71.8698676969179,1000
0.897,"37",2,0.08058672,0.7,65.3512555948182,55.8079520264906,1000
0.961,"38",3,0.079134,0.7,47.3045372116468,26.3713259664302,1000
0.986,"39",4,0.07814015,0.7,60.4364417416063,47.2582945812839,1000
0.994,"40",5,0.0775176,0.7,76.7712273426485,36.2912254749625,1000
0.499,"41",1,0.08321406,0.8,108.668353779469,116.419312641795,1000
0.786,"42",2,0.08058672,0.8,94.2023000831899,87.31947113105,1000
0.875,"43",3,0.079134,0.8,91.4495535295192,77.5144259977799,1000
0.934,"44",4,0.07814015,0.8,90.4196037750642,50.556879444807,1000
0.968,"45",5,0.0775176,0.8,94.9773328899863,46.1832829860667,1000
0.318,"46",1,0.08321406,0.9,151.118610373433,187.286317159814,1000
0.517,"47",2,0.08058672,0.9,161.868055012466,160.23640589652,1000
0.643,"48",3,0.079134,0.9,176.338056197396,160.751942970703,1000
0.741,"49",4,0.07814015,0.9,175.012574147099,147.157944737624,1000
0.773,"50",5,0.0775176,0.9,180.54224460418,141.937449478958,1000
0.089,"51",1,0.08321406,1,205.475585737086,248.327778508211,1000
0.094,"52",2,0.08058672,1,259.916744138446,263.877876998087,1000
