"survive","param.index","drug.outsideConcentration.MULT","MIC.fraction","kappa","extinction.time","extinction.time.sd","num.reps"
0.004,"1",1,0.07,1,140.030954324435,166.473309041529,1000
0.002,"2",1,0.0705,1,146.241249389737,161.792791594568,1000
0,"3",1,0.071,1,143.493494577381,165.843632758631,1000
0.002,"4",1,0.0715,1,156.394334233707,176.284478396014,1000
0.002,"5",1,0.072,1,148.643211760247,157.817928412043,1000
0.004,"6",1,0.0725,1,156.538799952542,177.602534527358,1000
0.004,"7",1,0.073,1,158.581597433149,182.423381370003,1000
0.007,"8",1,0.0735,1,158.588491791452,175.852762375696,1000
0.005,"9",1,0.074,1,154.776966856284,178.267900690115,1000
0.006,"10",1,0.0745,1,161.586246105781,185.747360918045,1000
0.006,"11",1,0.075,1,173.04217017111,201.883643794762,1000
0.008,"12",1,0.0755,1,175.837634960204,206.79178741006,1000
0.013,"13",1,0.076,1,174.67908343947,205.923201010397,1000
0.02,"14",1,0.0765,1,166.910852037187,188.477416186654,1000
0.016,"15",1,0.077,1,170.858702355589,207.164167273043,1000
0.022,"16",1,0.0775,1,194.937575826469,223.454577143451,1000
0.025,"17",1,0.078,1,183.924545086328,216.784982248442,1000
0.033,"18",1,0.0785,1,187.439130737025,221.027684632457,1000
0.035,"19",1,0.079,1,201.990279596284,226.509985522559,1000
0.044,"20",1,0.0795,1,197.228774279036,230.898514804087,1000
0.044,"21",1,0.08,1,190.932661801701,220.251218387366,1000
0.044,"22",1,0.0805,1,192.364861499289,228.587192827064,1000
0.059,"23",1,0.081,1,199.646879256646,225.779813640138,1000
0.06,"24",1,0.0815,1,199.563201694806,231.318871410712,1000
0.075,"25",1,0.082,1,190.441900296507,224.888982717628,1000
0.086,"26",1,0.0825,1,200.749751562636,233.74825194791,1000
0.086,"27",1,0.083,1,201.854995127861,237.885480664545,1000
0.105,"28",1,0.0835,1,182.938709091871,223.377525358565,1000
0.127,"29",1,0.084,1,200.330776988014,234.26430457214,1000
0.145,"30",1,0.0845,1,193.054579520637,236.033441635497,1000
0.131,"31",1,0.085,1,184.924551528869,229.901343011732,1000
0.242,"32",1,0.09,1,169.120705797413,201.509124290836,1000
0.353,"33",1,0.095,1,145.600910742339,172.993953419995,1000
0.447,"34",1,0.1,1,116.956931439644,131.489770620267,1000
0.546,"35",1,0.105,1,112.855377245865,122.597586431496,1000
0.56,"36",1,0.11,1,87.7807821189633,90.8437541834718,1000
0.64,"37",1,0.115,1,82.4522396566054,88.3351230402278,1000
0.674,"38",1,0.12,1,74.8682224636273,82.6002382112065,1000
0,"39",1,0.07,2,140.509610086088,120.157953595021,1000
0,"40",1,0.0705,2,143.15958209824,125.895643674524,1000
0,"41",1,0.071,2,151.978391434164,133.341252792213,1000
0,"42",1,0.0715,2,161.535454425706,150.919678267803,1000
0,"43",1,0.072,2,163.397211948144,149.47237604306,1000
0.001,"44",1,0.0725,2,160.697465015368,146.456643103266,1000
0.001,"45",1,0.073,2,174.677447980689,149.404273058071,1000
0.003,"46",1,0.0735,2,173.368848540987,155.502389562236,1000
0.002,"47",1,0.074,2,181.596110719921,176.829411035096,1000
0.003,"48",1,0.0745,2,186.623905840741,182.861044372257,1000
0.003,"49",1,0.075,2,188.135175657915,175.556324563221,1000
0.003,"50",1,0.0755,2,208.289185758658,200.519814868469,1000
0.01,"51",1,0.076,2,204.578905355407,211.011800936855,1000
0.016,"52",1,0.0765,2,211.41881103056,222.514915561955,1000
0.012,"53",1,0.077,2,209.752093420997,207.875058194264,1000
0.025,"54",1,0.0775,2,223.391524906391,227.549374818673,1000
0.022,"55",1,0.078,2,241.834875859388,243.922807417882,1000
0.037,"56",1,0.0785,2,240.326337232852,235.981515445836,1000
0.045,"57",1,0.079,2,233.806351547492,232.017098412972,1000
0.06,"58",1,0.0795,2,246.380105328789,250.848480633612,1000
0.068,"59",1,0.08,2,229.984454296552,232.708228397851,1000
0.095,"60",1,0.0805,2,243.262343699795,247.218501898709,1000
0.12,"61",1,0.081,2,255.047034228403,249.813647084777,1000
0.128,"62",1,0.0815,2,243.090755317724,239.780661743477,1000
0.135,"63",1,0.082,2,247.690938736471,257.274064774476,1000
0.176,"64",1,0.0825,2,255.434585640555,263.399123947716,1000
0.207,"65",1,0.083,2,232.746244835689,229.726551058441,1000
0.22,"66",1,0.0835,2,229.487626971066,227.735090466595,1000
0.244,"67",1,0.084,2,228.950424879923,227.986693656014,1000
0.275,"68",1,0.0845,2,233.938374750239,227.219328973763,1000
0.296,"69",1,0.085,2,222.852130239807,231.366374694886,1000
0.517,"70",1,0.09,2,156.481043443333,148.662236671948,1000
0.659,"71",1,0.095,2,136.349900311518,134.376749386331,1000
0.755,"72",1,0.1,2,121.362565431164,110.596506920609,1000
