"survive","parameter.index","drug.outsideConcentration.MULT","MIC.fraction","kappa","cell.type","extinction.time","extinction.time.sd"
0.123,"1",1,0.9,1e-06,"WT",91.4724821301857,143.139713544717
0.228,"2",1,0.91,1e-06,"WT",72.8481801155618,115.394446142345
0.328,"3",1,0.92,1e-06,"WT",58.1640824334163,81.8723623204037
0.474,"4",1,0.93,1e-06,"WT",43.2685778257014,53.898611633294
0.555,"5",1,0.94,1e-06,"WT",36.4530991493534,38.1037334450909
0.634,"6",1,0.95,1e-06,"WT",34.5011448675355,39.5868384296308
0.738,"7",1,0.96,1e-06,"WT",27.3094192548221,24.1010405147383
0.816,"8",1,0.97,1e-06,"WT",22.8266401061769,17.887036882543
0.883,"9",1,0.98,1e-06,"WT",19.5479658734472,12.4303439465999
0.947,"10",1,0.99,1e-06,"WT",17.5759403377948,11.3144471439973
1,"11",1,1,1e-06,"WT",NA,NA
0.122,"12",1,0.9,1,"WT",97.5821533949109,175.154039889397
0.214,"13",1,0.91,1,"WT",69.9391050496209,109.17884590539
0.389,"14",1,0.92,1,"WT",52.2347819581335,79.1497890532573
0.483,"15",1,0.93,1,"WT",47.6126933441613,60.5872059831228
0.555,"16",1,0.94,1,"WT",34.8747392843907,41.8151399198018
0.625,"17",1,0.95,1,"WT",33.3065109241577,36.1058418676645
0.731,"18",1,0.96,1,"WT",26.9000880304135,26.670558887484
0.819,"19",1,0.97,1,"WT",23.0957430858728,15.9719974315637
0.868,"20",1,0.98,1,"WT",20.9835501979288,13.6433725754803
0.952,"21",1,0.99,1,"WT",16.6963382627057,11.0477084208469
1,"22",1,1,1,"WT",NA,NA
0.16,"23",1,0.9,2,"WT",94.3497521002061,162.994687950277
0.25,"24",1,0.91,2,"WT",64.3312129225981,100.382280324879
0.347,"25",1,0.92,2,"WT",53.8638868551379,78.9576718940952
0.489,"26",1,0.93,2,"WT",43.617232156869,47.049357102321
0.583,"27",1,0.94,2,"WT",33.6836157514019,38.6392594071952
0.674,"28",1,0.95,2,"WT",31.303205463646,28.1134272514579
0.752,"29",1,0.96,2,"WT",27.1885593700868,24.4028351022219
0.82,"30",1,0.97,2,"WT",23.5690178137872,20.6620526158393
0.889,"31",1,0.98,2,"WT",18.5371350753082,15.1234512803576
0.955,"32",1,0.99,2,"WT",17.3138632859467,10.5961211200318
1,"33",1,1,2,"WT",NA,NA
0.113,"34",1,0.9,3,"WT",93.1259730383749,146.415190109056
0.279,"35",1,0.91,3,"WT",73.142470495421,108.012143036574
0.399,"36",1,0.92,3,"WT",50.0892222204032,59.6815242258328
0.51,"37",1,0.93,3,"WT",43.0005329328556,50.6665053120652
0.624,"38",1,0.94,3,"WT",30.414562449361,36.4146983851655
0.687,"39",1,0.95,3,"WT",32.301533982182,30.0436908049301
0.767,"40",1,0.96,3,"WT",24.9301666629347,19.757738566926
0.839,"41",1,0.97,3,"WT",22.0528890911273,18.7383802425525
0.903,"42",1,0.98,3,"WT",18.6325295567979,12.6628573867723
0.955,"43",1,0.99,3,"WT",17.9684229138883,9.68685507866622
1,"44",1,1,3,"WT",NA,NA
