"survive","parameter.index","drug.outsideConcentration.MULT","MIC.fraction","kappa","cell.type","extinction.time","extinction.time.sd"
0,"1",1,0.07,1,"WT",142.320336037759,160.580033568272
0.002,"2",1,0.0725,1,"WT",149.460873932566,168.459199228433
0.012,"3",1,0.075,1,"WT",183.475681654105,216.859997235451
0.02,"4",1,0.0775,1,"WT",186.817251669787,226.646243755164
0.038,"5",1,0.08,1,"WT",189.340817428752,228.104355389132
0.092,"6",1,0.0825,1,"WT",192.203510960143,232.988211290841
0.135,"7",1,0.085,1,"WT",182.34037914604,221.824867585594
0.181,"8",1,0.0875,1,"WT",183.926352864204,220.848898627864
0.241,"9",1,0.09,1,"WT",163.024439117648,197.60106851786
0.303,"10",1,0.0925,1,"WT",157.179621373646,188.159007688077
0.35,"11",1,0.095,1,"WT",156.481264723917,177.486295580527
0.386,"12",1,0.0975,1,"WT",127.017942435357,155.335843031445
0.438,"13",1,0.1,1,"WT",121.799318690564,141.395749791874
0.464,"14",1,0.1025,1,"WT",113.070286502398,130.014023455613
0.514,"15",1,0.105,1,"WT",103.245651482375,116.92921727296
0.574,"16",1,0.1075,1,"WT",90.6145207195805,96.7066606645404
0.553,"17",1,0.11,1,"WT",91.2708010472462,99.5008064401132
0.617,"18",1,0.1125,1,"WT",81.0730230610009,86.3876564998554
0.64,"19",1,0.115,1,"WT",76.8857652301268,90.0218904254181
0.657,"20",1,0.1175,1,"WT",83.2960072254704,85.1946463536065
0.667,"21",1,0.12,1,"WT",77.1428638180726,84.9887040323773
0,"22",1,0.07,2,"WT",136.848229318222,118.080858975889
0.001,"23",1,0.0725,2,"WT",163.334081459492,156.219003935011
0.006,"24",1,0.075,2,"WT",186.972993675749,169.641560802553
0.026,"25",1,0.0775,2,"WT",219.608399585637,217.754583107675
0.068,"26",1,0.08,2,"WT",255.818233700847,256.208356132623
0.151,"27",1,0.0825,2,"WT",242.522598034627,247.017172893316
0.277,"28",1,0.085,2,"WT",218.40025369849,225.22905725875
0.405,"29",1,0.0875,2,"WT",179.859391796596,164.708416182137
0.523,"30",1,0.09,2,"WT",163.284328107787,161.9027061413
0.607,"31",1,0.0925,2,"WT",143.916095075947,141.494481826289
0.646,"32",1,0.095,2,"WT",124.442643717818,108.784834048443
0.703,"33",1,0.0975,2,"WT",110.056325504001,89.9509534489802
0.76,"34",1,0.1,2,"WT",100.99350980327,88.9143233638734
0.77,"35",1,0.1025,2,"WT",104.492077678834,100.241689470919
0.817,"36",1,0.105,2,"WT",80.0588362009821,69.8563700436452
0.843,"37",1,0.1075,2,"WT",60.5291699016643,61.5282900370794
0.843,"38",1,0.11,2,"WT",75.9073584873787,65.4972516209672
0.873,"39",1,0.1125,2,"WT",70.4177411377879,53.679167145494
0.885,"40",1,0.115,2,"WT",65.6479839119459,42.0175395122161
0.88,"41",1,0.1175,2,"WT",69.1969290070222,56.0311978361508
0.895,"42",1,0.12,2,"WT",63.9279632382006,56.1218404761979
0,"43",1,0.07,3,"WT",146.551379706639,111.645240080295
0,"44",1,0.0725,3,"WT",170.990139554137,135.90885547481
0.003,"45",1,0.075,3,"WT",208.247057433365,177.353027665963
0.036,"46",1,0.0775,3,"WT",255.941274163101,239.821558099887
0.116,"47",1,0.08,3,"WT",266.899099304428,255.276663672045
0.305,"48",1,0.0825,3,"WT",264.990136281937,237.268561473338
0.468,"49",1,0.085,3,"WT",203.917487056346,180.936273699094
0.587,"50",1,0.0875,3,"WT",183.152401858048,157.919213256203
0.714,"51",1,0.09,3,"WT",147.662912633741,124.851022847227
0.785,"52",1,0.0925,3,"WT",133.807057337988,114.861685645386
0.842,"53",1,0.095,3,"WT",118.816612709969,82.7681829690487
0.865,"54",1,0.0975,3,"WT",98.8201533681257,82.2731397507057
0.916,"55",1,0.1,3,"WT",93.7551488112929,79.842046462972
0.917,"56",1,0.1025,3,"WT",81.4511867102923,59.9358866072157
0.937,"57",1,0.105,3,"WT",67.2095424426696,49.5616194987248
0.949,"58",1,0.1075,3,"WT",61.1143519438398,48.8212429698967
0.958,"59",1,0.11,3,"WT",50.4679215626858,32.3922671119244
0.957,"60",1,0.1125,3,"WT",57.1235830331967,55.3671466296782
0.972,"61",1,0.115,3,"WT",54.3049873456275,44.3837555024763
0.963,"62",1,0.1175,3,"WT",50.5486693811707,34.2723258549942
0.978,"63",1,0.12,3,"WT",56.3926593332681,39.2059905781829
0,"64",1,0.07,4,"WT",140.585911062448,96.04204797171
0,"65",1,0.0725,4,"WT",177.977788441879,136.478501163075
0.004,"66",1,0.075,4,"WT",207.297872474581,181.205387644001
0.05,"67",1,0.0775,4,"WT",279.200119477443,243.541593324683
0.203,"68",1,0.08,4,"WT",306.240135164851,266.811941816064
0.45,"69",1,0.0825,4,"WT",246.102783727741,225.849730726842
0.629,"70",1,0.085,4,"WT",207.150205492783,180.926689628642
0.753,"71",1,0.0875,4,"WT",164.056938574024,129.687774501984
0.822,"72",1,0.09,4,"WT",151.176438831804,114.796211488222
0.893,"73",1,0.0925,4,"WT",106.335932140529,71.0104719635155
0.908,"74",1,0.095,4,"WT",102.680120275171,74.9913556560148
0.937,"75",1,0.0975,4,"WT",92.0474936145119,64.7897456738505
0.95,"76",1,0.1,4,"WT",74.57001344202,54.9770790602909
0.958,"77",1,0.1025,4,"WT",86.9367952409122,76.5459738114115
0.984,"78",1,0.105,4,"WT",82.8446608051665,34.4297075537384
0.976,"79",1,0.1075,4,"WT",59.787372514255,52.0968095806996
0.984,"80",1,0.11,4,"WT",66.1284680979999,53.4298612260167
0.992,"81",1,0.1125,4,"WT",59.2003053356452,38.1173823199108
0.984,"82",1,0.115,4,"WT",63.8824721239125,48.3586089727055
0.994,"83",1,0.1175,4,"WT",48.695004552895,34.0173000372969
0.993,"84",1,0.12,4,"WT",31.5424797598646,19.5796100362911
0,"85",1,0.07,5,"WT",140.152883372895,94.802406989044
0,"86",1,0.0725,5,"WT",185.359800755077,147.263168823728
0.004,"87",1,0.075,5,"WT",229.994248927556,188.31039230569
0.061,"88",1,0.0775,5,"WT",288.016124097149,248.69881514237
0.28,"89",1,0.08,5,"WT",297.907645535519,265.601464713969
0.53,"90",1,0.0825,5,"WT",244.692294464007,212.471509709399
0.71,"91",1,0.085,5,"WT",194.646943821284,142.314052911115
0.823,"92",1,0.0875,5,"WT",172.545054188458,133.059577548114
0.89,"93",1,0.09,5,"WT",122.945915452387,80.6809573314165
0.923,"94",1,0.0925,5,"WT",111.871045783115,71.1929499822444
0.959,"95",1,0.095,5,"WT",120.442694599463,69.0306186599721
