"survive","parameter.index","drug.outsideConcentration.MULT","MIC.fraction","kappa","cell.type","extinction.time","extinction.time.sd"
0.002,"1",1,0.26,1,"WT",148.277278004234,171.807853541691
0.007,"2",1,0.27,1,"WT",183.390842405104,205.04377352234
0.027,"3",1,0.28,1,"WT",199.96559758147,233.196616829169
0.047,"4",1,0.29,1,"WT",211.822562429442,243.596229844324
0.14,"5",1,0.3,1,"WT",211.02767384996,249.308150930124
0.214,"6",1,0.31,1,"WT",187.514074666025,231.425792742633
0.286,"7",1,0.32,1,"WT",167.49687846937,198.877243820387
0.37,"8",1,0.33,1,"WT",135.211516749307,158.618449294891
0.468,"9",1,0.34,1,"WT",125.627966531868,148.47473554289
0.501,"10",1,0.35,1,"WT",103.241828734169,110.71810641075
0.548,"11",1,0.36,1,"WT",93.9779796178072,98.1079021959982
0,"12",1,0.26,2,"WT",150.014396969098,118.220211653763
0.001,"13",1,0.27,2,"WT",183.452475087578,170.14650596722
0.012,"14",1,0.28,2,"WT",227.187089241999,206.816473631271
0.052,"15",1,0.29,2,"WT",266.724217569042,258.692498886082
0.174,"16",1,0.3,2,"WT",253.328354265757,250.233018552523
0.375,"17",1,0.31,2,"WT",221.678061943488,217.51804272483
0.521,"18",1,0.32,2,"WT",198.260378695945,189.761061959274
0.659,"19",1,0.33,2,"WT",145.735105470329,137.661906696943
0.723,"20",1,0.34,2,"WT",115.82926557742,121.015865389863
0.762,"21",1,0.35,2,"WT",96.3409071042454,87.7779339714715
0.822,"22",1,0.36,2,"WT",94.1349498584036,84.1429886617274
0,"23",1,0.26,5,"WT",144.335356553682,65.3785771171841
0,"24",1,0.27,5,"WT",185.204472428234,96.8740897699723
0,"25",1,0.28,5,"WT",237.041844012076,139.853056864696
0.029,"26",1,0.29,5,"WT",384.344940779191,261.561695830528
0.485,"27",1,0.3,5,"WT",366.642045210404,253.375776284067
0.864,"28",1,0.31,5,"WT",224.259938871104,150.118364174942
0.944,"29",1,0.32,5,"WT",153.926852214818,121.597701028936
0.972,"30",1,0.33,5,"WT",86.0884163003829,87.1465432714987
0.989,"31",1,0.34,5,"WT",85.8690860263197,71.7754095799168
0.993,"32",1,0.35,5,"WT",63.0113451605638,33.9956756087374
0.994,"33",1,0.36,5,"WT",64.0639681051492,53.2839175326133
0,"34",1,0.26,10,"WT",125.495644030758,32.7913138463706
0,"35",1,0.27,10,"WT",155.156706220849,46.0501426328439
0,"36",1,0.28,10,"WT",215.155899217669,73.2909983880785
0.005,"37",1,0.29,10,"WT",381.871078513202,195.043587401544
0.878,"38",1,0.3,10,"WT",470.848943152962,263.052927644888
0.994,"39",1,0.31,10,"WT",209.441287764435,135.651924915968
0.999,"40",1,0.32,10,"WT",229.879682497035,NA
1,"41",1,0.33,10,"WT",NA,NA
1,"42",1,0.34,10,"WT",NA,NA
1,"43",1,0.35,10,"WT",NA,NA
1,"44",1,0.36,10,"WT",NA,NA
0,"45",1,0.26,20,"WT",108.903109018484,17.7797970814412
0,"46",1,0.27,20,"WT",134.542220316646,24.6000730890265
0,"47",1,0.28,20,"WT",183.465255249564,42.1925915348301
0,"48",1,0.29,20,"WT",337.732893377464,114.665432944051
0.999,"49",1,0.3,20,"WT",309.818531131746,NA
1,"50",1,0.31,20,"WT",NA,NA
1,"51",1,0.32,20,"WT",NA,NA
1,"52",1,0.33,20,"WT",NA,NA
1,"53",1,0.34,20,"WT",NA,NA
1,"54",1,0.35,20,"WT",NA,NA
1,"55",1,0.36,20,"WT",NA,NA
