"param.index","kappa","MIC.fraction","drug.outsideConcentration.MULT","rate","t.end"
"1",0.5,0.3006431,0.1,0.00796244374255213,"60"
"1",0.5,0.3006431,0.1,0.00966784665226859,"120"
"1",0.5,0.3006431,0.1,0.0100401029987039,"180"
"2",1,0.2954379,0.1,0.00907933540079892,"60"
"2",1,0.2954379,0.1,0.0109337701609138,"120"
"2",1,0.2954379,0.1,0.01137291332136,"180"
"3",2,0.2936362,0.1,0.00956576784237399,"60"
"3",2,0.2936362,0.1,0.0115979707499538,"120"
"3",2,0.2936362,0.1,0.0121312020994549,"180"
"4",5,0.2926707,0.1,0.00960824401302153,"60"
"4",5,0.2926707,0.1,0.0116745989003666,"120"
"4",5,0.2926707,0.1,0.0122256775599429,"180"
"5",10,0.2926718,0.1,0.0096046571569748,"60"
"5",10,0.2926718,0.1,0.0116751783010455,"120"
"5",10,0.2926718,0.1,0.0122274652275144,"180"
"6",0.5,0.3006431,0.158489319246111,0.00745889971631936,"60"
"6",0.5,0.3006431,0.158489319246111,0.00905405954692413,"120"
"6",0.5,0.3006431,0.158489319246111,0.00936775495884104,"180"
"7",1,0.2954379,0.158489319246111,0.00876611503712406,"60"
"7",1,0.2954379,0.158489319246111,0.0104934775874137,"120"
"7",1,0.2954379,0.158489319246111,0.0108657201242428,"180"
"8",2,0.2936362,0.158489319246111,0.00951605914667619,"60"
"8",2,0.2936362,0.158489319246111,0.0114991155658652,"120"
"8",2,0.2936362,0.158489319246111,0.0119978789736475,"180"
"9",5,0.2926707,0.158489319246111,0.0096044476325876,"60"
"9",5,0.2926707,0.158489319246111,0.0116777218540056,"120"
"9",5,0.2926707,0.158489319246111,0.0122275131063204,"180"
"10",10,0.2926718,0.158489319246111,0.00960695811516857,"60"
"10",10,0.2926718,0.158489319246111,0.0116780775421772,"120"
"10",10,0.2926718,0.158489319246111,0.0122276403728824,"180"
"11",0.5,0.3006431,0.251188643150958,0.006752284347589,"60"
"11",0.5,0.3006431,0.251188643150958,0.008162176795295,"120"
"11",0.5,0.3006431,0.251188643150958,0.00839229670883853,"180"
"12",1,0.2954379,0.251188643150958,0.00828364520306532,"60"
"12",1,0.2954379,0.251188643150958,0.00979016668528813,"120"
"12",1,0.2954379,0.251188643150958,0.0100504476516987,"180"
"13",2,0.2936362,0.251188643150958,0.00934851276587061,"60"
"13",2,0.2936362,0.251188643150958,0.0111997702497447,"120"
"13",2,0.2936362,0.251188643150958,0.0116274769314681,"180"
"14",5,0.2926707,0.251188643150958,0.00960390140745262,"60"
"14",5,0.2926707,0.251188643150958,0.0116687517811107,"120"
"14",5,0.2926707,0.251188643150958,0.0122177894289655,"180"
"15",10,0.2926718,0.251188643150958,0.00961187424759856,"60"
"15",10,0.2926718,0.251188643150958,0.011679891671352,"120"
"15",10,0.2926718,0.251188643150958,0.0122296314606636,"180"
"16",0.5,0.3006431,0.398107170553497,0.00588582867604358,"60"
"16",0.5,0.3006431,0.398107170553497,0.00701379914501869,"120"
"16",0.5,0.3006431,0.398107170553497,0.00709068290570402,"180"
"17",1,0.2954379,0.398107170553497,0.00740993188610238,"60"
"17",1,0.2954379,0.398107170553497,0.00858045895525112,"120"
"17",1,0.2954379,0.398107170553497,0.00865960586323938,"180"
"18",2,0.2936362,0.398107170553497,0.00897661256750693,"60"
"18",2,0.2936362,0.398107170553497,0.0105156855570699,"120"
"18",2,0.2936362,0.398107170553497,0.0107593039675992,"180"
"19",5,0.2926707,0.398107170553497,0.0095908059419881,"60"
"19",5,0.2926707,0.398107170553497,0.0116236141462374,"120"
"19",5,0.2926707,0.398107170553497,0.0121468790545421,"180"
"20",10,0.2926718,0.398107170553497,0.00961091238126058,"60"
"20",10,0.2926718,0.398107170553497,0.0116771184515809,"120"
"20",10,0.2926718,0.398107170553497,0.012228529831999,"180"
