"sim.label","sample.time","num.cells","param.index","kappa","MIC.fraction","drug.outsideConcentration.MULT"
1,0,1000,1,0.5,0.3006431,0.1
1,10,988,1,0.5,0.3006431,0.1
1,20,967,1,0.5,0.3006431,0.1
1,30,1820,1,0.5,0.3006431,0.1
1,40,1740,1,0.5,0.3006431,0.1
1,50,3299,1,0.5,0.3006431,0.1
1,60,3138,1,0.5,0.3006431,0.1
1,70,5676,1,0.5,0.3006431,0.1
1,80,5639,1,0.5,0.3006431,0.1
1,90,7921,1,0.5,0.3006431,0.1
1,100,10051,1,0.5,0.3006431,0.1
1,110,10931,1,0.5,0.3006431,0.1
1,120,17833,1,0.5,0.3006431,0.1
1,130,17383,1,0.5,0.3006431,0.1
1,140,31124,1,0.5,0.3006431,0.1
1,150,30001,1,0.5,0.3006431,0.1
1,160,50649,1,0.5,0.3006431,0.1
1,170,52896,1,0.5,0.3006431,0.1
1,180,74280,1,0.5,0.3006431,0.1
6,0,1000,1,0.5,0.3006431,0.1
6,10,987,1,0.5,0.3006431,0.1
6,20,959,1,0.5,0.3006431,0.1
6,30,1832,1,0.5,0.3006431,0.1
6,40,1767,1,0.5,0.3006431,0.1
6,50,3357,1,0.5,0.3006431,0.1
6,60,3168,1,0.5,0.3006431,0.1
6,70,5689,1,0.5,0.3006431,0.1
6,80,5706,1,0.5,0.3006431,0.1
6,90,8044,1,0.5,0.3006431,0.1
6,100,10149,1,0.5,0.3006431,0.1
6,110,11117,1,0.5,0.3006431,0.1
6,120,18027,1,0.5,0.3006431,0.1
6,130,17533,1,0.5,0.3006431,0.1
6,140,31322,1,0.5,0.3006431,0.1
6,150,30206,1,0.5,0.3006431,0.1
6,160,50842,1,0.5,0.3006431,0.1
6,170,53240,1,0.5,0.3006431,0.1
6,180,74818,1,0.5,0.3006431,0.1
11,0,1000,1,0.5,0.3006431,0.1
11,10,983,1,0.5,0.3006431,0.1
11,20,974,1,0.5,0.3006431,0.1
11,30,1855,1,0.5,0.3006431,0.1
11,40,1771,1,0.5,0.3006431,0.1
11,50,3351,1,0.5,0.3006431,0.1
11,60,3191,1,0.5,0.3006431,0.1
11,70,5763,1,0.5,0.3006431,0.1
11,80,5726,1,0.5,0.3006431,0.1
11,90,8036,1,0.5,0.3006431,0.1
11,100,10129,1,0.5,0.3006431,0.1
11,110,10987,1,0.5,0.3006431,0.1
11,120,17938,1,0.5,0.3006431,0.1
11,130,17510,1,0.5,0.3006431,0.1
11,140,31350,1,0.5,0.3006431,0.1
11,150,30161,1,0.5,0.3006431,0.1
11,160,50908,1,0.5,0.3006431,0.1
11,170,53282,1,0.5,0.3006431,0.1
11,180,74877,1,0.5,0.3006431,0.1
16,0,1000,1,0.5,0.3006431,0.1
16,10,983,1,0.5,0.3006431,0.1
16,20,945,1,0.5,0.3006431,0.1
16,30,1800,1,0.5,0.3006431,0.1
16,40,1729,1,0.5,0.3006431,0.1
16,50,3278,1,0.5,0.3006431,0.1
