"sim.label","seed","param.index"
1,603713350,1
6,467379566,1
11,2118563945,1
16,871677334,1
17,1371560089,1
21,91603886,1
26,1860118825,1
31,1122481796,1
36,1677557119,1
41,1982136465,1
46,1690557064,1
51,1590719185,1
52,375899597,1
56,120745564,1
61,1595524718,1
66,2116788074,1
67,1343296117,1
71,1785164652,1
76,392685912,1
77,611820262,1
81,394306813,1
86,1696200355,1
91,672423027,1
96,1141382850,1
97,1069829535,1
1,198272050,2
6,1315404233,2
11,1288508523,2
16,851919834,2
21,340472554,2
26,1538415332,2
31,2146440996,2
36,661660164,2
41,1848842042,2
46,1698074797,2
51,841535314,2
56,262795564,2
61,1001465733,2
66,78737050,2
71,1879699658,2
76,204155511,2
81,1894558091,2
86,2020463699,2
91,1151940834,2
96,1412143239,2
1,305911930,3
2,284451465,3
3,1990819455,3
4,1441072521,3
5,526633164,3
6,300361465,3
7,1285337678,3
8,413128923,3
9,713100546,3
10,231034035,3
11,129875766,3
12,316440714,3
13,1304357961,3
14,477870899,3
15,1970476034,3
16,183546617,3
17,370212446,3
18,1263518222,3
19,1170306924,3
20,270213825,3
21,1660284296,3
22,585474146,3
23,415248161,3
24,2128073880,3
25,474031801,3
26,233261829,3
27,1933724146,3
28,370759635,3
29,1113038737,3
30,1517506594,3
31,862101846,3
32,1021510767,3
33,1053222442,3
34,2030510743,3
35,1851174051,3
36,1965638836,3
37,546157061,3
38,369477289,3
39,1898940653,3
40,509252113,3
41,471442745,3
42,915042501,3
43,1037359517,3
44,1953546106,3
45,1962466040,3
46,1052769867,3
47,68349375,3
48,1229871662,3
49,193324126,3
50,440235369,3
51,262201501,3
52,837375472,3
53,1160161348,3
54,876236578,3
55,282615552,3
56,1271116501,3
57,181994060,3
58,1389463945,3
59,1944230788,3
60,1204013398,3
61,1795692647,3
62,876604022,3
63,294394590,3
64,951679443,3
65,2127986579,3
66,1673794844,3
67,453638224,3
68,352343173,3
69,2058659961,3
70,850706243,3
71,1237601980,3
72,1620854869,3
73,323525495,3
74,171094840,3
75,206599514,3
76,1008685387,3
77,1725131334,3
78,1438650965,3
79,1444624562,3
80,1567247764,3
81,654675589,3
82,1007390250,3
83,1049142947,3
84,1651832064,3
85,1400407942,3
86,1144531995,3
87,1954903833,3
88,2124939547,3
89,1239566645,3
90,2061832369,3
91,636372206,3
92,1502705372,3
93,686474508,3
94,1229472927,3
95,200385653,3
96,350418834,3
97,61632573,3
98,1265837121,3
99,1524602968,3
100,1582788329,3
1,1288232472,4
2,383382242,4
3,1165872450,4
4,184484049,4
5,515189330,4
6,407100530,4
7,1661034383,4
8,745234655,4
9,94605344,4
10,2121947242,4
11,509874100,4
12,871267500,4
13,1152082999,4
14,49902033,4
15,199579142,4
16,874181406,4
17,482238890,4
18,1164220311,4
19,181142460,4
20,730061234,4
21,1005797238,4
22,175819369,4
23,581541784,4
24,1529553477,4
25,396576820,4
26,955685961,4
27,523760089,4
28,1450987457,4
29,581491794,4
30,1056249900,4
31,175112305,4
32,480315333,4
33,565170366,4
34,91911215,4
35,736406312,4
36,1269182197,4
37,2110773,4
38,683379177,4
39,1082455297,4
40,750486336,4
41,1792268936,4
42,593458315,4
43,501988317,4
44,1856168744,4
45,455203975,4
46,20984309,4
47,1127538984,4
48,23304599,4
49,1047414196,4
50,445704643,4
51,813144065,4
52,2138952418,4
53,1618138074,4
54,852140435,4
55,829336629,4
56,128811320,4
57,1129649960,4
58,1038776957,4
59,1025490728,4
60,1725309211,4
61,2001155293,4
62,1110329094,4
63,1093639933,4
64,1726132200,4
65,615560595,4
66,187050173,4
67,1382816398,4
68,891993877,4
69,1986138464,4
70,1144426139,4
71,89080991,4
72,1107205042,4
73,1121349059,4
74,912897290,4
75,2020939619,4
76,236134635,4
77,1452732299,4
78,599565125,4
79,1244829048,4
80,1105437703,4
81,1246563284,4
82,1536880238,4
83,177415822,4
84,1843138410,4
85,1396264290,4
86,1751355207,4
87,1597759166,4
88,971745948,4
89,800574296,4
90,1040104555,4
91,1509233042,4
92,2031436453,4
93,904323209,4
94,936967444,4
95,1522610996,4
96,2114636061,4
97,6296873,4
98,1430911603,4
99,1198812200,4
100,261597873,4
1,1450683827,5
2,1012818937,5
3,96110085,5
4,2085941409,5
5,1997153277,5
6,1898497484,5
7,291600639,5
8,565677614,5
9,2127794696,5
10,882303283,5
11,2047261755,5
12,1918032630,5
13,1810429860,5
14,1912705591,5
15,797313504,5
16,766078900,5
17,1437027479,5
18,443426880,5
19,1117748995,5
20,144329418,5
21,531731607,5
22,1350269869,5
23,176364211,5
24,60195379,5
25,788452983,5
26,89694118,5
27,1962706224,5
28,1955615503,5
29,673095175,5
30,1175730390,5
31,1547431659,5
32,2122408186,5
33,1875649403,5
34,142673422,5
35,430188424,5
36,665740055,5
37,1944751480,5
38,777313112,5
39,901655764,5
40,1056605531,5
41,644994209,5
42,1276316358,5
43,1539399794,5
44,1234770461,5
45,139520434,5
46,1875717535,5
47,471406644,5
48,11764638,5
49,839012651,5
50,727782862,5
51,937832376,5
52,2032935217,5
53,1350249692,5
54,1936487015,5
55,1503699710,5
56,707833122,5
57,1306886243,5
58,953187351,5
59,1999013973,5
60,667740357,5
61,1026414797,5
62,83031374,5
63,925792353,5
64,1766560598,5
65,1260629606,5
66,1671610259,5
67,1552030345,5
68,1991082155,5
69,1674048877,5
70,1353068633,5
71,1063901404,5
72,336697335,5
73,1855275663,5
74,290400215,5
75,574599074,5
76,1030041290,5
77,683850306,5
78,1672782501,5
79,446403090,5
80,2060269515,5
81,789061524,5
82,404266469,5
83,629710105,5
84,465758980,5
85,2067936846,5
86,651282466,5
87,8090300,5
88,249213196,5
89,919807232,5
90,1723279475,5
91,1645811320,5
92,1683285535,5
93,687905139,5
94,497382950,5
95,2090109251,5
96,114858112,5
97,645883101,5
98,256196684,5
99,1148876042,5
100,795590629,5
1,717301326,6
6,970424280,6
11,408067642,6
16,1993560817,6
21,1963815710,6
26,52862573,6
31,279347873,6
36,1149394392,6
41,649148186,6
46,2051008489,6
51,735511869,6
56,2124983370,6
61,888162593,6
66,271878528,6
71,1294157006,6
76,638961643,6
81,838847194,6
86,1566552066,6
91,1286376187,6
96,1665034287,6
1,743667731,7
2,2100050361,7
3,678891319,7
4,1328442447,7
5,1620699912,7
6,1590738202,7
7,1995955623,7
8,1473017041,7
9,1575791079,7
10,1618964009,7
11,1743383444,7
12,651615215,7
13,1158450209,7
14,694887302,7
15,1227814973,7
16,1718866810,7
17,1752626895,7
18,1547054663,7
19,292338560,7
20,1385208682,7
21,1352047355,7
22,1139364432,7
23,209604365,7
24,566770399,7
25,1242675458,7
26,372174395,7
27,1926261939,7
28,730694245,7
29,601715121,7
30,1230443140,7
31,1660079090,7
32,1799555754,7
33,1429017737,7
34,1636367326,7
35,390618692,7
36,2014887216,7
37,685199735,7
38,1782220564,7
39,945605636,7
40,1117092507,7
41,1681716889,7
42,1566664698,7
43,508761902,7
44,754828684,7
45,2126482545,7
46,1553404139,7
47,1105952384,7
48,325961114,7
49,1776295748,7
50,1217751347,7
51,1434638598,7
52,1124891281,7
53,92640428,7
54,2025071241,7
55,120480646,7
56,1640516468,7
57,45155935,7
58,333865427,7
59,1311804424,7
60,1023466606,7
61,216071897,7
62,1059930717,7
63,1594003735,7
64,471937504,7
65,139364818,7
66,1224627769,7
67,424234913,7
68,1379871397,7
69,879765913,7
70,86435176,7
71,990475714,7
72,667887317,7
73,1306762187,7
74,1954330352,7
75,744107571,7
76,1293359792,7
77,44901043,7
78,1579191682,7
79,926264890,7
80,736325230,7
