"survive","param.index","kappa","MIC.fraction","drug.outsideConcentration.MULT","extinction.time","extinction.time.sd","num.reps"
1,"1",0.5,0.3006431,0,NA,NA,1000
1,"2",1,0.2954379,0,NA,NA,1000
1,"3",2,0.2936362,0,NA,NA,1000
1,"4",5,0.2926707,0,NA,NA,1000
1,"5",10,0.2926718,0,NA,NA,1000
0.92,"6",0.5,0.3006431,0.1,15.7448126530219,13.3771589217319,1000
0.984,"7",1,0.2954379,0.1,18.3400779453507,9.86242597608487,1000
1,"8",2,0.2936362,0.1,NA,NA,1000
1,"9",5,0.2926707,0.1,NA,NA,1000
1,"10",10,0.2926718,0.1,NA,NA,1000
0.886,"11",0.5,0.3006431,0.2,21.2483739338862,16.7352725850236,1000
0.96,"12",1,0.2954379,0.2,23.2724363038073,16.1162355484434,1000
0.998,"13",2,0.2936362,0.2,17.2507057139247,4.26289382359086,1000
1,"14",5,0.2926707,0.2,NA,NA,1000
1,"15",10,0.2926718,0.2,NA,NA,1000
0.825,"16",0.5,0.3006431,0.3,28.2586962551427,28.9286945796869,1000
0.921,"17",1,0.2954379,0.3,25.0387173950379,17.9194722921966,1000
0.993,"18",2,0.2936362,0.3,19.1102733589335,1.37657485389062,1000
1,"19",5,0.2926707,0.3,NA,NA,1000
1,"20",10,0.2926718,0.3,NA,NA,1000
0.786,"21",0.5,0.3006431,0.4,35.0895418256628,32.7413678061996,1000
0.908,"22",1,0.2954379,0.4,27.6737020225563,22.4694439350471,1000
0.984,"23",2,0.2936362,0.4,31.1488563443981,28.0082264685941,1000
1,"24",5,0.2926707,0.4,NA,NA,1000
1,"25",10,0.2926718,0.4,NA,NA,1000
0.743,"26",0.5,0.3006431,0.5,38.848025533214,41.9994088977705,1000
0.854,"27",1,0.2954379,0.5,35.9441957801386,37.8265065448638,1000
0.973,"28",2,0.2936362,0.5,22.3946707034681,12.4592011723827,1000
1,"29",5,0.2926707,0.5,NA,NA,1000
1,"30",10,0.2926718,0.5,NA,NA,1000
0.642,"31",0.5,0.3006431,0.6,47.0329343345451,51.8281551285617,1000
0.809,"32",1,0.2954379,0.6,52.262948157603,49.9210279378142,1000
0.961,"33",2,0.2936362,0.6,34.3131678659594,21.7904908646402,1000
1,"34",5,0.2926707,0.6,NA,NA,1000
1,"35",10,0.2926718,0.6,NA,NA,1000
0.564,"36",0.5,0.3006431,0.7,69.5054046492805,79.2931481133706,1000
0.733,"37",1,0.2954379,0.7,65.6796331260188,66.3445667186115,1000
0.907,"38",2,0.2936362,0.7,46.9265648908178,43.0941797512701,1000
0.995,"39",5,0.2926707,0.7,27.7391832754627,15.346695620659,1000
1,"40",10,0.2926718,0.7,NA,NA,1000
0.435,"41",0.5,0.3006431,0.8,84.571237879646,106.386470217986,1000
0.563,"42",1,0.2954379,0.8,99.7440321455497,122.454353968157,1000
0.821,"43",2,0.2936362,0.8,84.9042114229473,79.8751415486364,1000
0.997,"44",5,0.2926707,0.8,61.6399582908827,38.4163389819733,1000
1,"45",10,0.2926718,0.8,NA,NA,1000
0.284,"46",0.5,0.3006431,0.9,137.133286665192,182.149985969176,1000
0.333,"47",1,0.2954379,0.9,142.960804792354,175.52996240643,1000
0.584,"48",2,0.2936362,0.9,140.711602314189,138.831102696817,1000
0.966,"49",5,0.2926707,0.9,129.677955994815,84.542581749141,1000
1,"50",10,0.2926718,0.9,NA,NA,1000
0.108,"51",0.5,0.3006431,1,175.994866844375,223.907365995568,1000
0.091,"52",1,0.2954379,1,213.546090365415,246.578190775928,1000
0.08,"53",2,0.2936362,1,274.645857536564,267.295843081096,1000
0.086,"54",5,0.2926707,1,407.609760563633,282.634449513783,1000
0.055,"55",10,0.2926718,1,487.366873891139,244.571484471257,1000
0.015,"56",0.5,0.3006431,1.1,158.876892989078,203.031715059681,1000
0.003,"57",1,0.2954379,1.1,164.004262596001,182.234790959476,1000
0,"58",2,0.2936362,1.1,183.331784824293,160.972154189549,1000
0,"59",5,0.2926707,1.1,160.021340435318,75.7520105837744,1000
0,"60",10,0.2926718,1.1,141.855011547713,39.9281357907013,1000
0,"61",0.5,0.3006431,1.2,121.98387042434,137.644517657606,1000
0,"62",1,0.2954379,1.2,130.13640821879,126.851029922009,1000
0,"63",2,0.2936362,1.2,112.303446126472,81.1830154730178,1000
0,"64",5,0.2926707,1.2,110.88760776706,46.9043577032073,1000
0,"65",10,0.2926718,1.2,95.8938022742218,22.2123823196838,1000
0,"66",0.5,0.3006431,1.3,100.649402686163,106.224864315388,1000
0,"67",1,0.2954379,1.3,95.5729410407721,84.3117636886928,1000
0,"68",2,0.2936362,1.3,95.4138422256166,64.1147348864596,1000
0,"69",5,0.2926707,1.3,83.9820587745151,31.9015590756452,1000
0,"70",10,0.2926718,1.3,76.3245386981116,17.6932702335942,1000
0,"71",0.5,0.3006431,1.4,86.9405728670565,83.6719844815358,1000
0,"72",1,0.2954379,1.4,85.4942723493563,73.2744003611418,1000
0,"73",2,0.2936362,1.4,81.3600075494358,53.3337692498851,1000
0,"74",5,0.2926707,1.4,71.2137316668962,26.8062515406163,1000
0,"75",10,0.2926718,1.4,63.1733951423783,13.5984674266867,1000
0,"76",0.5,0.3006431,1.5,77.0166440931515,72.0806812605845,1000
0,"77",1,0.2954379,1.5,71.8070735637697,56.9745124112491,1000
0,"78",2,0.2936362,1.5,68.5352364022596,42.8541117950158,1000
0,"79",5,0.2926707,1.5,62.237634739866,21.981808461352,1000
0,"80",10,0.2926718,1.5,54.8011671379198,12.4955313276604,1000
0,"81",0.5,0.3006431,1.6,69.6559659353792,62.7223188471624,1000
0,"82",1,0.2954379,1.6,63.2446136437757,51.9032238096356,1000
0,"83",2,0.2936362,1.6,61.646727295218,37.1760036040285,1000
0,"84",5,0.2926707,1.6,54.5354266372332,19.4260909949747,1000
0,"85",10,0.2926718,1.6,49.4323693013282,11.9387121768928,1000
0,"86",0.5,0.3006431,1.7,60.5618642641198,49.8693876071847,1000
0,"87",1,0.2954379,1.7,57.8397357537439,46.8188900911936,1000
0,"88",2,0.2936362,1.7,55.0807505184086,32.6629944873559,1000
0,"89",5,0.2926707,1.7,50.0997217424813,17.7460697697043,1000
0,"90",10,0.2926718,1.7,44.2092307058341,10.4684614138765,1000
0,"91",0.5,0.3006431,1.8,60.7140238767173,50.9568291947475,1000
0,"92",1,0.2954379,1.8,56.2124222574575,42.9816557564428,1000
0,"93",2,0.2936362,1.8,52.8255552686073,29.9594527822871,1000
0,"94",5,0.2926707,1.8,46.5076196279124,16.4326274735221,1000
