"survive","param.index","drug.outsideConcentration.MULT","MIC.fraction","kappa","extinction.time","extinction.time.sd","num.reps"
0.028,"1",1,0.28,0.5,172.743854421308,214.8538180845,1000
0.037,"2",1,0.282,0.5,178.702307808203,227.634402510915,1000
0.043,"3",1,0.284,0.5,173.506948950552,231.69963178924,1000
0.046,"4",1,0.286,0.5,182.71006280236,229.910935289168,1000
0.046,"5",1,0.288,0.5,184.041871954043,242.483788425671,1000
0.045,"6",1,0.29,0.5,176.157431115693,230.834673000526,1000
0.059,"7",1,0.292,0.5,185.954300903846,236.384775614114,1000
0.065,"8",1,0.294,0.5,178.080208499084,232.647045314188,1000
0.087,"9",1,0.296,0.5,190.303271686145,242.944039015069,1000
0.078,"10",1,0.298,0.5,164.892289705186,213.519717246485,1000
0.079,"11",1,0.3,0.5,181.620834804953,222.443831430511,1000
0.127,"12",1,0.302,0.5,187.749585971599,242.907292843507,1000
0.124,"13",1,0.304,0.5,182.753788794866,241.704016043569,1000
0.159,"14",1,0.31,0.5,169.371295789967,216.313584059838,1000
0.272,"15",1,0.33,0.5,144.40170569727,190.611776163135,1000
0.366,"16",1,0.35,0.5,110.733788159762,137.79141331778,1000
0.024,"17",1,0.28,1,192.062969505929,223.977459355563,1000
0.026,"18",1,0.282,1,204.291139015872,234.337042884074,1000
0.042,"19",1,0.284,1,202.472148354409,237.943260683049,1000
0.043,"20",1,0.286,1,204.639316555337,238.292003662451,1000
0.043,"21",1,0.288,1,205.870125825925,238.095215446309,1000
0.059,"22",1,0.29,1,195.640859433174,227.791132436059,1000
0.065,"23",1,0.292,1,208.061123884111,243.464253216139,1000
0.098,"24",1,0.294,1,204.315451756821,228.805552487118,1000
0.102,"25",1,0.296,1,211.233144345542,241.552021309694,1000
0.121,"26",1,0.298,1,206.286058678817,241.253456912773,1000
0.126,"27",1,0.3,1,196.725518278344,236.228073324206,1000
0.154,"28",1,0.302,1,203.680656513623,246.107625118665,1000
0.157,"29",1,0.304,1,205.601581553469,240.4994102844,1000
0.204,"30",1,0.31,1,193.625931917084,232.584826753147,1000
0.402,"31",1,0.33,1,148.02289380518,173.433276541443,1000
0.553,"32",1,0.35,1,101.672913694947,104.567537098077,1000
0.01,"33",1,0.28,2,223.807425149276,212.920868601219,1000
0.021,"34",1,0.282,2,228.303952842921,215.809680723411,1000
0.023,"35",1,0.284,2,258.805746701815,249.712988745802,1000
0.025,"36",1,0.286,2,246.940536404995,238.916505129492,1000
0.058,"37",1,0.288,2,253.577770416584,246.593800526969,1000
0.05,"38",1,0.29,2,260.349124354464,253.425590943948,1000
0.072,"39",1,0.292,2,271.864092568185,273.009180879877,1000
0.104,"40",1,0.294,2,271.958654883166,272.229813931995,1000
0.139,"41",1,0.296,2,265.720745570909,252.268354475011,1000
0.18,"42",1,0.298,2,286.013896249374,272.232050814778,1000
0.182,"43",1,0.3,2,258.736244851376,256.467740804327,1000
0.216,"44",1,0.302,2,264.927350948296,266.442498535321,1000
0.254,"45",1,0.304,2,263.259265165134,261.836705398922,1000
0.38,"46",1,0.31,2,214.743630620538,230.967224046409,1000
0.637,"47",1,0.33,2,137.015109339813,139.023048270652,1000
0.761,"48",1,0.35,2,95.1099369391107,86.149566905462,1000
0,"49",1,0.28,5,242.195826774557,137.24551059102,1000
0.002,"50",1,0.282,5,259.305356550271,160.059440154564,1000
0.001,"51",1,0.284,5,291.062306322138,187.355624395421,1000
0.006,"52",1,0.286,5,311.365025030441,190.932486412334,1000
0.01,"53",1,0.288,5,340.539239862008,228.501516653171,1000
0.026,"54",1,0.29,5,360.900610119655,254.252932821255,1000
0.084,"55",1,0.292,5,392.887128008039,267.782520210022,1000
0.125,"56",1,0.294,5,426.216834230507,290.640745983208,1000
0.253,"57",1,0.296,5,414.661237614716,286.354882813961,1000
0.371,"58",1,0.298,5,422.277478700834,292.927559252971,1000
0.5,"59",1,0.3,5,382.51164933869,272.713172259733,1000
0.58,"60",1,0.302,5,347.762626753974,249.339331967288,1000
0.709,"61",1,0.304,5,324.437562516254,250.558434545786,1000
0.847,"62",1,0.31,5,255.407132655822,181.015639451001,1000
0.97,"63",1,0.33,5,97.100877726958,66.1730432932661,1000
0.984,"64",1,0.35,5,72.1506761030684,60.9176327083118,1000
0,"65",1,0.28,10,213.777605418724,76.2738358231836,1000
0,"66",1,0.282,10,234.521884730632,93.3015606789741,1000
0,"67",1,0.284,10,258.298575015147,99.2454890181507,1000
0,"68",1,0.286,10,291.987059807112,126.749155101064,1000
0,"69",1,0.288,10,326.516137201777,146.556376748118,1000
0.006,"70",1,0.29,10,390.563800983143,195.241299244901,1000
0.025,"71",1,0.292,10,474.33672762357,244.722452004114,1000
0.13,"72",1,0.294,10,547.882676946289,277.810203274245,1000
0.402,"73",1,0.296,10,564.269856488044,276.526542796297,1000
0.684,"74",1,0.298,10,512.921884340866,272.370897284314,1000
0.886,"75",1,0.3,10,455.197196964561,260.876593149007,1000
0.95,"76",1,0.302,10,361.690658980492,207.193351353465,1000
0.981,"77",1,0.304,10,300.814235052003,181.163557735459,1000
0.998,"78",1,0.31,10,194.306025380893,29.7517386626856,1000
1,"79",1,0.33,10,NA,NA,1000
1,"80",1,0.35,10,NA,NA,1000
