"parameter.index","mutant.effect","drug.outsideConcentration.MULT","cell.type","rate"
"1",2,0.1,"REG-ON",0.00951424807850444
"2",10,0.1,"REG-ON",0.00951668655274011
"3",50,0.1,"REG-ON",0.00951963728870774
"4",200,0.1,"REG-ON",0.00951996808460733
"5",2,0.125892541179417,"REG-ON",0.00950920284925448
"6",10,0.125892541179417,"REG-ON",0.00951060845249
"7",50,0.125892541179417,"REG-ON",0.00951740062173059
"8",200,0.125892541179417,"REG-ON",0.00951932715626246
"9",2,0.158489319246111,"REG-ON",0.00949655457737475
"10",10,0.158489319246111,"REG-ON",0.00950151067926904
"11",50,0.158489319246111,"REG-ON",0.00951141568627922
"12",200,0.158489319246111,"REG-ON",0.00951348995990648
"13",2,0.199526231496888,"REG-ON",0.00948229298368072
"14",10,0.199526231496888,"REG-ON",0.00948897030320943
"15",50,0.199526231496888,"REG-ON",0.0095040388161652
"16",200,0.199526231496888,"REG-ON",0.00951054204913028
"17",2,0.251188643150958,"REG-ON",0.00944319518443858
"18",10,0.251188643150958,"REG-ON",0.00946487788750823
"19",50,0.251188643150958,"REG-ON",0.00949033502118302
"20",200,0.251188643150958,"REG-ON",0.00950006109030702
"21",2,0.316227766016838,"REG-ON",0.00938727115950342
"22",10,0.316227766016838,"REG-ON",0.0094207659840739
"23",50,0.316227766016838,"REG-ON",0.00946424236069408
"24",200,0.316227766016838,"REG-ON",0.00948227443495764
"25",2,0.398107170553497,"REG-ON",0.00927619871651575
"26",10,0.398107170553497,"REG-ON",0.00933811253066553
"27",50,0.398107170553497,"REG-ON",0.00941526646755327
"28",200,0.398107170553497,"REG-ON",0.00945242625302777
"29",2,0.501187233627272,"REG-ON",0.00906824281683256
"30",10,0.501187233627272,"REG-ON",0.00918478555957808
"31",50,0.501187233627272,"REG-ON",0.00933414570737079
"32",200,0.501187233627272,"REG-ON",0.00939713088401471
"33",2,0.630957344480193,"REG-ON",0.008692222116163
"34",10,0.630957344480193,"REG-ON",0.00889552233070243
"35",50,0.630957344480193,"REG-ON",0.00917490888500889
"36",200,0.630957344480193,"REG-ON",0.00929862744628139
