"sample.time","num.cells","parameter.index","mutant.effect","drug.outsideConcentration.MULT","cell.type"
0,100000,"1",2,0.1,"REG-ON"
10,99999,"1",2,0.1,"REG-ON"
20,100088,"1",2,0.1,"REG-ON"
30,199947,"1",2,0.1,"REG-ON"
40,199876,"1",2,0.1,"REG-ON"
50,387860,"1",2,0.1,"REG-ON"
60,399338,"1",2,0.1,"REG-ON"
0,100000,"2",10,0.1,"REG-ON"
10,99999,"2",10,0.1,"REG-ON"
20,100080,"2",10,0.1,"REG-ON"
30,199949,"2",10,0.1,"REG-ON"
40,199902,"2",10,0.1,"REG-ON"
50,388035,"2",10,0.1,"REG-ON"
60,399502,"2",10,0.1,"REG-ON"
0,100000,"3",50,0.1,"REG-ON"
10,99999,"3",50,0.1,"REG-ON"
20,100115,"3",50,0.1,"REG-ON"
30,199963,"3",50,0.1,"REG-ON"
40,199935,"3",50,0.1,"REG-ON"
50,388146,"3",50,0.1,"REG-ON"
60,399714,"3",50,0.1,"REG-ON"
0,100000,"4",200,0.1,"REG-ON"
10,100000,"4",200,0.1,"REG-ON"
20,100088,"4",200,0.1,"REG-ON"
30,199969,"4",200,0.1,"REG-ON"
40,199950,"4",200,0.1,"REG-ON"
50,388178,"4",200,0.1,"REG-ON"
60,399742,"4",200,0.1,"REG-ON"
0,100000,"5",2,0.125892541179417,"REG-ON"
10,99998,"5",2,0.125892541179417,"REG-ON"
20,100081,"5",2,0.125892541179417,"REG-ON"
30,199919,"5",2,0.125892541179417,"REG-ON"
40,199809,"5",2,0.125892541179417,"REG-ON"
50,387692,"5",2,0.125892541179417,"REG-ON"
60,398906,"5",2,0.125892541179417,"REG-ON"
0,100000,"6",10,0.125892541179417,"REG-ON"
10,99996,"6",10,0.125892541179417,"REG-ON"
20,100098,"6",10,0.125892541179417,"REG-ON"
30,199915,"6",10,0.125892541179417,"REG-ON"
40,199825,"6",10,0.125892541179417,"REG-ON"
50,387690,"6",10,0.125892541179417,"REG-ON"
60,399065,"6",10,0.125892541179417,"REG-ON"
0,100000,"7",50,0.125892541179417,"REG-ON"
10,99995,"7",50,0.125892541179417,"REG-ON"
20,100089,"7",50,0.125892541179417,"REG-ON"
30,199924,"7",50,0.125892541179417,"REG-ON"
40,199881,"7",50,0.125892541179417,"REG-ON"
50,388272,"7",50,0.125892541179417,"REG-ON"
60,399442,"7",50,0.125892541179417,"REG-ON"
0,100000,"8",200,0.125892541179417,"REG-ON"
10,99999,"8",200,0.125892541179417,"REG-ON"
20,100113,"8",200,0.125892541179417,"REG-ON"
30,199954,"8",200,0.125892541179417,"REG-ON"
40,199920,"8",200,0.125892541179417,"REG-ON"
50,388235,"8",200,0.125892541179417,"REG-ON"
60,399626,"8",200,0.125892541179417,"REG-ON"
0,100000,"9",2,0.158489319246111,"REG-ON"
10,99998,"9",2,0.158489319246111,"REG-ON"
20,100064,"9",2,0.158489319246111,"REG-ON"
30,199812,"9",2,0.158489319246111,"REG-ON"
40,199636,"9",2,0.158489319246111,"REG-ON"
50,387116,"9",2,0.158489319246111,"REG-ON"
60,397999,"9",2,0.158489319246111,"REG-ON"
0,100000,"10",10,0.158489319246111,"REG-ON"
10,100000,"10",10,0.158489319246111,"REG-ON"
20,100063,"10",10,0.158489319246111,"REG-ON"
30,199880,"10",10,0.158489319246111,"REG-ON"
40,199713,"10",10,0.158489319246111,"REG-ON"
50,387143,"10",10,0.158489319246111,"REG-ON"
60,398495,"10",10,0.158489319246111,"REG-ON"
0,100000,"11",50,0.158489319246111,"REG-ON"
10,99996,"11",50,0.158489319246111,"REG-ON"
20,100090,"11",50,0.158489319246111,"REG-ON"
30,199908,"11",50,0.158489319246111,"REG-ON"
40,199823,"11",50,0.158489319246111,"REG-ON"
50,387825,"11",50,0.158489319246111,"REG-ON"
60,399082,"11",50,0.158489319246111,"REG-ON"
0,100000,"12",200,0.158489319246111,"REG-ON"
10,99998,"12",200,0.158489319246111,"REG-ON"
20,100077,"12",200,0.158489319246111,"REG-ON"
30,199925,"12",200,0.158489319246111,"REG-ON"
40,199858,"12",200,0.158489319246111,"REG-ON"
50,387800,"12",200,0.158489319246111,"REG-ON"
60,399345,"12",200,0.158489319246111,"REG-ON"
0,100000,"13",2,0.199526231496888,"REG-ON"
10,99996,"13",2,0.199526231496888,"REG-ON"
20,100069,"13",2,0.199526231496888,"REG-ON"
30,199761,"13",2,0.199526231496888,"REG-ON"
40,199457,"13",2,0.199526231496888,"REG-ON"
50,386478,"13",2,0.199526231496888,"REG-ON"
60,396849,"13",2,0.199526231496888,"REG-ON"
0,100000,"14",10,0.199526231496888,"REG-ON"
10,99996,"14",10,0.199526231496888,"REG-ON"
20,100067,"14",10,0.199526231496888,"REG-ON"
30,199785,"14",10,0.199526231496888,"REG-ON"
40,199540,"14",10,0.199526231496888,"REG-ON"
50,386730,"14",10,0.199526231496888,"REG-ON"
60,397428,"14",10,0.199526231496888,"REG-ON"
0,100000,"15",50,0.199526231496888,"REG-ON"
10,99999,"15",50,0.199526231496888,"REG-ON"
20,100063,"15",50,0.199526231496888,"REG-ON"
30,199874,"15",50,0.199526231496888,"REG-ON"
40,199725,"15",50,0.199526231496888,"REG-ON"
50,387476,"15",50,0.199526231496888,"REG-ON"
60,398552,"15",50,0.199526231496888,"REG-ON"
0,100000,"16",200,0.199526231496888,"REG-ON"
10,99996,"16",200,0.199526231496888,"REG-ON"
20,100105,"16",200,0.199526231496888,"REG-ON"
30,199905,"16",200,0.199526231496888,"REG-ON"
40,199815,"16",200,0.199526231496888,"REG-ON"
50,387734,"16",200,0.199526231496888,"REG-ON"
60,399032,"16",200,0.199526231496888,"REG-ON"
0,100000,"17",2,0.251188643150958,"REG-ON"
10,99993,"17",2,0.251188643150958,"REG-ON"
20,100032,"17",2,0.251188643150958,"REG-ON"
30,199513,"17",2,0.251188643150958,"REG-ON"
40,198953,"17",2,0.251188643150958,"REG-ON"
50,384605,"17",2,0.251188643150958,"REG-ON"
60,394014,"17",2,0.251188643150958,"REG-ON"
0,100000,"18",10,0.251188643150958,"REG-ON"
10,99993,"18",10,0.251188643150958,"REG-ON"
20,100044,"18",10,0.251188643150958,"REG-ON"
30,199673,"18",10,0.251188643150958,"REG-ON"
40,199255,"18",10,0.251188643150958,"REG-ON"
50,385585,"18",10,0.251188643150958,"REG-ON"
60,395593,"18",10,0.251188643150958,"REG-ON"
0,100000,"19",50,0.251188643150958,"REG-ON"
10,99997,"19",50,0.251188643150958,"REG-ON"
20,100080,"19",50,0.251188643150958,"REG-ON"
30,199792,"19",50,0.251188643150958,"REG-ON"
40,199545,"19",50,0.251188643150958,"REG-ON"
50,386786,"19",50,0.251188643150958,"REG-ON"
60,397538,"19",50,0.251188643150958,"REG-ON"
0,100000,"20",200,0.251188643150958,"REG-ON"
10,99997,"20",200,0.251188643150958,"REG-ON"
20,100052,"20",200,0.251188643150958,"REG-ON"
30,199830,"20",200,0.251188643150958,"REG-ON"
40,199665,"20",200,0.251188643150958,"REG-ON"
50,387363,"20",200,0.251188643150958,"REG-ON"
60,398235,"20",200,0.251188643150958,"REG-ON"
0,100000,"21",2,0.316227766016838,"REG-ON"
10,99995,"21",2,0.316227766016838,"REG-ON"
20,99984,"21",2,0.316227766016838,"REG-ON"
30,199185,"21",2,0.316227766016838,"REG-ON"
40,198230,"21",2,0.316227766016838,"REG-ON"
50,382200,"21",2,0.316227766016838,"REG-ON"
60,389744,"21",2,0.316227766016838,"REG-ON"
0,100000,"22",10,0.316227766016838,"REG-ON"
10,99990,"22",10,0.316227766016838,"REG-ON"
20,99990,"22",10,0.316227766016838,"REG-ON"
30,199370,"22",10,0.316227766016838,"REG-ON"
40,198672,"22",10,0.316227766016838,"REG-ON"
50,383661,"22",10,0.316227766016838,"REG-ON"
60,392308,"22",10,0.316227766016838,"REG-ON"
0,100000,"23",50,0.316227766016838,"REG-ON"
10,99992,"23",50,0.316227766016838,"REG-ON"
20,100038,"23",50,0.316227766016838,"REG-ON"
30,199611,"23",50,0.316227766016838,"REG-ON"
40,199204,"23",50,0.316227766016838,"REG-ON"
50,385587,"23",50,0.316227766016838,"REG-ON"
60,395641,"23",50,0.316227766016838,"REG-ON"
0,100000,"24",200,0.316227766016838,"REG-ON"
10,99992,"24",200,0.316227766016838,"REG-ON"
20,100058,"24",200,0.316227766016838,"REG-ON"
30,199706,"24",200,0.316227766016838,"REG-ON"
40,199402,"24",200,0.316227766016838,"REG-ON"
50,386511,"24",200,0.316227766016838,"REG-ON"
60,396963,"24",200,0.316227766016838,"REG-ON"
0,100000,"25",2,0.398107170553497,"REG-ON"
10,99986,"25",2,0.398107170553497,"REG-ON"
20,99954,"25",2,0.398107170553497,"REG-ON"
30,198602,"25",2,0.398107170553497,"REG-ON"
40,196824,"25",2,0.398107170553497,"REG-ON"
50,377054,"25",2,0.398107170553497,"REG-ON"
60,381581,"25",2,0.398107170553497,"REG-ON"
0,100000,"26",10,0.398107170553497,"REG-ON"
10,99990,"26",10,0.398107170553497,"REG-ON"
20,99980,"26",10,0.398107170553497,"REG-ON"
30,198925,"26",10,0.398107170553497,"REG-ON"
40,197568,"26",10,0.398107170553497,"REG-ON"
50,379964,"26",10,0.398107170553497,"REG-ON"
60,386108,"26",10,0.398107170553497,"REG-ON"
0,100000,"27",50,0.398107170553497,"REG-ON"
10,99992,"27",50,0.398107170553497,"REG-ON"
20,100002,"27",50,0.398107170553497,"REG-ON"
30,199350,"27",50,0.398107170553497,"REG-ON"
40,198574,"27",50,0.398107170553497,"REG-ON"
50,383109,"27",50,0.398107170553497,"REG-ON"
60,392157,"27",50,0.398107170553497,"REG-ON"
0,100000,"28",200,0.398107170553497,"REG-ON"
10,99994,"28",200,0.398107170553497,"REG-ON"
20,100018,"28",200,0.398107170553497,"REG-ON"
30,199530,"28",200,0.398107170553497,"REG-ON"
40,199027,"28",200,0.398107170553497,"REG-ON"
50,385053,"28",200,0.398107170553497,"REG-ON"
60,394806,"28",200,0.398107170553497,"REG-ON"
0,100000,"29",2,0.501187233627272,"REG-ON"
10,99974,"29",2,0.501187233627272,"REG-ON"
20,99772,"29",2,0.501187233627272,"REG-ON"
30,197464,"29",2,0.501187233627272,"REG-ON"
40,194330,"29",2,0.501187233627272,"REG-ON"
50,367666,"29",2,0.501187233627272,"REG-ON"
60,366762,"29",2,0.501187233627272,"REG-ON"
0,100000,"30",10,0.501187233627272,"REG-ON"
10,99977,"30",10,0.501187233627272,"REG-ON"
20,99863,"30",10,0.501187233627272,"REG-ON"
30,198116,"30",10,0.501187233627272,"REG-ON"
40,195751,"30",10,0.501187233627272,"REG-ON"
50,372684,"30",10,0.501187233627272,"REG-ON"
60,375141,"30",10,0.501187233627272,"REG-ON"
0,100000,"31",50,0.501187233627272,"REG-ON"
10,99986,"31",50,0.501187233627272,"REG-ON"
20,99944,"31",50,0.501187233627272,"REG-ON"
30,198820,"31",50,0.501187233627272,"REG-ON"
40,197454,"31",50,0.501187233627272,"REG-ON"
50,379607,"31",50,0.501187233627272,"REG-ON"
60,386175,"31",50,0.501187233627272,"REG-ON"
0,100000,"32",200,0.501187233627272,"REG-ON"
10,99995,"32",200,0.501187233627272,"REG-ON"
20,99995,"32",200,0.501187233627272,"REG-ON"
30,199170,"32",200,0.501187233627272,"REG-ON"
40,198290,"32",200,0.501187233627272,"REG-ON"
50,382512,"32",200,0.501187233627272,"REG-ON"
60,390744,"32",200,0.501187233627272,"REG-ON"
0,100000,"33",2,0.630957344480193,"REG-ON"
10,99966,"33",2,0.630957344480193,"REG-ON"
20,99557,"33",2,0.630957344480193,"REG-ON"
30,195543,"33",2,0.630957344480193,"REG-ON"
40,189812,"33",2,0.630957344480193,"REG-ON"
50,351199,"33",2,0.630957344480193,"REG-ON"
60,341342,"33",2,0.630957344480193,"REG-ON"
0,100000,"34",10,0.630957344480193,"REG-ON"
10,99956,"34",10,0.630957344480193,"REG-ON"
20,99630,"34",10,0.630957344480193,"REG-ON"
30,196481,"34",10,0.630957344480193,"REG-ON"
40,192157,"34",10,0.630957344480193,"REG-ON"
50,359819,"34",10,0.630957344480193,"REG-ON"
60,355267,"34",10,0.630957344480193,"REG-ON"
0,100000,"35",50,0.630957344480193,"REG-ON"
10,99964,"35",50,0.630957344480193,"REG-ON"
20,99783,"35",50,0.630957344480193,"REG-ON"
30,197840,"35",50,0.630957344480193,"REG-ON"
40,195438,"35",50,0.630957344480193,"REG-ON"
50,372378,"35",50,0.630957344480193,"REG-ON"
60,374874,"35",50,0.630957344480193,"REG-ON"
0,100000,"36",200,0.630957344480193,"REG-ON"
10,99979,"36",200,0.630957344480193,"REG-ON"
20,99911,"36",200,0.630957344480193,"REG-ON"
30,198619,"36",200,0.630957344480193,"REG-ON"
40,196985,"36",200,0.630957344480193,"REG-ON"
50,377953,"36",200,0.630957344480193,"REG-ON"
60,383653,"36",200,0.630957344480193,"REG-ON"
0,100000,"37",2,0.794328234724281,"REG-ON"
10,99909,"37",2,0.794328234724281,"REG-ON"
20,99078,"37",2,0.794328234724281,"REG-ON"
30,191833,"37",2,0.794328234724281,"REG-ON"
40,181559,"37",2,0.794328234724281,"REG-ON"
50,322907,"37",2,0.794328234724281,"REG-ON"
60,299931,"37",2,0.794328234724281,"REG-ON"
0,100000,"38",10,0.794328234724281,"REG-ON"
10,99939,"38",10,0.794328234724281,"REG-ON"
20,99331,"38",10,0.794328234724281,"REG-ON"
30,193736,"38",10,0.794328234724281,"REG-ON"
40,185944,"38",10,0.794328234724281,"REG-ON"
