"parameter.index","kappa","MIC.fraction","drug.outsideConcentration.MULT","cell.type","rate"
"1",1e-06,0.9332099,0.1,"WT",0.00860435541262803
"2",1,0.9323611,0.1,"WT",0.00901046368548132
"3",2,0.9311702,0.1,"WT",0.00926657817217186
"4",3,0.9290991,0.1,"WT",0.00941214090712885
"5",1e-06,0.9332099,0.125892541179417,"WT",0.00842652747258324
"6",1,0.9323611,0.125892541179417,"WT",0.00884268328895654
"7",2,0.9311702,0.125892541179417,"WT",0.0091203813091762
"8",3,0.9290991,0.125892541179417,"WT",0.00929227786123908
"9",1e-06,0.9332099,0.158489319246111,"WT",0.00820766642239381
"10",1,0.9323611,0.158489319246111,"WT",0.00861554338205172
"11",2,0.9311702,0.158489319246111,"WT",0.00891539560743448
"12",3,0.9290991,0.158489319246111,"WT",0.0090962986161176
"13",1e-06,0.9332099,0.199526231496888,"WT",0.00792312225772807
"14",1,0.9323611,0.199526231496888,"WT",0.00832100372710514
"15",2,0.9311702,0.199526231496888,"WT",0.00863700597143487
"16",3,0.9290991,0.199526231496888,"WT",0.00887732018728447
"17",1e-06,0.9332099,0.251188643150958,"WT",0.00754860633810705
"18",1,0.9323611,0.251188643150958,"WT",0.00794185648718248
"19",2,0.9311702,0.251188643150958,"WT",0.00828526857102905
"20",3,0.9290991,0.251188643150958,"WT",0.00850392244922783
"21",1e-06,0.9332099,0.316227766016838,"WT",0.0070783747625347
"22",1,0.9323611,0.316227766016838,"WT",0.00746895648642217
"23",2,0.9311702,0.316227766016838,"WT",0.00777105802950277
"24",3,0.9290991,0.316227766016838,"WT",0.00803859655529322
"25",1e-06,0.9332099,0.398107170553497,"WT",0.00650542010436267
"26",1,0.9323611,0.398107170553497,"WT",0.00683865367746862
"27",2,0.9311702,0.398107170553497,"WT",0.00714780125803888
"28",3,0.9290991,0.398107170553497,"WT",0.00737734521688988
"29",1e-06,0.9332099,0.501187233627272,"WT",0.00575948053370125
"30",1,0.9323611,0.501187233627272,"WT",0.00603598707215663
"31",2,0.9311702,0.501187233627272,"WT",0.00632212253080293
"32",3,0.9290991,0.501187233627272,"WT",0.00651719051092206
"33",1e-06,0.9332099,0.630957344480193,"WT",0.0047980752552599
"34",1,0.9323611,0.630957344480193,"WT",0.00502529090610451
"35",2,0.9311702,0.630957344480193,"WT",0.00526052972861304
"36",3,0.9290991,0.630957344480193,"WT",0.00541665792231896
"37",1e-06,0.9332099,0.794328234724281,"WT",0.00359832285151042
"38",1,0.9323611,0.794328234724281,"WT",0.00378665341709588
"39",2,0.9311702,0.794328234724281,"WT",0.00391157955863798
"40",3,0.9290991,0.794328234724281,"WT",0.00400040411262465
"41",1e-06,0.9332099,1,"WT",0.00211285026399087
"42",1,0.9323611,1,"WT",0.00221599179050529
"43",2,0.9311702,1,"WT",0.00228384009111091
"44",3,0.9290991,1,"WT",0.00230352530604671
"45",1e-06,0.9332099,1.25892541179417,"WT",0.000253361925736455
"46",1,0.9323611,1.25892541179417,"WT",0.000308104696083886
"47",2,0.9311702,1.25892541179417,"WT",0.000287681133651266
"48",3,0.9290991,1.25892541179417,"WT",0.000110904480667952
"49",1e-06,0.9332099,1.58489319246111,"WT",-0.00195798497215683
"50",1,0.9323611,1.58489319246111,"WT",-0.00206186574589136
"51",2,0.9311702,1.58489319246111,"WT",-0.00223302995263753
"52",3,0.9290991,1.58489319246111,"WT",-0.00243395387192748
"53",1e-06,0.9332099,1.99526231496888,"WT",-0.00467599751513047
"54",1,0.9323611,1.99526231496888,"WT",-0.00484803590524509
"55",2,0.9311702,1.99526231496888,"WT",-0.00514128991127694
"56",3,0.9290991,1.99526231496888,"WT",-0.0055463732447293
"57",1e-06,0.9332099,2.51188643150958,"WT",-0.00791409587941043
"58",1,0.9323611,2.51188643150958,"WT",-0.00813567803951174
"59",2,0.9311702,2.51188643150958,"WT",-0.00852040896083558
"60",3,0.9290991,2.51188643150958,"WT",-0.00920672526575537
"61",1e-06,0.9332099,3.16227766016838,"WT",-0.0114767288776198
"62",1,0.9323611,3.16227766016838,"WT",-0.0119026981233694
"63",2,0.9311702,3.16227766016838,"WT",-0.0123169168226337
"64",3,0.9290991,3.16227766016838,"WT",-0.0131927741426299
