"sample.time","num.cells","parameter.index","kappa","MIC.fraction","drug.outsideConcentration.MULT","cell.type"
0,100000,"1",1e-06,0.9332099,0.1,"WT"
10,98840,"1",1e-06,0.9332099,0.1,"WT"
20,97892,"1",1e-06,0.9332099,0.1,"WT"
30,188343,"1",1e-06,0.9332099,0.1,"WT"
40,183254,"1",1e-06,0.9332099,0.1,"WT"
50,355039,"1",1e-06,0.9332099,0.1,"WT"
60,344759,"1",1e-06,0.9332099,0.1,"WT"
0,100000,"2",1,0.9323611,0.1,"WT"
10,99562,"2",1,0.9323611,0.1,"WT"
20,99612,"2",1,0.9323611,0.1,"WT"
30,193633,"2",1,0.9323611,0.1,"WT"
40,190227,"2",1,0.9323611,0.1,"WT"
50,372121,"2",1,0.9323611,0.1,"WT"
60,364944,"2",1,0.9323611,0.1,"WT"
0,100000,"3",2,0.9311702,0.1,"WT"
10,99885,"3",2,0.9311702,0.1,"WT"
20,100602,"3",2,0.9311702,0.1,"WT"
30,196676,"3",2,0.9311702,0.1,"WT"
40,194571,"3",2,0.9311702,0.1,"WT"
50,383561,"3",2,0.9311702,0.1,"WT"
60,378898,"3",2,0.9311702,0.1,"WT"
0,100000,"4",3,0.9290991,0.1,"WT"
10,99966,"4",3,0.9290991,0.1,"WT"
20,100975,"4",3,0.9290991,0.1,"WT"
30,198298,"4",3,0.9290991,0.1,"WT"
40,197092,"4",3,0.9290991,0.1,"WT"
50,390284,"4",3,0.9290991,0.1,"WT"
60,387441,"4",3,0.9290991,0.1,"WT"
0,100000,"5",1e-06,0.9332099,0.125892541179417,"WT"
10,98577,"5",1e-06,0.9332099,0.125892541179417,"WT"
20,97425,"5",1e-06,0.9332099,0.125892541179417,"WT"
30,186360,"5",1e-06,0.9332099,0.125892541179417,"WT"
40,180370,"5",1e-06,0.9332099,0.125892541179417,"WT"
50,347472,"5",1e-06,0.9332099,0.125892541179417,"WT"
60,335829,"5",1e-06,0.9332099,0.125892541179417,"WT"
0,100000,"6",1,0.9323611,0.125892541179417,"WT"
10,99491,"6",1,0.9323611,0.125892541179417,"WT"
20,99262,"6",1,0.9323611,0.125892541179417,"WT"
30,191849,"6",1,0.9323611,0.125892541179417,"WT"
40,187494,"6",1,0.9323611,0.125892541179417,"WT"
50,364482,"6",1,0.9323611,0.125892541179417,"WT"
60,355670,"6",1,0.9323611,0.125892541179417,"WT"
0,100000,"7",2,0.9311702,0.125892541179417,"WT"
10,99797,"7",2,0.9311702,0.125892541179417,"WT"
20,100263,"7",2,0.9311702,0.125892541179417,"WT"
30,195099,"7",2,0.9311702,0.125892541179417,"WT"
40,192102,"7",2,0.9311702,0.125892541179417,"WT"
50,376861,"7",2,0.9311702,0.125892541179417,"WT"
60,370446,"7",2,0.9311702,0.125892541179417,"WT"
0,100000,"8",3,0.9290991,0.125892541179417,"WT"
10,99937,"8",3,0.9290991,0.125892541179417,"WT"
20,100691,"8",3,0.9290991,0.125892541179417,"WT"
30,197077,"8",3,0.9290991,0.125892541179417,"WT"
40,195126,"8",3,0.9290991,0.125892541179417,"WT"
50,384573,"8",3,0.9290991,0.125892541179417,"WT"
60,380219,"8",3,0.9290991,0.125892541179417,"WT"
0,100000,"9",1e-06,0.9332099,0.158489319246111,"WT"
10,98453,"9",1e-06,0.9332099,0.158489319246111,"WT"
20,96716,"9",1e-06,0.9332099,0.158489319246111,"WT"
30,183968,"9",1e-06,0.9332099,0.158489319246111,"WT"
40,177013,"9",1e-06,0.9332099,0.158489319246111,"WT"
50,338528,"9",1e-06,0.9332099,0.158489319246111,"WT"
60,324904,"9",1e-06,0.9332099,0.158489319246111,"WT"
0,100000,"10",1,0.9323611,0.158489319246111,"WT"
10,99312,"10",1,0.9323611,0.158489319246111,"WT"
20,98544,"10",1,0.9323611,0.158489319246111,"WT"
30,189252,"10",1,0.9323611,0.158489319246111,"WT"
40,183764,"10",1,0.9323611,0.158489319246111,"WT"
50,354787,"10",1,0.9323611,0.158489319246111,"WT"
60,343806,"10",1,0.9323611,0.158489319246111,"WT"
0,100000,"11",2,0.9311702,0.158489319246111,"WT"
10,99678,"11",2,0.9311702,0.158489319246111,"WT"
20,99705,"11",2,0.9311702,0.158489319246111,"WT"
30,192910,"11",2,0.9311702,0.158489319246111,"WT"
40,188787,"11",2,0.9311702,0.158489319246111,"WT"
50,367524,"11",2,0.9311702,0.158489319246111,"WT"
60,359004,"11",2,0.9311702,0.158489319246111,"WT"
0,100000,"12",3,0.9290991,0.158489319246111,"WT"
10,99852,"12",3,0.9290991,0.158489319246111,"WT"
20,100237,"12",3,0.9290991,0.158489319246111,"WT"
30,194955,"12",3,0.9290991,0.158489319246111,"WT"
40,191791,"12",3,0.9290991,0.158489319246111,"WT"
50,375549,"12",3,0.9290991,0.158489319246111,"WT"
60,368945,"12",3,0.9290991,0.158489319246111,"WT"
0,100000,"13",1e-06,0.9332099,0.199526231496888,"WT"
10,98267,"13",1e-06,0.9332099,0.199526231496888,"WT"
20,95976,"13",1e-06,0.9332099,0.199526231496888,"WT"
30,180979,"13",1e-06,0.9332099,0.199526231496888,"WT"
40,172652,"13",1e-06,0.9332099,0.199526231496888,"WT"
50,326986,"13",1e-06,0.9332099,0.199526231496888,"WT"
