"parameter.index","kappa","MIC.fraction","drug.outsideConcentration.MULT","cell.type","rate"
"1",1,0.1043,0.1,"WT",0.00911728789730578
"2",2,0.08951271,0.1,"WT",0.00954426881257219
"3",3,0.08567227,0.1,"WT",0.00959860058424837
"4",4,0.08319832,0.1,"WT",0.00960504449816559
"5",5,0.0822,0.1,"WT",0.00960644842822517
"6",1,0.1043,0.125892541179417,"WT",0.00898946725755471
"7",2,0.08951271,0.125892541179417,"WT",0.00951900492529921
"8",3,0.08567227,0.125892541179417,"WT",0.0095905960445833
"9",4,0.08319832,0.125892541179417,"WT",0.00960369261581377
"10",5,0.0822,0.125892541179417,"WT",0.00960498445071861
"11",1,0.1043,0.158489319246111,"WT",0.00882457273329477
"12",2,0.08951271,0.158489319246111,"WT",0.00947761927588536
"13",3,0.08567227,0.158489319246111,"WT",0.00958132682609835
"14",4,0.08319832,0.158489319246111,"WT",0.00960155400367332
"15",5,0.0822,0.158489319246111,"WT",0.00960443937191636
"16",1,0.1043,0.199526231496888,"WT",0.00864071437107436
"17",2,0.08951271,0.199526231496888,"WT",0.00941430620041055
"18",3,0.08567227,0.199526231496888,"WT",0.00956548916025915
"19",4,0.08319832,0.199526231496888,"WT",0.00959641266553803
"20",5,0.0822,0.199526231496888,"WT",0.0096031662838681
"21",1,0.1043,0.251188643150958,"WT",0.00837747457646743
"22",2,0.08951271,0.251188643150958,"WT",0.00932345575834779
"23",3,0.08567227,0.251188643150958,"WT",0.00953311547729981
"24",4,0.08319832,0.251188643150958,"WT",0.00958376318566927
"25",5,0.0822,0.251188643150958,"WT",0.00959867446526591
"26",1,0.1043,0.316227766016838,"WT",0.00806809391631133
"27",2,0.08951271,0.316227766016838,"WT",0.00917866177599531
"28",3,0.08567227,0.316227766016838,"WT",0.0094764437282226
"29",4,0.08319832,0.316227766016838,"WT",0.0095626540358611
"30",5,0.0822,0.316227766016838,"WT",0.00958729743847782
"31",1,0.1043,0.398107170553497,"WT",0.00767634244700365
"32",2,0.08951271,0.398107170553497,"WT",0.00896014584690399
"33",3,0.08567227,0.398107170553497,"WT",0.00937094734376789
"34",4,0.08319832,0.398107170553497,"WT",0.00950645852916147
"35",5,0.0822,0.398107170553497,"WT",0.00956200535921688
"36",1,0.1043,0.501187233627272,"WT",0.00717425841955889
"37",2,0.08951271,0.501187233627272,"WT",0.0086337774254392
"38",3,0.08567227,0.501187233627272,"WT",0.00917705127839467
"39",4,0.08319832,0.501187233627272,"WT",0.00938898507603637
"40",5,0.0822,0.501187233627272,"WT",0.00948670384118942
"41",1,0.1043,0.630957344480193,"WT",0.00655837190453166
"42",2,0.08951271,0.630957344480193,"WT",0.00810736907262858
"43",3,0.08567227,0.630957344480193,"WT",0.00881744328409162
"44",4,0.08319832,0.630957344480193,"WT",0.00912482988469296
"45",5,0.0822,0.630957344480193,"WT",0.00929583060071038
"46",1,0.1043,0.794328234724281,"WT",0.00578337568527969
"47",2,0.08951271,0.794328234724281,"WT",0.00732962237439051
"48",3,0.08567227,0.794328234724281,"WT",0.00816212644731105
"49",4,0.08319832,0.794328234724281,"WT",0.00856543792830233
"50",5,0.0822,0.794328234724281,"WT",0.00882427673984674
"51",1,0.1043,1,"WT",0.00479954186271664
"52",2,0.08951271,1,"WT",0.00617596962621037
"53",3,0.08567227,1,"WT",0.00697139309497056
"54",4,0.08319832,1,"WT",0.00739729138667813
"55",5,0.0822,1,"WT",0.00767467365384916
"56",1,0.1043,1.25892541179417,"WT",0.00353420775168578
"57",2,0.08951271,1.25892541179417,"WT",0.00440456764261678
"58",3,0.08567227,1.25892541179417,"WT",0.00491454791314994
"59",4,0.08319832,1.25892541179417,"WT",0.00502751062446088
"60",5,0.0822,1.25892541179417,"WT",0.00508923797363442
"61",1,0.1043,1.58489319246111,"WT",0.00201306878847116
"62",2,0.08951271,1.58489319246111,"WT",0.00186941231147486
