"sample.time","num.cells","parameter.index","kappa","MIC.fraction","drug.outsideConcentration.MULT","cell.type"
0,100000,"1",1,0.1043,0.1,"WT"
10,99785,"1",1,0.1043,0.1,"WT"
20,100233,"1",1,0.1043,0.1,"WT"
30,195315,"1",1,0.1043,0.1,"WT"
40,192339,"1",1,0.1043,0.1,"WT"
50,376928,"1",1,0.1043,0.1,"WT"
60,369527,"1",1,0.1043,0.1,"WT"
0,100000,"2",2,0.08951271,0.1,"WT"
10,99985,"2",2,0.08951271,0.1,"WT"
20,101231,"2",2,0.08951271,0.1,"WT"
30,199520,"2",2,0.08951271,0.1,"WT"
40,199247,"2",2,0.08951271,0.1,"WT"
50,396797,"2",2,0.08951271,0.1,"WT"
60,395724,"2",2,0.08951271,0.1,"WT"
0,100000,"3",3,0.08567227,0.1,"WT"
10,99998,"3",3,0.08567227,0.1,"WT"
20,101331,"3",3,0.08567227,0.1,"WT"
30,199956,"3",3,0.08567227,0.1,"WT"
40,200059,"3",3,0.08567227,0.1,"WT"
50,399430,"3",3,0.08567227,0.1,"WT"
60,399425,"3",3,0.08567227,0.1,"WT"
0,100000,"4",4,0.08319832,0.1,"WT"
10,99999,"4",4,0.08319832,0.1,"WT"
20,101309,"4",4,0.08319832,0.1,"WT"
30,199989,"4",4,0.08319832,0.1,"WT"
40,200163,"4",4,0.08319832,0.1,"WT"
50,399741,"4",4,0.08319832,0.1,"WT"
60,399922,"4",4,0.08319832,0.1,"WT"
0,100000,"5",5,0.0822,0.1,"WT"
10,100000,"5",5,0.0822,0.1,"WT"
20,101313,"5",5,0.0822,0.1,"WT"
30,200000,"5",5,0.0822,0.1,"WT"
40,200187,"5",5,0.0822,0.1,"WT"
50,399824,"5",5,0.0822,0.1,"WT"
60,400000,"5",5,0.0822,0.1,"WT"
0,100000,"6",1,0.1043,0.125892541179417,"WT"
10,99712,"6",1,0.1043,0.125892541179417,"WT"
20,100004,"6",1,0.1043,0.125892541179417,"WT"
30,194175,"6",1,0.1043,0.125892541179417,"WT"
40,190370,"6",1,0.1043,0.125892541179417,"WT"
50,371065,"6",1,0.1043,0.125892541179417,"WT"
60,361883,"6",1,0.1043,0.125892541179417,"WT"
0,100000,"7",2,0.08951271,0.125892541179417,"WT"
10,99973,"7",2,0.08951271,0.125892541179417,"WT"
20,101192,"7",2,0.08951271,0.125892541179417,"WT"
30,199313,"7",2,0.08951271,0.125892541179417,"WT"
40,198889,"7",2,0.08951271,0.125892541179417,"WT"
50,395586,"7",2,0.08951271,0.125892541179417,"WT"
60,393983,"7",2,0.08951271,0.125892541179417,"WT"
0,100000,"8",3,0.08567227,0.125892541179417,"WT"
10,99998,"8",3,0.08567227,0.125892541179417,"WT"
20,101252,"8",3,0.08567227,0.125892541179417,"WT"
30,199893,"8",3,0.08567227,0.125892541179417,"WT"
40,199961,"8",3,0.08567227,0.125892541179417,"WT"
50,399069,"8",3,0.08567227,0.125892541179417,"WT"
60,398907,"8",3,0.08567227,0.125892541179417,"WT"
0,100000,"9",4,0.08319832,0.125892541179417,"WT"
10,100000,"9",4,0.08319832,0.125892541179417,"WT"
20,101298,"9",4,0.08319832,0.125892541179417,"WT"
30,199990,"9",4,0.08319832,0.125892541179417,"WT"
40,200136,"9",4,0.08319832,0.125892541179417,"WT"
50,399693,"9",4,0.08319832,0.125892541179417,"WT"
60,399822,"9",4,0.08319832,0.125892541179417,"WT"
0,100000,"10",5,0.0822,0.125892541179417,"WT"
10,100000,"10",5,0.0822,0.125892541179417,"WT"
20,101246,"10",5,0.0822,0.125892541179417,"WT"
30,199993,"10",5,0.0822,0.125892541179417,"WT"
40,200148,"10",5,0.0822,0.125892541179417,"WT"
50,399808,"10",5,0.0822,0.125892541179417,"WT"
60,399956,"10",5,0.0822,0.125892541179417,"WT"
0,100000,"11",1,0.1043,0.158489319246111,"WT"
10,99640,"11",1,0.1043,0.158489319246111,"WT"
20,99619,"11",1,0.1043,0.158489319246111,"WT"
30,192598,"11",1,0.1043,0.158489319246111,"WT"
40,187846,"11",1,0.1043,0.158489319246111,"WT"
50,363814,"11",1,0.1043,0.158489319246111,"WT"
60,352328,"11",1,0.1043,0.158489319246111,"WT"
0,100000,"12",2,0.08951271,0.158489319246111,"WT"
10,99965,"12",2,0.08951271,0.158489319246111,"WT"
20,101126,"12",2,0.08951271,0.158489319246111,"WT"
30,198955,"12",2,0.08951271,0.158489319246111,"WT"
40,198259,"12",2,0.08951271,0.158489319246111,"WT"
