"parameter.index","kappa","MIC.fraction","drug.outsideConcentration.MULT","cell.type","rate"
"1",1,0.349697,0.1,"WT",0.00918954276673628
"2",2,0.3185616,0.1,"WT",0.0095723266333278
"3",5,0.3003958,0.1,"WT",0.00960698460514189
"4",10,0.2956701,0.1,"WT",0.0096073050713093
"5",20,0.28002,0.1,"WT",0.00960633196633827
"6",1,0.349697,0.125892541179417,"WT",0.00907439002640766
"7",2,0.3185616,0.125892541179417,"WT",0.00955146979468731
"8",5,0.3003958,0.125892541179417,"WT",0.00960593350480754
"9",10,0.2956701,0.125892541179417,"WT",0.00960665330489776
"10",20,0.28002,0.125892541179417,"WT",0.0096065083093493
"11",1,0.349697,0.158489319246111,"WT",0.00894073195989427
"12",2,0.3185616,0.158489319246111,"WT",0.00951815932482651
"13",5,0.3003958,0.158489319246111,"WT",0.00960661293598797
"14",10,0.2956701,0.158489319246111,"WT",0.00960650488688387
"15",20,0.28002,0.158489319246111,"WT",0.00960703360221984
"16",1,0.349697,0.199526231496888,"WT",0.00875760073703553
"17",2,0.3185616,0.199526231496888,"WT",0.00946860012477772
"18",5,0.3003958,0.199526231496888,"WT",0.00960586264458163
"19",10,0.2956701,0.199526231496888,"WT",0.00960693238722161
"20",20,0.28002,0.199526231496888,"WT",0.00960684467784971
"21",1,0.349697,0.251188643150958,"WT",0.00853963501493411
"22",2,0.3185616,0.251188643150958,"WT",0.00939184223881949
"23",5,0.3003958,0.251188643150958,"WT",0.00960567073676746
"24",10,0.2956701,0.251188643150958,"WT",0.00960600640874348
"25",20,0.28002,0.251188643150958,"WT",0.00960676173123696
"26",1,0.349697,0.316227766016838,"WT",0.00823856293887777
"27",2,0.3185616,0.316227766016838,"WT",0.00925534723372196
"28",5,0.3003958,0.316227766016838,"WT",0.0096019038089425
"29",10,0.2956701,0.316227766016838,"WT",0.0096062691395889
"30",20,0.28002,0.316227766016838,"WT",0.00960632957797416
"31",1,0.349697,0.398107170553497,"WT",0.00786770453624317
"32",2,0.3185616,0.398107170553497,"WT",0.00906462141740988
