"sample.time","num.cells","parameter.index","kappa","MIC.fraction","drug.outsideConcentration.MULT","cell.type"
0,100000,"1",1,0.349697,0.1,"WT"
10,99702,"1",1,0.349697,0.1,"WT"
20,100196,"1",1,0.349697,0.1,"WT"
30,195761,"1",1,0.349697,0.1,"WT"
40,193336,"1",1,0.349697,0.1,"WT"
50,380505,"1",1,0.349697,0.1,"WT"
60,374376,"1",1,0.349697,0.1,"WT"
0,100000,"2",2,0.3185616,0.1,"WT"
10,99994,"2",2,0.3185616,0.1,"WT"
20,101249,"2",2,0.3185616,0.1,"WT"
30,199740,"2",2,0.3185616,0.1,"WT"
40,199664,"2",2,0.3185616,0.1,"WT"
50,398175,"2",2,0.3185616,0.1,"WT"
60,397664,"2",2,0.3185616,0.1,"WT"
0,100000,"3",5,0.3003958,0.1,"WT"
10,100000,"3",5,0.3003958,0.1,"WT"
20,101349,"3",5,0.3003958,0.1,"WT"
30,200000,"3",5,0.3003958,0.1,"WT"
40,200170,"3",5,0.3003958,0.1,"WT"
50,399853,"3",5,0.3003958,0.1,"WT"
60,400026,"3",5,0.3003958,0.1,"WT"
0,100000,"4",10,0.2956701,0.1,"WT"
10,100000,"4",10,0.2956701,0.1,"WT"
20,101389,"4",10,0.2956701,0.1,"WT"
30,200000,"4",10,0.2956701,0.1,"WT"
40,200178,"4",10,0.2956701,0.1,"WT"
50,399838,"4",10,0.2956701,0.1,"WT"
60,400020,"4",10,0.2956701,0.1,"WT"
0,100000,"5",20,0.28002,0.1,"WT"
10,100000,"5",20,0.28002,0.1,"WT"
20,101301,"5",20,0.28002,0.1,"WT"
30,200000,"5",20,0.28002,0.1,"WT"
40,200166,"5",20,0.28002,0.1,"WT"
50,399827,"5",20,0.28002,0.1,"WT"
60,400025,"5",20,0.28002,0.1,"WT"
0,100000,"6",1,0.349697,0.125892541179417,"WT"
10,99655,"6",1,0.349697,0.125892541179417,"WT"
20,100056,"6",1,0.349697,0.125892541179417,"WT"
30,194640,"6",1,0.349697,0.125892541179417,"WT"
40,191549,"6",1,0.349697,0.125892541179417,"WT"
50,375113,"6",1,0.349697,0.125892541179417,"WT"
60,367435,"6",1,0.349697,0.125892541179417,"WT"
0,100000,"7",2,0.3185616,0.125892541179417,"WT"
10,99991,"7",2,0.3185616,0.125892541179417,"WT"
20,101251,"7",2,0.3185616,0.125892541179417,"WT"
30,199613,"7",2,0.3185616,0.125892541179417,"WT"
40,199384,"7",2,0.3185616,0.125892541179417,"WT"
50,397123,"7",2,0.3185616,0.125892541179417,"WT"
60,396145,"7",2,0.3185616,0.125892541179417,"WT"
0,100000,"8",5,0.3003958,0.125892541179417,"WT"
10,100000,"8",5,0.3003958,0.125892541179417,"WT"
20,101262,"8",5,0.3003958,0.125892541179417,"WT"
30,200000,"8",5,0.3003958,0.125892541179417,"WT"
40,200159,"8",5,0.3003958,0.125892541179417,"WT"
50,399845,"8",5,0.3003958,0.125892541179417,"WT"
60,400015,"8",5,0.3003958,0.125892541179417,"WT"
0,100000,"9",10,0.2956701,0.125892541179417,"WT"
10,100000,"9",10,0.2956701,0.125892541179417,"WT"
20,101337,"9",10,0.2956701,0.125892541179417,"WT"
30,200000,"9",10,0.2956701,0.125892541179417,"WT"
40,200157,"9",10,0.2956701,0.125892541179417,"WT"
50,399836,"9",10,0.2956701,0.125892541179417,"WT"
60,400027,"9",10,0.2956701,0.125892541179417,"WT"
0,100000,"10",20,0.28002,0.125892541179417,"WT"
10,100000,"10",20,0.28002,0.125892541179417,"WT"
20,101312,"10",20,0.28002,0.125892541179417,"WT"
30,200000,"10",20,0.28002,0.125892541179417,"WT"
40,200176,"10",20,0.28002,0.125892541179417,"WT"
50,399828,"10",20,0.28002,0.125892541179417,"WT"
60,400021,"10",20,0.28002,0.125892541179417,"WT"
0,100000,"11",1,0.349697,0.158489319246111,"WT"
10,99537,"11",1,0.349697,0.158489319246111,"WT"
20,99702,"11",1,0.349697,0.158489319246111,"WT"
30,193354,"11",1,0.349697,0.158489319246111,"WT"
40,189434,"11",1,0.349697,0.158489319246111,"WT"
50,369212,"11",1,0.349697,0.158489319246111,"WT"
60,359667,"11",1,0.349697,0.158489319246111,"WT"
0,100000,"12",2,0.3185616,0.158489319246111,"WT"
10,99986,"12",2,0.3185616,0.158489319246111,"WT"
20,101184,"12",2,0.3185616,0.158489319246111,"WT"
30,199356,"12",2,0.3185616,0.158489319246111,"WT"
40,198863,"12",2,0.3185616,0.158489319246111,"WT"
50,395578,"12",2,0.3185616,0.158489319246111,"WT"
60,393867,"12",2,0.3185616,0.158489319246111,"WT"
0,100000,"13",5,0.3003958,0.158489319246111,"WT"
10,100000,"13",5,0.3003958,0.158489319246111,"WT"
20,101325,"13",5,0.3003958,0.158489319246111,"WT"
30,200000,"13",5,0.3003958,0.158489319246111,"WT"
40,200171,"13",5,0.3003958,0.158489319246111,"WT"
50,399833,"13",5,0.3003958,0.158489319246111,"WT"
60,400021,"13",5,0.3003958,0.158489319246111,"WT"
0,100000,"14",10,0.2956701,0.158489319246111,"WT"
10,100000,"14",10,0.2956701,0.158489319246111,"WT"
20,101322,"14",10,0.2956701,0.158489319246111,"WT"
30,200000,"14",10,0.2956701,0.158489319246111,"WT"
40,200155,"14",10,0.2956701,0.158489319246111,"WT"
50,399844,"14",10,0.2956701,0.158489319246111,"WT"
60,400022,"14",10,0.2956701,0.158489319246111,"WT"
0,100000,"15",20,0.28002,0.158489319246111,"WT"
10,100000,"15",20,0.28002,0.158489319246111,"WT"
20,101356,"15",20,0.28002,0.158489319246111,"WT"
30,200000,"15",20,0.28002,0.158489319246111,"WT"
40,200189,"15",20,0.28002,0.158489319246111,"WT"
50,399827,"15",20,0.28002,0.158489319246111,"WT"
60,400020,"15",20,0.28002,0.158489319246111,"WT"
0,100000,"16",1,0.349697,0.199526231496888,"WT"
