"sim.label","sample.time","num.cells","param.index","mutant.effect","drug.outsideConcentration.MULT"
1,0,1000,1,1,0.1
1,10,1000,1,1,0.1
1,20,1085,1,1,0.1
1,30,1995,1,1,0.1
1,40,2059,1,1,0.1
1,50,3957,1,1,0.1
1,60,3983,1,1,0.1
1,70,7842,1,1,0.1
1,80,7844,1,1,0.1
1,90,15377,1,1,0.1
1,100,15508,1,1,0.1
1,110,28962,1,1,0.1
1,120,30721,1,1,0.1
1,130,52000,1,1,0.1
1,140,60788,1,1,0.1
1,150,90489,1,1,0.1
1,160,120320,1,1,0.1
1,170,157115,1,1,0.1
1,180,237805,1,1,0.1
21,0,1000,1,1,0.1
21,10,1000,1,1,0.1
21,20,1086,1,1,0.1
21,30,1994,1,1,0.1
21,40,2036,1,1,0.1
21,50,3968,1,1,0.1
21,60,3993,1,1,0.1
21,70,7864,1,1,0.1
21,80,7852,1,1,0.1
21,90,15388,1,1,0.1
21,100,15505,1,1,0.1
21,110,29086,1,1,0.1
21,120,30680,1,1,0.1
21,130,52398,1,1,0.1
21,140,60762,1,1,0.1
21,150,91081,1,1,0.1
21,160,120229,1,1,0.1
21,170,158349,1,1,0.1
21,180,237753,1,1,0.1
41,0,1000,1,1,0.1
41,10,998,1,1,0.1
41,20,1096,1,1,0.1
41,30,1991,1,1,0.1
41,40,2040,1,1,0.1
41,50,3965,1,1,0.1
41,60,3986,1,1,0.1
41,70,7866,1,1,0.1
41,80,7880,1,1,0.1
41,90,15461,1,1,0.1
41,100,15592,1,1,0.1
41,110,29202,1,1,0.1
41,120,30847,1,1,0.1
41,130,52271,1,1,0.1
41,140,61027,1,1,0.1
41,150,90921,1,1,0.1
41,160,120825,1,1,0.1
41,170,158343,1,1,0.1
41,180,238768,1,1,0.1
61,0,1000,1,1,0.1
61,10,1000,1,1,0.1
61,20,1113,1,1,0.1
61,30,1997,1,1,0.1
61,40,2069,1,1,0.1
61,50,3966,1,1,0.1
61,60,3994,1,1,0.1
61,70,7874,1,1,0.1
61,80,7876,1,1,0.1
61,90,15412,1,1,0.1
61,100,15571,1,1,0.1
61,110,29169,1,1,0.1
61,120,30791,1,1,0.1
61,130,52511,1,1,0.1
61,140,60926,1,1,0.1
61,150,91802,1,1,0.1
61,160,120554,1,1,0.1
61,170,160033,1,1,0.1
61,180,238237,1,1,0.1
81,0,1000,1,1,0.1
81,10,1000,1,1,0.1
81,20,1085,1,1,0.1
