"sim.label","seed","param.index"
1,431473496,1
21,767226957,1
41,713180787,1
61,1344687347,1
81,431473496,1
1,1678116195,2
21,1549825250,2
41,608621324,2
61,952114458,2
81,261508488,2
1,2031840052,3
21,619256176,3
41,1404402519,3
61,808228446,3
81,62031482,3
1,414046750,4
21,201919295,4
41,1039490824,4
61,1740298523,4
81,1577134693,4
1,2040433450,5
21,1424232052,5
41,838576636,5
61,411122261,5
81,353972771,5
1,1742066728,6
21,407217164,6
41,2122467421,6
61,1832082353,6
81,1917731542,6
1,851486397,7
2,1611607750,7
21,2104949464,7
22,648052006,7
41,1556111973,7
42,27193946,7
61,239582821,7
62,1340059306,7
81,155111939,7
82,394004827,7
1,661787058,8
2,1071474003,8
3,750135443,8
4,2016854324,8
5,1263420067,8
21,1614781738,8
22,1654967386,8
23,53500515,8
24,790802768,8
25,2090876867,8
41,873488842,8
42,1297939836,8
43,1956937487,8
44,179710467,8
45,677638987,8
61,163907253,8
62,290805959,8
63,387080394,8
64,1908880662,8
65,686240498,8
81,1144937338,8
82,1955035074,8
83,1675532457,8
84,722458933,8
85,1690802314,8
1,1115314931,9
2,304178564,9
3,847288743,9
4,504590988,9
5,239306083,9
6,445285407,9
7,2014623247,9
8,1396524009,9
9,585804943,9
10,179126714,9
11,1090433848,9
12,736307238,9
21,358636574,9
22,1102137727,9
23,1494445002,9
24,1819549434,9
25,1914902211,9
26,526262228,9
27,909137134,9
28,1711682815,9
29,196090114,9
30,1994842035,9
31,1792617289,9
32,171198108,9
41,542634520,9
42,64686749,9
43,1406566035,9
44,146333633,9
45,894842182,9
46,1339226024,9
47,835026779,9
48,838950983,9
49,594854665,9
50,2128690698,9
51,1580837865,9
52,35331704,9
61,348979321,9
62,277014983,9
63,2096620144,9
64,1824977647,9
65,1246451970,9
66,1875244590,9
67,1966377061,9
68,888786350,9
69,963257008,9
70,2067242735,9
71,1146691536,9
72,1825554169,9
81,1019315242,9
82,979768080,9
83,770687431,9
84,597144940,9
85,756674086,9
86,703589301,9
87,1894426338,9
88,888830303,9
89,2072419291,9
90,762520014,9
91,191381229,9
92,1045399305,9
1,265788368,10
2,1064336554,10
3,2058475185,10
4,1944046425,10
5,1286504107,10
6,1314415417,10
7,1233096423,10
8,412397413,10
9,388151314,10
10,18184184,10
11,1835160654,10
12,1214765283,10
13,47166504,10
14,447859393,10
15,60416441,10
16,1036128192,10
17,576174864,10
18,936039927,10
19,272928480,10
20,443502037,10
21,1354988834,10
22,839840254,10
23,229129167,10
24,749514493,10
25,668331437,10
26,1975897014,10
27,659935558,10
28,1926481756,10
29,1940303579,10
30,1569788494,10
31,12274672,10
32,2012269742,10
33,2114852544,10
34,191752656,10
35,304118479,10
36,2115846000,10
37,1506602817,10
38,1864655397,10
39,121216439,10
40,804344475,10
41,268475906,10
42,2000292544,10
43,2048089457,10
44,418327134,10
45,1565787869,10
46,564682237,10
47,1760514651,10
48,1432529408,10
49,472976431,10
50,2124878547,10
51,1833170366,10
52,1232644124,10
53,129886813,10
54,2131586855,10
55,1136571544,10
56,706163555,10
57,580039559,10
58,422319511,10
59,95804548,10
60,383950702,10
61,510382081,10
62,2118593927,10
63,1679656250,10
64,145674790,10
65,1284271555,10
66,362853415,10
67,1037244460,10
68,517025620,10
69,332087368,10
70,1483519753,10
71,1730561919,10
72,1282365185,10
73,1212236779,10
74,1670241391,10
75,69925302,10
76,1213322939,10
77,2076920904,10
78,1686017851,10
79,2031360212,10
80,1733601403,10
81,802270878,10
82,1579932748,10
83,683520386,10
84,158551971,10
85,134662194,10
86,1502400348,10
87,950343970,10
88,1070347651,10
89,795296339,10
90,2127321073,10
91,1146516019,10
92,273446586,10
93,1360451470,10
94,282301320,10
95,1473533882,10
96,1369928598,10
97,1002900412,10
98,2106174678,10
99,1453988427,10
100,393630883,10
