"sim.label","seed","param.index"
1,864158053,1
2,789909642,1
3,1432159249,1
4,726037108,1
21,702262607,1
22,1836090296,1
23,711099152,1
24,1547671725,1
41,1308069149,1
42,95627952,1
43,268975203,1
44,1585311221,1
61,768009419,1
62,282150291,1
63,174272374,1
64,431297993,1
81,943522790,1
82,245077330,1
83,415381230,1
84,283322445,1
1,284728860,2
2,154216099,2
3,1443223399,2
4,180122925,2
21,666863086,2
22,1765983394,2
23,781044737,2
24,1563246845,2
41,1674089256,2
42,106862993,2
43,1512292421,2
44,360669724,2
61,1533948553,2
62,1302613222,2
63,2065518930,2
64,265494793,2
81,1875449664,2
82,529286028,2
83,1112334694,2
84,776662287,2
1,755938537,3
2,870484688,3
3,2002551498,3
4,1435898449,3
21,1038854920,3
22,294364494,3
23,1380657831,3
24,300978336,3
41,901655278,3
42,199717516,3
43,671058142,3
44,2123457938,3
61,1582953676,3
62,623261135,3
63,1964364808,3
64,121202186,3
81,2079612311,3
82,1254012997,3
83,1964430895,3
84,50112754,3
1,1049763777,4
2,317280021,4
3,2134250731,4
4,1924746860,4
21,816436898,4
22,689768994,4
23,1826820540,4
24,1141453115,4
41,586324654,4
42,759461150,4
43,1006295596,4
44,1892217614,4
61,1021384064,4
62,1438439705,4
63,1860656973,4
64,993339013,4
81,1351570211,4
82,1868053098,4
83,529542117,4
84,1495944576,4
1,1154640758,5
2,1162281550,5
3,1390894140,5
4,337906949,5
21,1960126176,5
22,1396032434,5
23,1512558815,5
24,2072970321,5
41,1251040265,5
42,42644742,5
43,107637381,5
44,1407447506,5
61,659374634,5
62,951278668,5
63,753039638,5
64,845728510,5
65,33132960,5
81,1063214256,5
82,196156617,5
83,952675963,5
84,2042986771,5
85,343776099,5
1,2054231302,6
2,155688727,6
3,1143665543,6
4,378409256,6
21,904538256,6
22,1892963010,6
23,353705368,6
24,841971968,6
41,405765908,6
42,401818360,6
43,2079638869,6
44,426110747,6
61,1583406232,6
62,557544946,6
63,1558484793,6
64,893995672,6
81,2077201558,6
82,829457907,6
83,1080054078,6
84,1751119573,6
1,1111380509,7
2,1408144436,7
3,532246715,7
4,1163916523,7
21,154656062,7
22,563522635,7
23,1621316852,7
24,1995052411,7
41,519048234,7
42,1494231291,7
43,977590791,7
44,1526041807,7
61,2068883548,7
62,279584844,7
63,1275938183,7
64,1458416002,7
81,1945251780,7
82,482782165,7
83,1959497914,7
84,1766455792,7
1,362569869,8
2,724527778,8
3,1031356852,8
4,1523761530,8
21,1742421734,8
22,1339285048,8
23,1413852225,8
24,791361009,8
41,1510766019,8
42,2049472374,8
43,1876216501,8
44,1985883165,8
61,402287031,8
62,66522075,8
63,944379862,8
64,1147857763,8
81,1590380954,8
82,451688880,8
83,930615719,8
84,113086557,8
1,227854301,9
2,194903172,9
3,380006305,9
4,1217983236,9
5,1349535136,9
21,1833539184,9
22,956290241,9
23,974124775,9
24,123205114,9
25,1767404576,9
41,1246947206,9
42,736768438,9
43,836431780,9
44,1619876895,9
61,1763548549,9
62,677284134,9
63,1094342572,9
64,1392004936,9
65,226203303,9
81,1338974737,9
82,21094511,9
83,2073561155,9
84,398297475,9
85,1299994089,9
1,2075878614,10
2,646016069,10
3,957810893,10
4,2122070845,10
21,620323092,10
22,1998242273,10
23,1047112964,10
24,886371999,10
41,733756085,10
42,349492783,10
43,1021753572,10
44,557876623,10
45,1832373932,10
61,1935102197,10
62,342828837,10
63,235092428,10
64,695517453,10
81,441651161,10
82,1044456791,10
83,863056802,10
84,1818124701,10
1,1560818024,11
2,667337543,11
3,1704572411,11
4,1398408034,11
21,1747112216,11
22,1498758171,11
23,1759559108,11
24,1107032479,11
41,2055917610,11
42,988803805,11
43,1004363892,11
44,1621568528,11
61,1886284947,11
62,545809047,11
63,1106678501,11
64,844226182,11
81,577408459,11
82,1956758950,11
83,1045316015,11
84,942173100,11
1,461323024,12
2,387896265,12
3,1595398777,12
4,373765296,12
21,20646693,12
22,1911492241,12
23,516809945,12
24,1764203015,12
41,1117154455,12
