"sim.label","sample.time","num.cells","param.index","mutant.effect","drug.outsideConcentration.MULT"
1,0,1000,1,2,0.1
1,10,1000,1,2,0.1
1,20,1003,1,2,0.1
1,30,1997,1,2,0.1
1,40,1991,1,2,0.1
1,50,3871,1,2,0.1
1,60,3949,1,2,0.1
1,70,5175,1,2,0.1
1,80,7834,1,2,0.1
1,90,7989,1,2,0.1
1,100,15445,1,2,0.1
1,110,15459,1,2,0.1
1,120,26663,1,2,0.1
1,130,30562,1,2,0.1
1,140,37586,1,2,0.1
1,150,60302,1,2,0.1
1,160,62082,1,2,0.1
1,170,114248,1,2,0.1
1,180,118882,1,2,0.1
2,0,1000,1,2,0.1
2,10,1000,1,2,0.1
2,20,999,1,2,0.1
2,30,1993,1,2,0.1
2,40,1988,1,2,0.1
2,50,3842,1,2,0.1
2,60,3958,1,2,0.1
2,70,5091,1,2,0.1
2,80,7831,1,2,0.1
2,90,7961,1,2,0.1
2,100,15433,1,2,0.1
2,110,15450,1,2,0.1
2,120,26397,1,2,0.1
2,130,30501,1,2,0.1
2,140,37153,1,2,0.1
2,150,60186,1,2,0.1
2,160,61744,1,2,0.1
2,170,113835,1,2,0.1
2,180,118653,1,2,0.1
3,0,1000,1,2,0.1
3,10,1000,1,2,0.1
3,20,1001,1,2,0.1
3,30,1996,1,2,0.1
3,40,1987,1,2,0.1
3,50,3847,1,2,0.1
3,60,3936,1,2,0.1
3,70,5115,1,2,0.1
3,80,7783,1,2,0.1
3,90,7950,1,2,0.1
3,100,15276,1,2,0.1
3,110,15333,1,2,0.1
3,120,26265,1,2,0.1
3,130,30242,1,2,0.1
3,140,37302,1,2,0.1
3,150,59708,1,2,0.1
3,160,61677,1,2,0.1
3,170,112892,1,2,0.1
3,180,117972,1,2,0.1
21,0,1000,1,2,0.1
21,10,1000,1,2,0.1
21,20,998,1,2,0.1
21,30,1994,1,2,0.1
21,40,1989,1,2,0.1
21,50,3838,1,2,0.1
21,60,3948,1,2,0.1
21,70,5002,1,2,0.1
21,80,7794,1,2,0.1
21,90,7906,1,2,0.1
21,100,15320,1,2,0.1
21,110,15355,1,2,0.1
21,120,25982,1,2,0.1
21,130,30339,1,2,0.1
21,140,36657,1,2,0.1
21,150,59917,1,2,0.1
21,160,61534,1,2,0.1
21,170,113023,1,2,0.1
21,180,118290,1,2,0.1
22,0,1000,1,2,0.1
22,10,1000,1,2,0.1
22,20,1000,1,2,0.1
22,30,1996,1,2,0.1
22,40,1991,1,2,0.1
22,50,3872,1,2,0.1
22,60,3950,1,2,0.1
22,70,5111,1,2,0.1
22,80,7821,1,2,0.1
22,90,7937,1,2,0.1
22,100,15391,1,2,0.1
22,110,15416,1,2,0.1
22,120,26437,1,2,0.1
22,130,30496,1,2,0.1
22,140,37316,1,2,0.1
22,150,60150,1,2,0.1
22,160,61761,1,2,0.1
22,170,113997,1,2,0.1
22,180,118624,1,2,0.1
23,0,1000,1,2,0.1
23,10,999,1,2,0.1
23,20,998,1,2,0.1
23,30,1992,1,2,0.1
23,40,1986,1,2,0.1
23,50,3859,1,2,0.1
23,60,3942,1,2,0.1
23,70,5133,1,2,0.1
23,80,7822,1,2,0.1
23,90,7949,1,2,0.1
23,100,15373,1,2,0.1
23,110,15400,1,2,0.1
23,120,26440,1,2,0.1
23,130,30432,1,2,0.1
23,140,37470,1,2,0.1
23,150,60052,1,2,0.1
23,160,61842,1,2,0.1
23,170,113862,1,2,0.1
23,180,118595,1,2,0.1
41,0,1000,1,2,0.1
41,10,1000,1,2,0.1
41,20,1000,1,2,0.1
41,30,1989,1,2,0.1
41,40,1984,1,2,0.1
41,50,3850,1,2,0.1
41,60,3943,1,2,0.1
41,70,5124,1,2,0.1
41,80,7795,1,2,0.1
41,90,7967,1,2,0.1
41,100,15351,1,2,0.1
41,110,15370,1,2,0.1
41,120,26473,1,2,0.1
41,130,30376,1,2,0.1
41,140,37425,1,2,0.1
41,150,60004,1,2,0.1
41,160,61849,1,2,0.1
41,170,113650,1,2,0.1
41,180,118331,1,2,0.1
42,0,1000,1,2,0.1
42,10,1000,1,2,0.1
42,20,999,1,2,0.1
42,30,1991,1,2,0.1
42,40,1986,1,2,0.1
42,50,3834,1,2,0.1
42,60,3948,1,2,0.1
42,70,5077,1,2,0.1
42,80,7828,1,2,0.1
42,90,7965,1,2,0.1
42,100,15413,1,2,0.1
42,110,15453,1,2,0.1
42,120,26249,1,2,0.1
42,130,30568,1,2,0.1
42,140,37221,1,2,0.1
42,150,60341,1,2,0.1
42,160,61941,1,2,0.1
42,170,113751,1,2,0.1
42,180,119013,1,2,0.1
43,0,1000,1,2,0.1
43,10,1000,1,2,0.1
43,20,1001,1,2,0.1
43,30,1990,1,2,0.1
43,40,1987,1,2,0.1
43,50,3856,1,2,0.1
43,60,3957,1,2,0.1
43,70,5078,1,2,0.1
43,80,7834,1,2,0.1
43,90,7979,1,2,0.1
43,100,15398,1,2,0.1
43,110,15435,1,2,0.1
43,120,26106,1,2,0.1
43,130,30503,1,2,0.1
43,140,37217,1,2,0.1
43,150,60225,1,2,0.1
43,160,61966,1,2,0.1
43,170,113393,1,2,0.1
43,180,118883,1,2,0.1
61,0,1000,1,2,0.1
61,10,999,1,2,0.1
61,20,999,1,2,0.1
61,30,1993,1,2,0.1
61,40,1988,1,2,0.1
61,50,3843,1,2,0.1
61,60,3941,1,2,0.1
61,70,5186,1,2,0.1
61,80,7809,1,2,0.1
61,90,7976,1,2,0.1
61,100,15347,1,2,0.1
61,110,15375,1,2,0.1
61,120,26519,1,2,0.1
61,130,30376,1,2,0.1
61,140,37881,1,2,0.1
61,150,60019,1,2,0.1
61,160,61922,1,2,0.1
61,170,113845,1,2,0.1
61,180,118533,1,2,0.1
62,0,1000,1,2,0.1
62,10,1000,1,2,0.1
62,20,996,1,2,0.1
62,30,1988,1,2,0.1
62,40,1986,1,2,0.1
62,50,3860,1,2,0.1
62,60,3949,1,2,0.1
62,70,5092,1,2,0.1
62,80,7833,1,2,0.1
62,90,7987,1,2,0.1
62,100,15399,1,2,0.1
62,110,15434,1,2,0.1
62,120,26420,1,2,0.1
62,130,30471,1,2,0.1
62,140,37185,1,2,0.1
62,150,60156,1,2,0.1
62,160,61741,1,2,0.1
62,170,113757,1,2,0.1
62,180,118724,1,2,0.1
63,0,1000,1,2,0.1
63,10,1000,1,2,0.1
63,20,1001,1,2,0.1
63,30,1993,1,2,0.1
63,40,1989,1,2,0.1
63,50,3855,1,2,0.1
63,60,3949,1,2,0.1
63,70,5088,1,2,0.1
63,80,7816,1,2,0.1
63,90,7954,1,2,0.1
63,100,15394,1,2,0.1
63,110,15428,1,2,0.1
63,120,26323,1,2,0.1
63,130,30477,1,2,0.1
63,140,37404,1,2,0.1
63,150,60140,1,2,0.1
63,160,61720,1,2,0.1
63,170,113528,1,2,0.1
63,180,118551,1,2,0.1
81,0,1000,1,2,0.1
81,10,999,1,2,0.1
81,20,1000,1,2,0.1
81,30,1995,1,2,0.1
81,40,1989,1,2,0.1
81,50,3857,1,2,0.1
81,60,3935,1,2,0.1
81,70,5140,1,2,0.1
81,80,7807,1,2,0.1
81,90,7969,1,2,0.1
81,100,15372,1,2,0.1
81,110,15407,1,2,0.1
81,120,26439,1,2,0.1
81,130,30418,1,2,0.1
81,140,37526,1,2,0.1
81,150,60042,1,2,0.1
81,160,61821,1,2,0.1
81,170,113617,1,2,0.1
81,180,118581,1,2,0.1
82,0,1000,1,2,0.1
82,10,999,1,2,0.1
82,20,1000,1,2,0.1
82,30,1993,1,2,0.1
82,40,1983,1,2,0.1
82,50,3829,1,2,0.1
82,60,3930,1,2,0.1
82,70,5120,1,2,0.1
82,80,7784,1,2,0.1
82,90,7917,1,2,0.1
82,100,15291,1,2,0.1
82,110,15337,1,2,0.1
82,120,26209,1,2,0.1
82,130,30302,1,2,0.1
82,140,37063,1,2,0.1
82,150,59776,1,2,0.1
82,160,61400,1,2,0.1
82,170,112855,1,2,0.1
82,180,117991,1,2,0.1
83,0,1000,1,2,0.1
83,10,1000,1,2,0.1
83,20,1001,1,2,0.1
83,30,1997,1,2,0.1
83,40,1994,1,2,0.1
83,50,3861,1,2,0.1
83,60,3956,1,2,0.1
