"sim.label","seed","param.index"
1,1866311911,1
2,1722163183,1
3,812644991,1
21,1875908428,1
22,484983117,1
23,1709038467,1
41,812435779,1
42,1151749759,1
43,1140990548,1
61,1290367522,1
62,2101219403,1
63,1143546530,1
81,152285965,1
82,1796396848,1
83,839202138,1
1,1842726781,2
2,389624059,2
3,1719999673,2
21,330927430,2
22,1369239457,2
23,1915275630,2
41,172792987,2
42,1122719580,2
43,2058237871,2
61,1572516622,2
62,2024006230,2
63,806201744,2
81,1823414419,2
82,1714145020,2
83,1050792541,2
1,1145240592,3
2,2013232353,3
3,133542610,3
21,1558299496,3
22,1801076568,3
23,865450970,3
41,1349401571,3
42,1686387589,3
43,331002662,3
61,103453611,3
62,1610183266,3
63,2134676719,3
81,366413494,3
82,727049386,3
83,382393970,3
1,1636185971,4
2,284966256,4
3,1968790659,4
21,1403727920,4
22,1247558032,4
23,1279498461,4
41,1415300420,4
42,1963263694,4
43,2109441275,4
61,81523756,4
62,1153083625,4
63,2046574450,4
81,1155337861,4
82,1129070524,4
83,1169637272,4
1,1783698286,5
2,1018228555,5
3,744823604,5
21,1101572728,5
22,2038593583,5
23,2133988121,5
41,1021302365,5
42,1462251453,5
43,226487299,5
61,1694023276,5
62,768002559,5
63,1680520095,5
81,1532747444,5
82,687023954,5
83,594085957,5
1,820932273,6
2,1546726009,6
3,1490528914,6
21,203809180,6
22,1916086608,6
23,2029716177,6
41,387439631,6
42,185238904,6
43,2076183959,6
61,1815143550,6
62,907382186,6
63,417849101,6
81,1976118448,6
82,866674805,6
83,1103079786,6
1,983435117,7
2,2018688259,7
3,820574407,7
21,1475295521,7
22,529290468,7
23,1979993676,7
41,1013349811,7
42,736587181,7
43,1973918958,7
61,1979772274,7
62,34615417,7
63,809313280,7
81,1240736615,7
82,860672726,7
83,2000755015,7
1,579006938,8
2,1008538274,8
3,1157799159,8
21,119079710,8
22,111810172,8
23,1344977630,8
41,1219451155,8
42,865169171,8
43,80685895,8
61,521555094,8
62,695716051,8
63,741194552,8
81,406973064,8
82,1684548364,8
83,1908246011,8
1,1506127979,9
2,1516221008,9
3,1238410873,9
21,1194093753,9
22,519141779,9
23,631201363,9
41,1716868799,9
42,184528137,9
43,934970996,9
61,513197807,9
62,522326368,9
63,572874484,9
81,791369104,9
82,1673537911,9
83,1240778288,9
1,1071817258,10
2,1537343975,10
3,1491246893,10
21,351603064,10
22,1111250200,10
23,1037755404,10
41,1361365899,10
42,374845195,10
43,119414467,10
61,2131257576,10
62,564436958,10
63,283125669,10
81,1197693138,10
82,2039045045,10
83,944364207,10
1,9923647,11
2,395033382,11
3,1844533617,11
21,1156825750,11
22,1762381941,11
23,134007522,11
41,971505945,11
42,1731177588,11
43,1443343268,11
61,1157835146,11
62,618527520,11
63,407332845,11
81,1772220650,11
82,1010732241,11
83,615478383,11
1,1311970934,12
2,1501565447,12
3,1373249627,12
21,1273587592,12
22,464228550,12
23,1582229670,12
41,6237045,12
42,1761672191,12
43,997625081,12
61,1097238275,12
62,1803919974,12
63,1491891062,12
81,50081926,12
82,1374255453,12
83,1581810943,12
1,654673116,13
2,434571199,13
3,398277858,13
4,290468176,13
21,1287603781,13
22,356676392,13
23,559690506,13
24,960287675,13
41,1401900801,13
42,443670691,13
43,1100260544,13
44,799007116,13
61,1304544978,13
62,288157492,13
63,1860470108,13
64,411693454,13
81,1117112095,13
82,714756866,13
83,2034195362,13
84,1098304505,13
1,1191986401,14
2,1253638225,14
3,650148309,14
4,739034927,14
21,1012600564,14
22,1482425896,14
23,1864015203,14
24,1605634945,14
41,1269961300,14
42,1473865600,14
43,1055570254,14
61,205922514,14
62,449097328,14
63,259096369,14
81,1473971483,14
82,1941057315,14
83,687144313,14
84,1621970959,14
1,342260061,15
2,724977018,15
3,1951938699,15
21,1422489194,15
22,189809539,15
23,85975059,15
41,389307317,15
42,868061018,15
43,1548648615,15
61,325325588,15
62,1381766528,15
63,579535456,15
81,1602613731,15
82,1220053361,15
83,1156341502,15
1,976344071,16
2,416584034,16
3,394256355,16
21,538915981,16
22,49476076,16
23,210454304,16
41,1583542200,16
42,2078068075,16
43,2012884190,16
61,1812028224,16
62,1237002386,16
63,1979120445,16
81,281205130,16
82,1134844940,16
83,1285349456,16
1,746814762,17
2,133148175,17
3,1566635135,17
4,241200360,17
5,1034505164,17
21,1648708073,17
22,1888393365,17
23,571315768,17
24,1424271536,17
41,1267734100,17
42,1876493208,17
43,1516650117,17
44,789793605,17
61,110310462,17
62,5988178,17
63,2003952977,17
64,683865269,17
81,126734866,17
82,1531250046,17
83,447188509,17
84,376265671,17
1,1845296541,18
2,574285156,18
3,515327155,18
4,1176980574,18
21,1192857988,18
22,1781586817,18
23,990469117,18
24,252853619,18
41,261578919,18
42,75057427,18
43,1002787534,18
44,867472731,18
61,1282745135,18
62,923153199,18
63,157050914,18
64,1259394264,18
81,2119339614,18
82,1016263732,18
83,1638958225,18
84,862994568,18
1,1821989708,19
2,1693731402,19
3,1860261349,19
21,417802586,19
22,1275832956,19
23,1098844371,19
41,1777940398,19
42,1327355337,19
43,244284959,19
61,253300798,19
62,58257641,19
63,1582115751,19
64,1840686180,19
81,1009306210,19
82,1434428633,19
83,1344872238,19
84,874604498,19
1,1691286963,20
2,1592315428,20
3,1928225815,20
21,61907660,20
22,545801245,20
23,689594890,20
41,785236579,20
42,1094107715,20
43,849503508,20
61,1445842073,20
62,1026212376,20
63,574568417,20
81,442661586,20
82,990852087,20
83,1204042006,20
1,1644088173,21
2,1911073575,21
3,954060632,21
4,1945839801,21
5,289748607,21
21,597111919,21
22,2011773583,21
23,2096240027,21
24,581342550,21
25,1774262870,21
41,85805054,21
42,2037152190,21
43,40918251,21
44,332619291,21
45,215817793,21
61,561498871,21
62,669171374,21
63,1126515022,21
64,2087120774,21
65,74634779,21
81,1867965909,21
82,1327078872,21
83,231851865,21
84,1897590391,21
85,2052756435,21
86,1850017462,21
1,201706921,22
2,1319619951,22
3,494664634,22
4,590648405,22
5,2118073138,22
21,567034682,22
22,1075724432,22
23,10646614,22
24,1315825487,22
25,1879226606,22
26,113257982,22
41,1824334973,22
42,2014995593,22
43,1710525416,22
44,1394023737,22
61,1486521956,22
62,1010274835,22
63,129241960,22
64,751467839,22
65,2083408413,22
81,971924817,22
82,1737394772,22
83,550285230,22
84,885213573,22
85,675408158,22
1,455958122,23
2,2075039380,23
3,1641112465,23
4,5070015,23
21,985253053,23
22,1829022990,23
23,1933525018,23
24,2098960506,23
41,394430122,23
42,1717174529,23
43,166825473,23
44,1445132636,23
61,139825768,23
62,2040802118,23
63,1442275144,23
64,1528794651,23
81,1598089322,23
82,911809585,23
83,1760536534,23
84,1780562220,23
1,874053333,24
2,1399355861,24
3,1433816648,24
4,138553965,24
21,489057163,24
22,7359875,24
23,652377022,24
24,838739444,24
41,907886566,24
42,517492489,24
43,463243714,24
61,2130248268,24
62,1227014119,24
63,1534760043,24
81,651479136,24
82,150280394,24
83,691537555,24
1,1386051157,25
2,276361905,25
3,98244292,25
4,1587564788,25
5,373398806,25
6,212216784,25
7,168609575,25
8,1802821573,25
21,1158153320,25
22,2032204799,25
23,131462248,25
24,1838257616,25
25,1290589749,25
26,1238726043,25
27,121003394,25
28,1824633472,25
41,690237812,25
42,59076806,25
43,1129423545,25
44,735694034,25
45,1883436558,25
46,348272143,25
47,420490232,25
48,1329588783,25
61,1386051157,25
62,276361905,25
63,98244292,25
64,1587564788,25
65,373398806,25
66,212216784,25
67,168609575,25
68,1802821573,25
81,1464152803,25
82,1542358804,25
83,1854052565,25
84,594571712,25
85,66689336,25
86,832081472,25
87,1114021757,25
88,1189487329,25
1,1095013483,26
2,1389485459,26
3,1304312834,26
4,1747370797,26
5,1504981875,26
6,593124073,26
7,1993145103,26
21,1734978536,26
