"sim.label","sample.time","num.cells","param.index","mutant.effect","drug.outsideConcentration.MULT"
1,0,1000,1,2,0.1
1,10,1000,1,2,0.1
1,20,1003,1,2,0.1
1,30,1994,1,2,0.1
1,40,1989,1,2,0.1
1,50,3857,1,2,0.1
1,60,3951,1,2,0.1
1,70,5093,1,2,0.1
1,80,7813,1,2,0.1
1,90,7975,1,2,0.1
1,100,15346,1,2,0.1
1,110,15384,1,2,0.1
1,120,26219,1,2,0.1
1,130,30409,1,2,0.1
1,140,37228,1,2,0.1
1,150,60009,1,2,0.1
1,160,61751,1,2,0.1
1,170,113279,1,2,0.1
1,180,118474,1,2,0.1
2,0,1000,1,2,0.1
2,10,1000,1,2,0.1
2,20,1002,1,2,0.1
2,30,1995,1,2,0.1
2,40,1992,1,2,0.1
2,50,3850,1,2,0.1
2,60,3959,1,2,0.1
2,70,5128,1,2,0.1
2,80,7838,1,2,0.1
2,90,7971,1,2,0.1
2,100,15437,1,2,0.1
2,110,15469,1,2,0.1
2,120,26503,1,2,0.1
2,130,30621,1,2,0.1
2,140,37430,1,2,0.1
2,150,60470,1,2,0.1
2,160,62135,1,2,0.1
2,170,114105,1,2,0.1
2,180,119262,1,2,0.1
3,0,1000,1,2,0.1
3,10,1000,1,2,0.1
3,20,999,1,2,0.1
3,30,1990,1,2,0.1
3,40,1983,1,2,0.1
3,50,3847,1,2,0.1
3,60,3944,1,2,0.1
3,70,5163,1,2,0.1
3,80,7818,1,2,0.1
3,90,7957,1,2,0.1
3,100,15379,1,2,0.1
3,110,15425,1,2,0.1
3,120,26444,1,2,0.1
3,130,30467,1,2,0.1
3,140,37550,1,2,0.1
3,150,60153,1,2,0.1
3,160,61789,1,2,0.1
3,170,113886,1,2,0.1
3,180,118689,1,2,0.1
4,0,1000,1,2,0.1
4,10,1000,1,2,0.1
4,20,1000,1,2,0.1
4,30,1996,1,2,0.1
4,40,1993,1,2,0.1
4,50,3861,1,2,0.1
4,60,3958,1,2,0.1
4,70,5149,1,2,0.1
4,80,7834,1,2,0.1
4,90,7977,1,2,0.1
4,100,15421,1,2,0.1
4,110,15458,1,2,0.1
4,120,26636,1,2,0.1
4,130,30564,1,2,0.1
4,140,37768,1,2,0.1
4,150,60342,1,2,0.1
4,160,62102,1,2,0.1
4,170,114243,1,2,0.1
4,180,119090,1,2,0.1
21,0,1000,1,2,0.1
21,10,1000,1,2,0.1
21,20,1001,1,2,0.1
21,30,1998,1,2,0.1
21,40,1994,1,2,0.1
21,50,3869,1,2,0.1
21,60,3960,1,2,0.1
21,70,5196,1,2,0.1
21,80,7834,1,2,0.1
21,90,7959,1,2,0.1
21,100,15383,1,2,0.1
21,110,15391,1,2,0.1
21,120,26499,1,2,0.1
21,130,30398,1,2,0.1
21,140,37399,1,2,0.1
21,150,60040,1,2,0.1
21,160,61661,1,2,0.1
21,170,113632,1,2,0.1
21,180,118395,1,2,0.1
22,0,1000,1,2,0.1
22,10,1000,1,2,0.1
22,20,1001,1,2,0.1
22,30,1996,1,2,0.1
22,40,1991,1,2,0.1
22,50,3864,1,2,0.1
22,60,3955,1,2,0.1
22,70,5120,1,2,0.1
22,80,7837,1,2,0.1
22,90,7962,1,2,0.1
22,100,15443,1,2,0.1
22,110,15448,1,2,0.1
22,120,26558,1,2,0.1
22,130,30582,1,2,0.1
22,140,37560,1,2,0.1
22,150,60393,1,2,0.1
22,160,61989,1,2,0.1
22,170,114408,1,2,0.1
22,180,119024,1,2,0.1
23,0,1000,1,2,0.1
23,10,1000,1,2,0.1
23,20,1001,1,2,0.1
23,30,1996,1,2,0.1
23,40,1987,1,2,0.1
23,50,3838,1,2,0.1
23,60,3950,1,2,0.1
23,70,5070,1,2,0.1
23,80,7814,1,2,0.1
23,90,7905,1,2,0.1
23,100,15389,1,2,0.1
23,110,15415,1,2,0.1
23,120,26291,1,2,0.1
23,130,30467,1,2,0.1
23,140,37017,1,2,0.1
23,150,60113,1,2,0.1
23,160,61691,1,2,0.1
23,170,113686,1,2,0.1
23,180,118718,1,2,0.1
24,0,1000,1,2,0.1
24,10,1000,1,2,0.1
24,20,1001,1,2,0.1
24,30,1994,1,2,0.1
24,40,1991,1,2,0.1
24,50,3845,1,2,0.1
24,60,3953,1,2,0.1
24,70,5148,1,2,0.1
24,80,7831,1,2,0.1
24,90,7983,1,2,0.1
24,100,15390,1,2,0.1
24,110,15414,1,2,0.1
24,120,26448,1,2,0.1
24,130,30459,1,2,0.1
24,140,37319,1,2,0.1
24,150,60181,1,2,0.1
24,160,61940,1,2,0.1
24,170,113857,1,2,0.1
24,180,118807,1,2,0.1
41,0,1000,1,2,0.1
41,10,999,1,2,0.1
41,20,998,1,2,0.1
41,30,1993,1,2,0.1
41,40,1990,1,2,0.1
41,50,3842,1,2,0.1
41,60,3948,1,2,0.1
41,70,5064,1,2,0.1
41,80,7813,1,2,0.1
41,90,7938,1,2,0.1
41,100,15363,1,2,0.1
41,110,15396,1,2,0.1
41,120,26227,1,2,0.1
41,130,30409,1,2,0.1
41,140,37034,1,2,0.1
41,150,59978,1,2,0.1
41,160,61615,1,2,0.1
41,170,113207,1,2,0.1
41,180,118399,1,2,0.1
42,0,1000,1,2,0.1
42,10,1000,1,2,0.1
42,20,1000,1,2,0.1
42,30,1993,1,2,0.1
42,40,1990,1,2,0.1
42,50,3844,1,2,0.1
42,60,3944,1,2,0.1
42,70,5110,1,2,0.1
42,80,7828,1,2,0.1
42,90,7931,1,2,0.1
42,100,15368,1,2,0.1
42,110,15411,1,2,0.1
42,120,26357,1,2,0.1
42,130,30435,1,2,0.1
42,140,37146,1,2,0.1
42,150,60086,1,2,0.1
42,160,61678,1,2,0.1
42,170,113504,1,2,0.1
42,180,118488,1,2,0.1
43,0,1000,1,2,0.1
43,10,999,1,2,0.1
43,20,1001,1,2,0.1
43,30,1995,1,2,0.1
43,40,1994,1,2,0.1
43,50,3818,1,2,0.1
43,60,3945,1,2,0.1
43,70,5055,1,2,0.1
43,80,7819,1,2,0.1
43,90,7975,1,2,0.1
43,100,15382,1,2,0.1
43,110,15431,1,2,0.1
43,120,26277,1,2,0.1
43,130,30509,1,2,0.1
43,140,37159,1,2,0.1
43,150,60165,1,2,0.1
43,160,61821,1,2,0.1
43,170,113562,1,2,0.1
43,180,118738,1,2,0.1
61,0,1000,1,2,0.1
61,10,1000,1,2,0.1
61,20,1000,1,2,0.1
61,30,1998,1,2,0.1
61,40,1997,1,2,0.1
61,50,3863,1,2,0.1
61,60,3969,1,2,0.1
61,70,5101,1,2,0.1
61,80,7853,1,2,0.1
61,90,7942,1,2,0.1
61,100,15399,1,2,0.1
61,110,15425,1,2,0.1
61,120,26312,1,2,0.1
61,130,30500,1,2,0.1
61,140,37215,1,2,0.1
61,150,60209,1,2,0.1
61,160,61783,1,2,0.1
61,170,113642,1,2,0.1
61,180,118822,1,2,0.1
62,0,1000,1,2,0.1
62,10,1000,1,2,0.1
62,20,999,1,2,0.1
62,30,1994,1,2,0.1
62,40,1989,1,2,0.1
62,50,3858,1,2,0.1
62,60,3942,1,2,0.1
62,70,5163,1,2,0.1
62,80,7823,1,2,0.1
62,90,7976,1,2,0.1
62,100,15378,1,2,0.1
62,110,15436,1,2,0.1
62,120,26566,1,2,0.1
62,130,30495,1,2,0.1
62,140,37827,1,2,0.1
62,150,60216,1,2,0.1
62,160,62207,1,2,0.1
62,170,114011,1,2,0.1
62,180,118913,1,2,0.1
63,0,1000,1,2,0.1
63,10,1000,1,2,0.1
63,20,1001,1,2,0.1
63,30,1997,1,2,0.1
63,40,1992,1,2,0.1
63,50,3862,1,2,0.1
63,60,3956,1,2,0.1
63,70,5089,1,2,0.1
63,80,7849,1,2,0.1
63,90,7960,1,2,0.1
63,100,15418,1,2,0.1
63,110,15458,1,2,0.1
63,120,26512,1,2,0.1
63,130,30554,1,2,0.1
63,140,37453,1,2,0.1
63,150,60297,1,2,0.1
63,160,61935,1,2,0.1
63,170,113983,1,2,0.1
63,180,119023,1,2,0.1
81,0,1000,1,2,0.1
81,10,999,1,2,0.1
81,20,999,1,2,0.1
81,30,1997,1,2,0.1
81,40,1988,1,2,0.1
81,50,3840,1,2,0.1
81,60,3931,1,2,0.1
