"sim.label","seed","param.index"
1,94091111,1
2,684440620,1
3,2141164491,1
4,56376039,1
21,1767376614,1
22,152420908,1
23,1832573778,1
24,1868518230,1
41,1468702240,1
42,19465941,1
43,1289953341,1
61,1209465071,1
62,2125737562,1
63,1579739735,1
81,1116971862,1
82,618429080,1
83,825271545,1
1,1686512209,2
2,202050926,2
3,1544231858,2
21,2118198368,2
22,1272631066,2
23,926785280,2
41,1941180933,2
42,301374761,2
43,77703825,2
61,1234134513,2
62,471648456,2
63,2028249708,2
81,16506348,2
82,549433121,2
83,1281919503,2
1,720911557,3
2,573829484,3
3,409423797,3
21,618512766,3
22,1784382209,3
23,1055572168,3
41,1565400489,3
42,2115173091,3
43,1723952797,3
61,811428102,3
62,1676637108,3
63,2043899297,3
81,1210995457,3
82,1065544982,3
83,166007390,3
1,2046783189,4
2,1667583372,4
3,396899949,4
21,683879234,4
22,643291881,4
23,1365311447,4
41,600409185,4
42,1038134711,4
43,518843118,4
61,940696495,4
62,737046221,4
63,1078172941,4
81,564592755,4
82,1227778188,4
83,1045166496,4
1,169383333,5
2,1712422267,5
3,825307689,5
21,1485971318,5
22,783931169,5
23,1378323484,5
41,839935703,5
42,669170808,5
43,2038214602,5
61,6912426,5
62,1025315948,5
63,1926223811,5
81,107226745,5
82,31083562,5
83,1487090632,5
1,993118380,6
2,1650805573,6
3,2011061655,6
21,726945949,6
22,1481362228,6
23,1321674869,6
41,1858917675,6
42,1274852073,6
43,1122407213,6
61,239901547,6
62,1207653064,6
63,1313570470,6
81,1628734557,6
82,997573708,6
83,37973380,6
1,510324259,7
2,2071841705,7
3,572860286,7
21,648328769,7
22,1276109829,7
23,1881554093,7
41,1819758615,7
42,1101738941,7
43,737974338,7
61,2097584963,7
62,2011581606,7
63,525377041,7
81,1204756529,7
82,598371446,7
83,1941546475,7
1,1656291300,8
2,2100149212,8
3,382664143,8
21,1573110482,8
22,19852085,8
23,2129035612,8
41,124101652,8
42,1916396441,8
43,784952143,8
61,821028124,8
62,1582051501,8
63,1650470868,8
81,823385861,8
82,776820942,8
83,1272148632,8
1,219531685,9
2,599391761,9
3,1692850741,9
4,998011087,9
21,195204114,9
22,971642654,9
23,2028502295,9
24,604263013,9
41,229039379,9
42,485553883,9
43,733199170,9
44,1122577758,9
61,1681054470,9
62,688115352,9
63,56330092,9
64,1633320130,9
81,1490280022,9
82,605617081,9
83,1183227012,9
84,413225412,9
1,1325748075,10
2,51022838,10
3,1127797459,10
21,1790662708,10
22,560456223,10
23,2014280078,10
41,1574062796,10
42,1339888257,10
43,1977323138,10
44,1852766418,10
61,1921391129,10
62,760810273,10
63,541591783,10
81,2051215304,10
82,872564310,10
83,1588584703,10
1,239484706,11
2,973450992,11
3,1957428534,11
21,1238624932,11
22,1736053456,11
23,1614909100,11
41,1378174737,11
42,910678151,11
43,811634317,11
61,2065888354,11
62,102717617,11
63,322811090,11
81,65441723,11
82,986885292,11
83,429724130,11
1,858488432,12
2,1604893517,12
3,1547939837,12
21,1427003137,12
22,1344270104,12
23,169918989,12
41,1652263476,12
42,633972805,12
43,267533282,12
61,1998920251,12
62,988883219,12
63,1280264102,12
81,1558202346,12
82,1656438188,12
83,2045886478,12
1,1105738695,13
2,265311843,13
3,374220030,13
4,2137942881,13
21,619417841,13
22,191684305,13
23,1883456410,13
24,661637429,13
41,1872533463,13
42,2042562755,13
43,1385160531,13
44,1533217346,13
45,1786017369,13
61,530570648,13
62,1773159168,13
63,1301318868,13
64,2137920769,13
65,1126277196,13
81,1167763518,13
82,1928285951,13
83,926917543,13
84,1205865978,13
85,1808791599,13
1,897541984,14
2,1915381396,14
3,1979469139,14
4,938484686,14
21,1696227726,14
22,74350781,14
23,703885114,14
24,968082837,14
41,1838730830,14
42,666869161,14
43,424769073,14
44,1044592265,14
61,291661522,14
62,1804133813,14
63,1530025201,14
64,1471555065,14
81,1392866275,14
82,772833147,14
83,1008894318,14
84,1589752220,14
1,1495448802,15
2,1612120370,15
3,1337615347,15
21,1406535557,15
22,1232419443,15
23,839324765,15
41,1075913144,15
42,1858597599,15
43,334655456,15
61,1633397030,15
62,1042693543,15
63,924469018,15
81,2039050128,15
82,625342718,15
83,336329656,15
1,1634221096,16
2,595929550,16
3,1111600805,16
21,1126367426,16
22,1884361411,16
23,33481155,16
41,328091441,16
42,694400856,16
43,2071926218,16
61,568774739,16
62,627287536,16
63,980024327,16
81,712587949,16
82,1359620781,16
83,1867542945,16
1,528960331,17
2,394305239,17
3,2100530513,17
4,1457626508,17
5,1886359957,17
21,1134945587,17
22,55266006,17
23,1702200720,17
24,449148917,17
25,456160690,17
41,844210591,17
42,7498188,17
43,1874572115,17
44,675647365,17
45,523948129,17
61,885473443,17
62,426584198,17
63,1954128625,17
64,1801027857,17
65,1616729017,17
