"sim.label","seed","param.index"
1,343881202,1
2,706912771,1
3,494851545,1
21,2068270204,1
22,908393155,1
23,1856261359,1
41,305234226,1
42,85364094,1
43,1419922014,1
61,4999475,1
62,1497944539,1
63,427394076,1
81,660584128,1
82,528761200,1
83,1585667245,1
1,1803087454,2
2,931990666,2
3,1096638130,2
21,634657797,2
22,1482139468,2
41,2079625133,2
42,1817321005,2
61,916197312,2
62,1226429080,2
81,553549079,2
82,1565603258,2
1,1568184438,3
2,1410754004,3
3,979666773,3
21,369195080,3
22,907488629,3
23,1979134672,3
41,199656940,3
42,626464086,3
43,994002161,3
61,1292335820,3
62,718055769,3
63,991188516,3
81,2051407969,3
82,969303209,3
83,293600522,3
1,1107065407,4
2,421725282,4
3,509645246,4
21,1177158607,4
22,1278167878,4
41,576946934,4
42,1989000454,4
61,1654683845,4
62,1040653604,4
81,603967531,4
82,463301723,4
1,1033744802,5
2,708908638,5
21,1400734586,5
22,1978734929,5
41,1803038411,5
42,1586103263,5
61,267606938,5
62,1921051213,5
81,1122716383,5
82,973998702,5
1,237826902,6
2,40743983,6
21,716022742,6
22,1447404356,6
41,1306440962,6
42,2087050948,6
61,447637111,6
62,1516958255,6
81,1260284490,6
82,415486837,6
1,1424824030,7
2,774521831,7
21,232277947,7
22,472389648,7
41,66734236,7
42,1301910923,7
61,1757216056,7
62,1217537118,7
81,1785033324,7
82,458410121,7
1,166817729,8
2,1033346672,8
21,1823411974,8
22,2004559163,8
41,857082273,8
42,366327961,8
61,1858779127,8
62,190579867,8
81,506006455,8
82,906741271,8
1,1510507080,9
2,1505289224,9
3,977043522,9
21,885280675,9
22,1972934808,9
23,958516589,9
41,510383721,9
42,1433939584,9
43,835303223,9
61,2146759111,9
62,2103286305,9
63,177880252,9
81,1400470132,9
82,2073456355,9
83,1752372593,9
1,1571982486,10
2,2037565802,10
3,1059920662,10
21,749642050,10
22,2038033560,10
23,60893253,10
41,334645455,10
42,1375563873,10
43,2096977722,10
61,1473579807,10
62,832149792,10
63,1071818454,10
81,2123247953,10
82,1384624255,10
83,800034735,10
1,344494168,11
2,1532182370,11
21,387376712,11
22,794024283,11
41,1440626957,11
42,1443309367,11
61,46752032,11
62,1607572234,11
81,776860217,11
82,557358920,11
1,1607553070,12
2,1927900652,12
21,1223379063,12
22,1800826960,12
41,683808611,12
42,107970342,12
61,1339926901,12
62,633058529,12
81,1149719059,12
82,1469312250,12
1,334769287,13
2,804803912,13
3,2111932965,13
21,879240768,13
22,1894434540,13
23,1813429240,13
41,1145750408,13
42,191989194,13
43,542539561,13
61,1323770219,13
62,756900473,13
63,251381084,13
81,1853973378,13
82,33952176,13
83,746227148,13
1,950596528,14
2,245915580,14
3,1578740155,14
21,350811872,14
22,1843306017,14
23,956155970,14
41,631150686,14
42,760491299,14
43,708772755,14
61,1360248422,14
62,99688018,14
63,1079916738,14
81,205826563,14
82,981677023,14
83,1362095342,14
1,806087401,15
2,1590065911,15
3,1857985154,15
21,1194473638,15
22,228441249,15
23,572438315,15
41,1332708230,15
42,640399633,15
43,243612664,15
61,1065814836,15
62,1230706965,15
63,622528952,15
81,1257614744,15
82,1531976743,15
83,1265803890,15
1,1736267205,16
2,1456299301,16
3,534862917,16
21,646047314,16
22,1655171447,16
23,673131331,16
41,1172279189,16
42,1292956970,16
43,1547101336,16
61,532474317,16
62,1011790910,16
63,770688943,16
81,496221695,16
82,2108915834,16
83,43659164,16
1,1619900833,17
2,201722768,17
3,1056369353,17
4,2042257544,17
21,733113423,17
22,272635326,17
23,323912839,17
24,180476406,17
41,33082436,17
42,1451838164,17
43,1121502379,17
44,40182583,17
61,405072643,17
62,1811467352,17
63,1846736137,17
64,603039970,17
81,1172179013,17
82,1286548533,17
