"sim.label","sample.time","num.cells","param.index","mutant.effect","drug.outsideConcentration.MULT"
1,0,1000,1,2,0.1
1,10,1000,1,2,0.1
1,20,998,1,2,0.1
1,30,1995,1,2,0.1
1,40,1989,1,2,0.1
1,50,3873,1,2,0.1
1,60,3951,1,2,0.1
1,70,5112,1,2,0.1
1,80,7821,1,2,0.1
1,90,7952,1,2,0.1
1,100,15389,1,2,0.1
1,110,15406,1,2,0.1
1,120,26574,1,2,0.1
1,130,30437,1,2,0.1
1,140,37348,1,2,0.1
1,150,60078,1,2,0.1
1,160,61681,1,2,0.1
1,170,113828,1,2,0.1
1,180,118307,1,2,0.1
2,0,1000,1,2,0.1
2,10,1000,1,2,0.1
2,20,1000,1,2,0.1
2,30,1994,1,2,0.1
2,40,1988,1,2,0.1
2,50,3836,1,2,0.1
2,60,3950,1,2,0.1
2,70,5078,1,2,0.1
2,80,7827,1,2,0.1
2,90,7963,1,2,0.1
2,100,15410,1,2,0.1
2,110,15400,1,2,0.1
2,120,26269,1,2,0.1
2,130,30408,1,2,0.1
2,140,37185,1,2,0.1
2,150,59966,1,2,0.1
2,160,61487,1,2,0.1
2,170,113273,1,2,0.1
2,180,118247,1,2,0.1
21,0,1000,1,2,0.1
21,10,999,1,2,0.1
21,20,998,1,2,0.1
21,30,1990,1,2,0.1
21,40,1988,1,2,0.1
21,50,3849,1,2,0.1
21,60,3942,1,2,0.1
21,70,5180,1,2,0.1
21,80,7801,1,2,0.1
21,90,7968,1,2,0.1
21,100,15345,1,2,0.1
21,110,15353,1,2,0.1
21,120,26390,1,2,0.1
21,130,30313,1,2,0.1
21,140,37431,1,2,0.1
21,150,59854,1,2,0.1
21,160,61747,1,2,0.1
21,170,113369,1,2,0.1
21,180,118070,1,2,0.1
22,0,1000,1,2,0.1
22,10,999,1,2,0.1
22,20,1002,1,2,0.1
22,30,1991,1,2,0.1
22,40,1986,1,2,0.1
22,50,3838,1,2,0.1
22,60,3947,1,2,0.1
22,70,5080,1,2,0.1
22,80,7802,1,2,0.1
22,90,7929,1,2,0.1
22,100,15326,1,2,0.1
22,110,15351,1,2,0.1
22,120,26241,1,2,0.1
22,130,30296,1,2,0.1
22,140,37066,1,2,0.1
22,150,59721,1,2,0.1
22,160,61371,1,2,0.1
22,170,112942,1,2,0.1
22,180,117868,1,2,0.1
41,0,1000,1,2,0.1
41,10,999,1,2,0.1
41,20,998,1,2,0.1
41,30,1991,1,2,0.1
41,40,1988,1,2,0.1
41,50,3867,1,2,0.1
41,60,3954,1,2,0.1
41,70,5119,1,2,0.1
41,80,7825,1,2,0.1
41,90,7966,1,2,0.1
41,100,15396,1,2,0.1
41,110,15433,1,2,0.1
41,120,26432,1,2,0.1
41,130,30501,1,2,0.1
41,140,37274,1,2,0.1
41,150,60142,1,2,0.1
41,160,61799,1,2,0.1
41,170,113798,1,2,0.1
41,180,118454,1,2,0.1
42,0,1000,1,2,0.1
42,10,1000,1,2,0.1
42,20,1000,1,2,0.1
42,30,1994,1,2,0.1
42,40,1987,1,2,0.1
42,50,3822,1,2,0.1
42,60,3929,1,2,0.1
42,70,5066,1,2,0.1
42,80,7787,1,2,0.1
42,90,7944,1,2,0.1
42,100,15296,1,2,0.1
42,110,15340,1,2,0.1
42,120,26095,1,2,0.1
42,130,30314,1,2,0.1
42,140,37040,1,2,0.1
42,150,59818,1,2,0.1
42,160,61583,1,2,0.1
42,170,112715,1,2,0.1
42,180,118145,1,2,0.1
61,0,1000,1,2,0.1
61,10,1000,1,2,0.1
61,20,1002,1,2,0.1
61,30,1999,1,2,0.1
61,40,1993,1,2,0.1
61,50,3880,1,2,0.1
61,60,3965,1,2,0.1
61,70,5078,1,2,0.1
61,80,7845,1,2,0.1
61,90,7979,1,2,0.1
61,100,15447,1,2,0.1
61,110,15476,1,2,0.1
61,120,26519,1,2,0.1
61,130,30627,1,2,0.1
61,140,37385,1,2,0.1
61,150,60418,1,2,0.1
61,160,61906,1,2,0.1
61,170,114156,1,2,0.1
61,180,119086,1,2,0.1
62,0,1000,1,2,0.1
62,10,1000,1,2,0.1
62,20,1001,1,2,0.1
62,30,1999,1,2,0.1
62,40,1992,1,2,0.1
62,50,3857,1,2,0.1
62,60,3947,1,2,0.1
62,70,5118,1,2,0.1
62,80,7824,1,2,0.1
62,90,7947,1,2,0.1
62,100,15391,1,2,0.1
62,110,15406,1,2,0.1
62,120,26328,1,2,0.1
62,130,30469,1,2,0.1
62,140,37248,1,2,0.1
62,150,60098,1,2,0.1
62,160,61649,1,2,0.1
62,170,113695,1,2,0.1
62,180,118489,1,2,0.1
81,0,1000,1,2,0.1
81,10,999,1,2,0.1
81,20,999,1,2,0.1
81,30,1997,1,2,0.1
81,40,1992,1,2,0.1
81,50,3855,1,2,0.1
81,60,3958,1,2,0.1
81,70,5109,1,2,0.1
81,80,7846,1,2,0.1
81,90,7989,1,2,0.1
81,100,15422,1,2,0.1
81,110,15443,1,2,0.1
81,120,26366,1,2,0.1
81,130,30503,1,2,0.1
81,140,37134,1,2,0.1
81,150,60180,1,2,0.1
81,160,61846,1,2,0.1
81,170,113755,1,2,0.1
81,180,118645,1,2,0.1
82,0,1000,1,2,0.1
82,10,1000,1,2,0.1
82,20,999,1,2,0.1
82,30,1994,1,2,0.1
82,40,1991,1,2,0.1
82,50,3841,1,2,0.1
82,60,3951,1,2,0.1
82,70,5128,1,2,0.1
82,80,7827,1,2,0.1
82,90,7963,1,2,0.1
82,100,15386,1,2,0.1
82,110,15419,1,2,0.1
82,120,26269,1,2,0.1
82,130,30459,1,2,0.1
82,140,37316,1,2,0.1
82,150,60125,1,2,0.1
82,160,61788,1,2,0.1
82,170,113315,1,2,0.1
82,180,118570,1,2,0.1
1,0,1000,2,10,0.1
1,10,1000,2,10,0.1
1,20,1001,2,10,0.1
1,30,1999,2,10,0.1
1,40,1995,2,10,0.1
1,50,3892,2,10,0.1
1,60,3967,2,10,0.1
1,70,5162,2,10,0.1
1,80,7858,2,10,0.1
1,90,8004,2,10,0.1
1,100,15446,2,10,0.1
1,110,15474,2,10,0.1
1,120,26565,2,10,0.1
1,130,30579,2,10,0.1
1,140,37618,2,10,0.1
1,150,60361,2,10,0.1
1,160,62052,2,10,0.1
1,170,114282,2,10,0.1
1,180,119009,2,10,0.1
2,0,1000,2,10,0.1
2,10,1000,2,10,0.1
2,20,1000,2,10,0.1
2,30,1997,2,10,0.1
2,40,1991,2,10,0.1
2,50,3858,2,10,0.1
2,60,3945,2,10,0.1
2,70,5106,2,10,0.1
2,80,7817,2,10,0.1
2,90,7935,2,10,0.1
2,100,15360,2,10,0.1
2,110,15415,2,10,0.1
2,120,26318,2,10,0.1
2,130,30486,2,10,0.1
2,140,37163,2,10,0.1
2,150,60206,2,10,0.1
2,160,61751,2,10,0.1
2,170,113598,2,10,0.1
2,180,118694,2,10,0.1
21,0,1000,2,10,0.1
21,10,1000,2,10,0.1
21,20,1001,2,10,0.1
21,30,1995,2,10,0.1
21,40,1986,2,10,0.1
21,50,3839,2,10,0.1
21,60,3946,2,10,0.1
21,70,5128,2,10,0.1
21,80,7815,2,10,0.1
21,90,7998,2,10,0.1
21,100,15371,2,10,0.1
21,110,15406,2,10,0.1
21,120,26467,2,10,0.1
21,130,30420,2,10,0.1
21,140,37465,2,10,0.1
21,150,59978,2,10,0.1
21,160,61836,2,10,0.1
21,170,113441,2,10,0.1
21,180,118276,2,10,0.1
22,0,1000,2,10,0.1
22,10,999,2,10,0.1
22,20,1001,2,10,0.1
22,30,1994,2,10,0.1
22,40,1986,2,10,0.1
22,50,3835,2,10,0.1
22,60,3932,2,10,0.1
22,70,5155,2,10,0.1
22,80,7788,2,10,0.1
22,90,7922,2,10,0.1
22,100,15336,2,10,0.1
22,110,15366,2,10,0.1
22,120,26406,2,10,0.1
22,130,30362,2,10,0.1
22,140,37466,2,10,0.1
22,150,59920,2,10,0.1
22,160,61618,2,10,0.1
22,170,113507,2,10,0.1
22,180,118058,2,10,0.1
41,0,1000,2,10,0.1
41,10,1000,2,10,0.1
41,20,1000,2,10,0.1
41,30,1996,2,10,0.1
41,40,1986,2,10,0.1
41,50,3842,2,10,0.1
41,60,3943,2,10,0.1
