"sim.label","seed","param.index"
1,267697768,1
2,80053709,1
21,1975047147,1
22,440495902,1
41,15451104,1
42,1084430405,1
61,1083149171,1
62,1151407967,1
81,1655025172,1
82,24546376,1
1,766510724,2
2,1548663228,2
21,475298819,2
22,199661699,2
41,1082689383,2
42,617401471,2
61,1858951702,2
62,1975395138,2
81,1376585771,2
82,1599794233,2
1,1811084252,3
2,1755370287,3
21,384417959,3
22,1169521048,3
41,1677061352,3
42,537517184,3
61,1049591919,3
62,2146507769,3
81,437180671,3
82,122876929,3
1,1485475911,4
2,607099366,4
21,6422333,4
22,841751335,4
41,1615291844,4
42,1076231604,4
61,283800904,4
62,746993140,4
81,163164195,4
82,1644284421,4
1,1939400155,5
2,133539689,5
21,1579474172,5
22,1159380379,5
41,731082146,5
42,559349016,5
61,950238798,5
62,1365154490,5
81,2029002233,5
82,1543905938,5
1,556490455,6
2,59919295,6
21,317946657,6
22,472533841,6
41,2068424271,6
42,1919146435,6
61,607525624,6
62,879600249,6
81,1813425760,6
82,1796443767,6
1,397031303,7
2,267389688,7
21,24025086,7
22,1671136149,7
41,399477142,7
42,2073213271,7
61,896081344,7
62,1019795714,7
81,1164256612,7
82,88060916,7
1,468348343,8
2,1744938667,8
21,53789591,8
22,565639868,8
41,1744824157,8
42,1719799822,8
61,225635431,8
62,733577880,8
81,1684299395,8
82,802933217,8
1,867203950,9
2,2095921589,9
3,1012386913,9
21,1767574500,9
22,1716265485,9
23,1715097867,9
41,1242117328,9
42,2059564302,9
43,1460655270,9
61,728933759,9
62,510612278,9
63,394903223,9
81,212826610,9
82,149353072,9
83,587563452,9
1,371645204,10
2,12903207,10
3,1504251223,10
21,22363407,10
22,196629048,10
23,842828402,10
41,1796922660,10
42,1716492029,10
43,1152988091,10
61,380182560,10
62,664287680,10
63,1813634571,10
81,402316861,10
82,1943130298,10
83,485961097,10
1,547515523,11
2,1818699039,11
3,571730410,11
21,1342736624,11
22,2008592176,11
23,122141589,11
41,879463329,11
42,758262203,11
43,1517976579,11
61,111289755,11
62,1740109299,11
63,46026923,11
81,1174283893,11
82,1558696863,11
83,1336769382,11
1,182957572,12
2,9188565,12
3,1398996037,12
21,665335270,12
22,81036488,12
23,1651944851,12
41,472336644,12
42,903015635,12
43,1630507974,12
61,555007031,12
62,1777596450,12
63,2131506438,12
81,825877660,12
82,435814721,12
83,935529750,12
1,351209986,13
2,2125019100,13
3,63248364,13
21,1970687887,13
22,235375296,13
23,124561214,13
41,1910122484,13
42,1738457961,13
43,1068232864,13
61,1185421088,13
62,1013755965,13
63,1707677567,13
81,1324232361,13
82,129026194,13
83,2094975890,13
1,572604498,14
2,2044180515,14
3,1088197450,14
21,695694672,14
22,97875467,14
23,1085565576,14
41,1413748979,14
42,1117942214,14
43,217516969,14
61,1135782278,14
62,277367780,14
63,1351629705,14
81,946751450,14
82,1220779134,14
83,453272180,14
1,561197319,15
2,362643889,15
3,1381899882,15
21,869827780,15
22,890484059,15
23,148491827,15
41,2093727360,15
42,1062323274,15
43,78813610,15
61,458557183,15
62,1107089401,15
63,1774712988,15
81,1804941079,15
82,1125672728,15
83,842369992,15
1,462522334,16
2,324743841,16
3,1504669558,16
21,1693344777,16
22,549759791,16
23,1019059754,16
41,1512775392,16
42,1159138691,16
43,1273958486,16
61,796182719,16
62,1115938382,16
63,1843784300,16
81,35863419,16
82,1272061738,16
83,1432897567,16
1,371828720,17
2,113907973,17
3,471506012,17
4,729517873,17
21,2024425312,17
22,1957213388,17
23,1736464557,17
24,1151689975,17
41,1943821389,17
42,893308346,17
43,1740776813,17
44,378090124,17
61,100473613,17
62,1305610026,17
63,282621171,17
64,1086655431,17
81,727198060,17
82,723472178,17
83,1736806012,17
84,503357870,17
1,691556188,18
2,838733058,18
3,1813288864,18
4,85278867,18
21,221914349,18
22,438802984,18
23,316086241,18
24,1713991116,18
41,145223428,18
42,1370863851,18
43,1051910722,18
44,391336939,18
61,926688309,18
62,1584386733,18
63,688023710,18
64,232143132,18
81,2008696908,18
82,628957169,18
83,1421523067,18
84,1968748304,18
1,534478317,19
2,616625062,19
3,135829435,19
4,2087398804,19
21,2071228063,19
22,279600869,19
23,1685105193,19
24,1112065332,19
41,142843467,19
42,1524917887,19
43,915714824,19
44,1196927787,19
61,1306248140,19
62,1956933087,19
63,88485325,19
64,34039728,19
81,407391672,19
82,1163507792,19
83,1799561405,19
84,615176597,19
1,1068993576,20
2,863594424,20
3,1944791863,20
4,650402799,20
21,826152454,20
22,1674726418,20
23,116702704,20
24,997683204,20
41,2046980466,20
42,77820151,20
43,546744673,20
44,409239663,20
61,1131678343,20
62,107685965,20
63,609506024,20
64,306836572,20
81,2004216991,20
82,333025592,20
83,1859370369,20
84,315527190,20
1,1350910179,21
2,588267402,21
3,862168430,21
4,848202118,21
5,1219209698,21
21,198801524,21
22,1530424128,21
23,1987091433,21
24,1139894042,21
25,1824846393,21
41,1814397691,21
42,212701429,21
43,193388965,21
44,368070922,21
45,743151595,21
61,279486600,21
62,1279795388,21
63,609606464,21
64,1947024453,21
65,366562078,21
81,1371304989,21
82,362691386,21
83,199783487,21
84,1140990198,21
85,312590288,21
1,554759206,22
2,1352912838,22
3,388951519,22
4,784336566,22
5,2065360238,22
21,960219877,22
22,66592504,22
23,730352527,22
24,2041880019,22
25,1243754616,22
41,917285265,22
42,760806432,22
43,244666296,22
44,170195239,22
45,1242360579,22
61,704856091,22
62,255167707,22
63,1519987099,22
64,1923173798,22
65,959539116,22
81,1982765713,22
82,537381272,22
83,786146572,22
84,1181437972,22
85,1370535180,22
1,472893306,23
2,344480636,23
3,1182517083,23
4,161305489,23
5,1975240214,23
21,1644294138,23
22,516844550,23
23,1206482855,23
24,791893795,23
25,1791626866,23
41,82539825,23
42,503725096,23
43,1694423218,23
44,1945427939,23
45,357792133,23
61,818314100,23
62,1033892010,23
63,1713210802,23
64,1357641372,23
65,2113418806,23
81,1696505365,23
82,1769416419,23
83,1675634333,23
84,147547173,23
85,1941713911,23
1,1040272786,24
2,691986482,24
3,862170494,24
4,1013867470,24
5,784448744,24
21,527984876,24
22,494449216,24
23,1528858061,24
24,503017417,24
25,973034440,24
41,496355023,24
42,1617340191,24
43,1273368212,24
44,1643598531,24
45,536775696,24
61,1690386122,24
62,1657121671,24
63,462407231,24
64,1275585391,24
65,507808721,24
81,2111590661,24
82,313126132,24
83,1332709150,24
84,450906446,24
85,1136556439,24
1,1982249612,25
2,1066649577,25
3,1877435582,25
4,1346346446,25
5,379315294,25
6,614741730,25
7,38387144,25
21,354059988,25
22,1078097645,25
23,1875788580,25
24,1819919759,25
