"sim.label","sample.time","num.cells","param.index","mutant.effect","drug.outsideConcentration.MULT"
1,0,1000,1,1,0.1
1,10,1000,1,1,0.1
1,20,1016,1,1,0.1
1,30,1993,1,1,0.1
1,40,1990,1,1,0.1
1,50,3967,1,1,0.1
1,60,3953,1,1,0.1
1,70,7514,1,1,0.1
1,80,7849,1,1,0.1
1,90,11721,1,1,0.1
1,100,15563,1,1,0.1
1,110,17967,1,1,0.1
1,120,30719,1,1,0.1
1,130,31610,1,1,0.1
1,140,59827,1,1,0.1
1,150,60845,1,1,0.1
1,160,108501,1,1,0.1
1,170,119745,1,1,0.1
1,180,178762,1,1,0.1
21,0,1000,1,1,0.1
21,10,1000,1,1,0.1
21,20,1016,1,1,0.1
21,30,1994,1,1,0.1
21,40,1986,1,1,0.1
21,50,3962,1,1,0.1
21,60,3951,1,1,0.1
21,70,7456,1,1,0.1
21,80,7826,1,1,0.1
21,90,11613,1,1,0.1
21,100,15519,1,1,0.1
21,110,17854,1,1,0.1
21,120,30687,1,1,0.1
21,130,31607,1,1,0.1
21,140,59736,1,1,0.1
21,150,60817,1,1,0.1
21,160,108029,1,1,0.1
21,170,119766,1,1,0.1
21,180,177626,1,1,0.1
41,0,1000,1,1,0.1
41,10,999,1,1,0.1
41,20,1013,1,1,0.1
41,30,1993,1,1,0.1
41,40,1990,1,1,0.1
41,50,3966,1,1,0.1
41,60,3952,1,1,0.1
41,70,7504,1,1,0.1
41,80,7839,1,1,0.1
41,90,11802,1,1,0.1
41,100,15485,1,1,0.1
41,110,17906,1,1,0.1
41,120,30645,1,1,0.1
41,130,31604,1,1,0.1
41,140,59708,1,1,0.1
41,150,60734,1,1,0.1
41,160,108632,1,1,0.1
41,170,119542,1,1,0.1
41,180,179494,1,1,0.1
61,0,1000,1,1,0.1
61,10,999,1,1,0.1
61,20,1010,1,1,0.1
61,30,1993,1,1,0.1
61,40,1996,1,1,0.1
61,50,3964,1,1,0.1
61,60,3953,1,1,0.1
61,70,7427,1,1,0.1
61,80,7834,1,1,0.1
61,90,11576,1,1,0.1
61,100,15532,1,1,0.1
61,110,17826,1,1,0.1
61,120,30715,1,1,0.1
61,130,31642,1,1,0.1
61,140,59661,1,1,0.1
61,150,60776,1,1,0.1
61,160,107465,1,1,0.1
61,170,119665,1,1,0.1
61,180,176798,1,1,0.1
81,0,1000,1,1,0.1
81,10,999,1,1,0.1
81,20,1017,1,1,0.1
