"sim.label","seed","param.index"
1,679671066,1
21,2056040457,1
41,966418212,1
61,1990353114,1
81,926259733,1
1,557291886,2
21,631307531,2
41,1286064521,2
61,1154890783,2
81,964509871,2
1,579595547,3
21,371788138,3
41,1546267584,3
61,917342922,3
81,158027024,3
82,452155948,3
1,316642077,4
2,1998767103,4
21,892149058,4
22,1616058051,4
41,129611142,4
42,1156117436,4
61,533327769,4
62,1764729148,4
81,1172682171,4
82,657124438,4
1,1498508150,5
2,792857726,5
21,1355504040,5
22,1687405985,5
41,633410675,5
42,1991739378,5
61,1083279254,5
62,554479404,5
81,1571604873,5
82,2024948499,5
1,1853327312,6
2,2100906121,6
3,1272695432,6
4,1338980985,6
21,859929294,6
22,1159060402,6
23,946170903,6
24,1881119325,6
41,1018462848,6
42,54800478,6
43,991568468,6
61,99118217,6
62,288192996,6
63,2113064393,6
81,1276183958,6
82,5829849,6
83,798357680,6
1,2079327366,7
2,933430931,7
3,172111403,7
4,1021148426,7
5,2031107013,7
6,574888195,7
7,681822528,7
21,650746194,7
22,2079425026,7
23,1431556184,7
24,890789208,7
25,880563579,7
26,698246880,7
27,361284640,7
41,411242465,7
42,1474084649,7
43,1759831253,7
44,671049742,7
45,1841824375,7
46,812001790,7
47,428538623,7
61,912367232,7
62,657832028,7
63,1025112403,7
64,1404704263,7
65,524348062,7
66,567475531,7
81,1417785496,7
82,545943892,7
83,176302420,7
84,489851909,7
85,934194566,7
86,798035068,7
1,250110858,8
2,2026733533,8
3,1001965427,8
4,1735675356,8
5,1237959719,8
6,1207426090,8
7,90985047,8
8,604897252,8
9,1363271714,8
10,1338794906,8
11,1517935211,8
12,1909969545,8
21,510221498,8
22,509854468,8
23,1672540364,8
24,568663507,8
25,2125795705,8
26,859776878,8
27,1093142844,8
28,1557654926,8
29,714272700,8
30,261054167,8
31,1598747083,8
32,1942596705,8
41,236072718,8
42,2044960559,8
43,1167123801,8
44,379807677,8
45,302013870,8
46,2142872416,8
47,659560312,8
48,1185035128,8
49,148606780,8
50,1286152707,8
51,1190847531,8
61,185738581,8
62,720142198,8
63,644273381,8
64,869509525,8
65,282218817,8
66,849873950,8
67,1846779433,8
68,389234764,8
69,2121647951,8
70,684750974,8
81,634916206,8
82,77915072,8
83,186406868,8
84,942542818,8
85,1782151363,8
86,337899319,8
87,1381568771,8
88,289153736,8
89,1027770346,8
90,1946791,8
1,257406190,9
2,1031168171,9
3,1202919320,9
4,901561511,9
5,1454410817,9
6,1515082636,9
7,857937533,9
8,1747798755,9
9,222630732,9
10,380880685,9
11,328069839,9
12,263948234,9
13,726450102,9
14,992672765,9
15,163750446,9
16,981930232,9
17,1983489163,9
18,159078894,9
19,178333319,9
20,1904789336,9
21,1404780542,9
22,919209980,9
23,268092418,9
24,350964955,9
25,117617973,9
26,1185508253,9
27,497421380,9
28,455064775,9
29,1281270853,9
30,45352293,9
31,1316733067,9
32,371929366,9
33,739636124,9
34,1721321624,9
35,880336649,9
36,1812831154,9
37,565082999,9
38,939892794,9
39,307047828,9
40,35201557,9
41,401799349,9
42,1530676457,9
43,1424300541,9
44,1528755134,9
45,1929775644,9
46,691584034,9
47,757878671,9
48,1498795629,9
49,739544944,9
50,473249565,9
51,1551391427,9
52,326824906,9
53,1150536370,9
54,852850483,9
55,1947654667,9
56,156254718,9
57,891980320,9
58,230676271,9
59,134498366,9
60,1251679564,9
61,1410197067,9
62,1930488034,9
63,1740263210,9
64,1433804324,9
65,1796124190,9
66,1854401486,9
67,745625050,9
68,1475984326,9
69,406287463,9
70,1089542701,9
71,86951574,9
72,2059976614,9
73,2060955427,9
74,164363253,9
75,720925617,9
76,776542780,9
77,1855343344,9
78,1941170860,9
79,2136149995,9
80,1036311196,9
81,896369287,9
82,234916919,9
83,2051392863,9
84,747963071,9
85,1347718500,9
86,50553198,9
87,48570129,9
88,1820887495,9
89,2128075980,9
90,1688430617,9
91,675656357,9
92,303859399,9
93,1923164724,9
94,253059950,9
95,2030962392,9
96,398996224,9
97,1496173188,9
98,1313169253,9
99,851556978,9
100,154870517,9
1,1681835098,10
2,6964710,10
3,2044481441,10
4,102580661,10
5,1592937861,10
6,566493094,10
7,1715946400,10
8,1400026353,10
9,1178587566,10
10,675639064,10
11,901662930,10
12,21854779,10
13,1933096746,10
14,411912068,10
15,189741504,10
16,90412605,10
17,1324972441,10
18,1909829337,10
19,2000002836,10
20,1469651669,10
21,2025289936,10
22,536535850,10
23,828269050,10
24,517167567,10
25,1070453923,10
26,1772749924,10
27,429218093,10
28,1979877061,10
29,1023562073,10
30,114109410,10
31,1149736436,10
32,1320176973,10
33,1404226512,10
34,894785566,10
35,86217267,10
36,1825832473,10
37,1486523017,10
38,1498587072,10
39,908771,10
40,938923622,10
41,1890949367,10
42,1405706229,10
43,425160089,10
44,617494904,10
45,2046760449,10
46,1022142757,10
47,1021349988,10
48,1172124855,10
49,508840496,10
50,110093146,10
51,300568223,10
52,1371115164,10
53,1092524867,10
54,1791858376,10
55,813478672,10
56,1144625337,10
57,1597321294,10
58,20332983,10
59,1078958890,10
60,250858864,10
61,455083715,10
62,173169732,10
63,484955781,10
64,796576075,10
65,336119212,10
66,985781950,10
67,1380946111,10
68,46442210,10
69,1932232512,10
70,1680282272,10
71,2129769129,10
72,458876117,10
73,230249242,10
74,1528050190,10
75,1701573306,10
76,1441365469,10
77,758499358,10
78,1925596154,10
79,1476922667,10
80,2062586335,10
81,343692843,10
82,174959812,10
83,1662268787,10
84,1047772751,10
85,1389630252,10
86,2043089991,10
87,2064835349,10
88,1986226645,10
89,99245115,10
90,1986395312,10
91,1357860326,10
92,598452451,10
93,1785674335,10
94,1334885348,10
95,1727887948,10
96,267095103,10
97,1283083353,10
98,1984087964,10
99,1411974387,10
100,2114614993,10
1,2014529150,11
2,976475500,11
3,1892656030,11
4,981949766,11
5,646582013,11
6,309193829,11
7,776048876,11
8,372200107,11
9,837685665,11
10,380351539,11
11,435031230,11
12,1458450153,11
13,539637999,11
14,921054819,11
15,408908519,11
16,1772498,11
17,1000242245,11
18,1260006109,11
19,1489944362,11
20,669500235,11
21,1467015054,11
22,132470139,11
23,1455932739,11
24,2064306980,11
25,415623609,11
26,192178199,11
27,340759251,11
28,1512449590,11
29,482940823,11
30,863664402,11
31,327994759,11
32,1350458514,11
33,236524448,11
34,1231817907,11
35,682689550,11
36,173266128,11
37,1493514537,11
38,1485005955,11
39,1254986137,11
40,1383828736,11
41,641507622,11
42,1224439049,11
43,224386379,11
44,910660006,11
45,588851528,11
46,608265598,11
47,159075987,11
48,1742100933,11
49,1947382446,11
50,764743853,11
51,920265667,11
52,559559860,11
53,1742241570,11
54,188716645,11
55,848504932,11
56,755466759,11
57,1341692045,11
58,1832327974,11
59,881352620,11
60,556300169,11
61,1397219076,11
62,1957116502,11
63,178361598,11
64,849094165,11
65,54674537,11
66,171835609,11
67,737775184,11
68,2022169228,11
69,1220184975,11
70,869786237,11
71,1196872168,11
72,1707457432,11
73,27198724,11
74,257553143,11
75,762146249,11
76,730573575,11
77,517599250,11
78,474562111,11
79,1845381158,11
80,383962379,11
81,1119749354,11
82,2136085083,11
83,1478601998,11
84,1127209129,11
85,1036901435,11
86,1086196777,11
87,1347017171,11
88,1939543099,11
89,1217920276,11
90,431076693,11
91,730902442,11
92,1495696272,11
93,883288765,11
94,2002255173,11
95,260503746,11
96,529037400,11
97,434197296,11
98,839432799,11
99,1364908863,11
100,978111249,11
1,1439142387,12
2,1558133480,12
3,354057732,12
4,849419108,12
5,474546372,12
6,1521212892,12
7,5046983,12
8,2106745516,12
9,2070353147,12
10,612559457,12
11,1567465702,12
12,1375710245,12
13,178662118,12
14,616968595,12
15,1061180537,12
16,266777415,12
17,2028658657,12
18,180900657,12
19,838567439,12
20,45478678,12
21,241424065,12
22,337922656,12
23,932892338,12
24,1775870175,12
25,723608646,12
26,1019647182,12
27,1916627162,12
28,964662423,12
29,660683171,12
30,1432771512,12
31,947842962,12
32,839688776,12
33,757075983,12
34,1568808182,12
35,1048354210,12
36,590478134,12
37,508701810,12
38,1907971966,12
39,1463807232,12
40,1764348432,12
41,719525625,12
42,470056800,12
43,225629232,12
44,569614605,12
45,797909094,12
46,1218597967,12
47,641309076,12
48,158823085,12
49,810908376,12
50,1716796268,12
51,1537948431,12
52,15356118,12
53,1861724371,12
54,1642949973,12
55,1763904366,12
56,1504946893,12
57,2063948812,12
58,892746533,12
59,572798398,12
60,623111530,12
61,1193034559,12
62,1830537442,12
63,1297353629,12
64,464272905,12
65,888245184,12
66,1692916627,12
67,573972580,12
68,1454650750,12
69,466217189,12
70,2036940103,12
71,290299523,12
72,163694955,12
73,302056567,12
74,914348720,12
75,1792882975,12
76,1562392507,12
77,2097510798,12
78,1190637615,12
79,976751057,12
80,1799019597,12
81,1119247839,12
82,963313782,12
83,823479152,12
84,498755763,12
85,460554715,12
86,904951322,12
87,241791166,12
88,483274667,12
89,687705422,12
90,974065522,12
91,844206458,12
92,478842120,12
93,398240083,12
94,678274856,12
95,1459669048,12
96,1195682366,12
97,2041585735,12
98,735955428,12
99,342819386,12
100,967644640,12
1,1270669687,13
2,1749226132,13
3,1035519303,13
4,687147775,13
5,880378882,13
6,981560554,13
7,1164558740,13
8,108738670,13
9,1054452481,13
10,688418047,13
11,2115588279,13
12,1748008247,13
13,1754137908,13
14,1562491207,13
15,1795519049,13
16,623083484,13
17,191353782,13
18,218672368,13
19,1180657897,13
20,2031956260,13
21,2109052645,13
22,526193764,13
23,131094125,13
24,1332598473,13
25,30181791,13
26,129454200,13
27,1466682212,13
28,2002967163,13
29,647654402,13
30,1343365417,13
31,621557763,13
32,1567570928,13
33,1960878687,13
34,1622231155,13
35,173743471,13
36,1419038822,13
37,49480995,13
38,2128150836,13
39,161756104,13
40,1495070868,13
41,1749554562,13
42,355850372,13
43,364273681,13
44,1409665120,13
45,1041699568,13
46,418242189,13
47,80874649,13
48,1701958876,13
49,918330750,13
50,763777320,13
51,331815012,13
52,1586294719,13
53,97409389,13
54,1067532630,13
55,1861714219,13
56,36064696,13
57,787568929,13
58,905405637,13
59,1275414918,13
60,1119116479,13
61,757710608,13
62,138604448,13
63,489888843,13
64,1521630926,13
65,878083676,13
66,665089520,13
67,1507769270,13
68,1208154845,13
69,1930302450,13
70,1286455314,13
71,713199597,13
72,1085777396,13
73,1261704537,13
74,4653185,13
75,513694852,13
76,244374546,13
77,989297642,13
78,2140375352,13
79,784852184,13
80,2010855541,13
81,418221633,13
82,672864125,13
83,1559053697,13
84,1560023809,13
85,595460958,13
86,1543016812,13
87,1373362462,13
88,1724889716,13
89,458995580,13
90,1009221389,13
91,593944806,13
92,243090682,13
93,898047712,13
94,538165316,13
95,1328285826,13
96,1639987132,13
97,292513564,13
98,2046573732,13
99,75879876,13
100,419294633,13
1,1350546837,14
2,1399227534,14
3,49249159,14
4,1893750060,14
5,1272312539,14
6,1510559500,14
7,1256814870,14
8,120865310,14
9,10355757,14
10,630988111,14
11,927227205,14
12,402566013,14
13,133898763,14
14,330558632,14
15,1660856543,14
16,639321250,14
17,20428959,14
18,1665110020,14
19,163432135,14
20,880425214,14
21,1392868763,14
22,1906557679,14
23,399926969,14
24,963016,14
25,203688439,14
26,1455742255,14
27,626841995,14
28,1528680583,14
29,1710176321,14
30,22872879,14
31,1665772983,14
32,48945608,14
33,1260077378,14
34,877509608,14
35,732808316,14
36,1669730006,14
37,737943292,14
38,1850494440,14
39,1156494466,14
40,992731546,14
41,696179720,14
42,1923834108,14
43,245503996,14
44,530093648,14
45,280533924,14
46,166928003,14
47,1334124724,14
48,1135661860,14
49,442373101,14
50,2023747014,14
51,1614185088,14
52,1225858432,14
53,1229841941,14
54,754744745,14
55,445737883,14
56,1416015328,14
57,2058926155,14
58,470333715,14
59,1086486527,14
60,1642314530,14
61,1413100356,14
62,627431118,14
63,809694574,14
64,557487515,14
65,658298913,14
66,603431860,14
67,839726575,14
68,664052726,14
69,1027724827,14
70,1207496087,14
71,672724180,14
72,230150575,14
73,583627398,14
74,332412671,14
75,1399554810,14
76,1450859385,14
77,1718039690,14
78,1275107979,14
79,661756854,14
80,573751344,14
81,142305,14
82,2087581511,14
83,55626037,14
84,1081430519,14
85,657083359,14
86,1171870612,14
87,1569234004,14
88,1859153615,14
89,450178282,14
90,354620350,14
91,317842150,14
92,1928539247,14
93,1498823002,14
94,850978538,14
95,1714631164,14
96,2038761738,14
97,888938217,14
98,535325488,14
99,1936173839,14
100,469810331,14
1,954113610,15
2,1129892481,15
3,134757420,15
4,1756856535,15
5,434569384,15
6,618189241,15
7,167883850,15
8,1955516390,15
9,1629952720,15
10,1315873866,15
11,1254512612,15
12,1571263240,15
13,1424165252,15
14,879368146,15
15,757465266,15
16,459378294,15
17,1508015959,15
18,350257965,15
19,1744442271,15
20,492499789,15
21,1278695167,15
22,1996445712,15
23,1689252766,15
24,1783358158,15
25,1915513613,15
26,630486659,15
27,100762916,15
28,934585334,15
29,956309171,15
30,1958878273,15
31,355110439,15
32,1599356031,15
33,2003857632,15
34,1515026208,15
35,1222003789,15
36,84887597,15
37,1487499905,15
38,1628662231,15
39,1787168768,15
40,1738726115,15
41,1925480137,15
42,1476881701,15
43,1308247606,15
44,354792747,15
45,1350130530,15
46,1348906291,15
47,1839606023,15
48,871238825,15
49,1533318734,15
50,2027524267,15
51,605946198,15
52,1523676463,15
53,704824312,15
54,1883183776,15
55,15801364,15
56,1527159,15
57,183825395,15
58,1999138776,15
59,942879698,15
60,995180247,15
61,1132985931,15
62,1345800506,15
63,488514395,15
64,1414298407,15
65,1800622426,15
66,1518420174,15
67,1564090754,15
68,241751467,15
69,1448149054,15
70,190198556,15
71,1513539320,15
72,1175418721,15
73,433898147,15
74,411751562,15
75,1225385090,15
76,1849181385,15
77,75924563,15
78,1997634479,15
79,1909839100,15
80,1103741361,15
81,113231221,15
82,901842551,15
83,1440366267,15
84,2018111062,15
85,1274894977,15
86,610496263,15
87,1525205478,15
88,2136406549,15
89,1247420204,15
90,377562970,15
91,2011305757,15
92,1371393693,15
93,1092279106,15
94,214290250,15
95,544929550,15
96,146066330,15
97,187950416,15
98,1732122676,15
99,1078156073,15
100,1760761071,15
1,301733375,16
2,480690965,16
3,1787243553,16
4,428290860,16
5,1260958910,16
6,1002182253,16
7,470814482,16
8,316250733,16
9,1088334856,16
10,2009562532,16
11,441643949,16
12,1508738696,16
13,1173655058,16
