"param.index","mutant.effect","drug.outsideConcentration.MULT","rate","t.end","cell.type"
"1",2,0.1,0.00945508392664585,"60","REG-ON"
"1",2,0.1,0.0108972733460768,"120","REG-ON"
"1",2,0.1,0.0113703881043089,"180","REG-ON"
"2",10,0.1,0.00946355225122839,"60","REG-ON"
"2",10,0.1,0.0109193354906079,"120","REG-ON"
"2",10,0.1,0.0113997943321017,"180","REG-ON"
"3",50,0.1,0.00948263475595274,"60","REG-ON"
"3",50,0.1,0.010956856136701,"120","REG-ON"
"3",50,0.1,0.0114454951831704,"180","REG-ON"
"4",200,0.1,0.00949005163184417,"60","REG-ON"
"4",200,0.1,0.0109732995978712,"120","REG-ON"
"4",200,0.1,0.0114674240165028,"180","REG-ON"
"5",2,0.125892541179417,0.00941158296801388,"60","REG-ON"
"5",2,0.125892541179417,0.0108291463651949,"120","REG-ON"
"5",2,0.125892541179417,0.0112883490023222,"180","REG-ON"
"6",10,0.125892541179417,0.00941961040742174,"60","REG-ON"
"6",10,0.125892541179417,0.0108681718187111,"120","REG-ON"
"6",10,0.125892541179417,0.011338165585816,"180","REG-ON"
"7",50,0.125892541179417,0.00946105838480882,"60","REG-ON"
"7",50,0.125892541179417,0.0109222403647296,"120","REG-ON"
"7",50,0.125892541179417,0.0114059353555307,"180","REG-ON"
"8",200,0.125892541179417,0.00946916153740842,"60","REG-ON"
"8",200,0.125892541179417,0.0109474183522193,"120","REG-ON"
"8",200,0.125892541179417,0.0114365820575067,"180","REG-ON"
"9",2,0.158489319246111,0.00936370062579134,"60","REG-ON"
"9",2,0.158489319246111,0.0107397983250652,"120","REG-ON"
"9",2,0.158489319246111,0.0111718874555537,"180","REG-ON"
"10",10,0.158489319246111,0.00939501346993794,"60","REG-ON"
"10",10,0.158489319246111,0.0107906314660882,"120","REG-ON"
"10",10,0.158489319246111,0.0112407466782575,"180","REG-ON"
"11",50,0.158489319246111,0.00943356644283032,"60","REG-ON"
"11",50,0.158489319246111,0.0108784562538695,"120","REG-ON"
"11",50,0.158489319246111,0.0113501766824763,"180","REG-ON"
"12",200,0.158489319246111,0.00945823546782092,"60","REG-ON"
"12",200,0.158489319246111,0.0109145638846995,"120","REG-ON"
"12",200,0.158489319246111,0.011395480585219,"180","REG-ON"
"13",2,0.199526231496888,0.00928353433081636,"60","REG-ON"
"13",2,0.199526231496888,0.0105980083419372,"120","REG-ON"
"13",2,0.199526231496888,0.0109927064616705,"180","REG-ON"
"14",10,0.199526231496888,0.00932590184326596,"60","REG-ON"
"14",10,0.199526231496888,0.0106832931208937,"120","REG-ON"
"14",10,0.199526231496888,0.0111040622707816,"180","REG-ON"
