"sample.time","num.cells","param.index","mutant.effect","drug.outsideConcentration.MULT","cell.type"
0,17000,"1",2,0.1,"REG-ON"
10,16997,"1",2,0.1,"REG-ON"
20,17007,"1",2,0.1,"REG-ON"
30,33913,"1",2,0.1,"REG-ON"
40,33835,"1",2,0.1,"REG-ON"
50,65480,"1",2,0.1,"REG-ON"
60,67164,"1",2,0.1,"REG-ON"
70,87038,"1",2,0.1,"REG-ON"
80,133054,"1",2,0.1,"REG-ON"
90,135294,"1",2,0.1,"REG-ON"
100,261680,"1",2,0.1,"REG-ON"
110,262200,"1",2,0.1,"REG-ON"
120,449209,"1",2,0.1,"REG-ON"
130,518255,"1",2,0.1,"REG-ON"
140,635765,"1",2,0.1,"REG-ON"
150,1023155,"1",2,0.1,"REG-ON"
160,1051896,"1",2,0.1,"REG-ON"
170,1934740,"1",2,0.1,"REG-ON"
180,2019004,"1",2,0.1,"REG-ON"
0,15000,"2",10,0.1,"REG-ON"
10,14995,"2",10,0.1,"REG-ON"
20,15002,"2",10,0.1,"REG-ON"
30,29920,"2",10,0.1,"REG-ON"
40,29865,"2",10,0.1,"REG-ON"
50,57849,"2",10,0.1,"REG-ON"
60,59372,"2",10,0.1,"REG-ON"
70,76972,"2",10,0.1,"REG-ON"
80,117868,"2",10,0.1,"REG-ON"
90,120092,"2",10,0.1,"REG-ON"
100,232187,"2",10,0.1,"REG-ON"
110,232967,"2",10,0.1,"REG-ON"
120,398972,"2",10,0.1,"REG-ON"
130,461339,"2",10,0.1,"REG-ON"
140,565890,"2",10,0.1,"REG-ON"
150,912859,"2",10,0.1,"REG-ON"
160,939709,"2",10,0.1,"REG-ON"
170,1730124,"2",10,0.1,"REG-ON"
180,1808260,"2",10,0.1,"REG-ON"
0,15000,"3",50,0.1,"REG-ON"
10,14996,"3",50,0.1,"REG-ON"
20,15002,"3",50,0.1,"REG-ON"
30,29936,"3",50,0.1,"REG-ON"
40,29889,"3",50,0.1,"REG-ON"
50,58057,"3",50,0.1,"REG-ON"
60,59542,"3",50,0.1,"REG-ON"
70,77756,"3",50,0.1,"REG-ON"
80,118441,"3",50,0.1,"REG-ON"
90,120940,"3",50,0.1,"REG-ON"
100,234128,"3",50,0.1,"REG-ON"
110,235057,"3",50,0.1,"REG-ON"
120,404564,"3",50,0.1,"REG-ON"
130,467166,"3",50,0.1,"REG-ON"
140,575931,"3",50,0.1,"REG-ON"
150,927562,"3",50,0.1,"REG-ON"
160,956811,"3",50,0.1,"REG-ON"
170,1765539,"3",50,0.1,"REG-ON"
180,1846391,"3",50,0.1,"REG-ON"
0,15000,"4",200,0.1,"REG-ON"
10,14995,"4",200,0.1,"REG-ON"
20,15012,"4",200,0.1,"REG-ON"
30,29962,"4",200,0.1,"REG-ON"
40,29929,"4",200,0.1,"REG-ON"
50,57989,"4",200,0.1,"REG-ON"
60,59663,"4",200,0.1,"REG-ON"
70,77778,"4",200,0.1,"REG-ON"
80,118841,"4",200,0.1,"REG-ON"
90,121392,"4",200,0.1,"REG-ON"
100,235206,"4",200,0.1,"REG-ON"
110,236441,"4",200,0.1,"REG-ON"
120,406508,"4",200,0.1,"REG-ON"
130,470472,"4",200,0.1,"REG-ON"
