"survive","parameter.index","drug.outsideConcentration.MULT","mutant.effect","rate.efflux.DNA.switchOn.MULT","rate.efflux.protein.translation.MULT","cell.type","extinction.time","extinction.time.sd"
1,"1",0,50,1,1,"STRUCT-BIND",NA,NA
0.994,"2",0.5,50,1,1,"STRUCT-BIND",26.9736836847166,21.0061400634426
0.974,"3",0.7,50,1,1,"STRUCT-BIND",60.3040590144654,38.7946877376458
0.841,"4",0.9,50,1,1,"STRUCT-BIND",110.956402093773,90.3730275833371
0.696,"5",1,50,1,1,"STRUCT-BIND",122.25781588745,84.0781241337034
0.561,"6",1.1,50,1,1,"STRUCT-BIND",113.658981609776,77.1347043206033
0.461,"7",1.2,50,1,1,"STRUCT-BIND",99.8973947320968,62.4116160912656
0.365,"8",1.3,50,1,1,"STRUCT-BIND",92.6634500939905,62.864014090486
0.334,"9",1.4,50,1,1,"STRUCT-BIND",81.9424905904416,56.4648751197821
0.28,"10",1.5,50,1,1,"STRUCT-BIND",78.5869292577571,55.9547591716464
0.207,"11",1.75,50,1,1,"STRUCT-BIND",63.5641080853521,45.2283368588798
0.141,"12",2,50,1,1,"STRUCT-BIND",61.2673000137504,55.9243093045871
0.114,"13",2.25,50,1,1,"STRUCT-BIND",56.2563211356853,56.0899023421558
0.086,"14",2.5,50,1,1,"STRUCT-BIND",56.3170134662401,61.9910622181258
0.065,"15",2.75,50,1,1,"STRUCT-BIND",49.5340372519741,60.1230857453463
0.046,"16",3,50,1,1,"STRUCT-BIND",51.4034027433322,76.8040361415766
0.015,"17",3.5,50,1,1,"STRUCT-BIND",49.6795756901944,67.8640858231808
0.004,"18",4,50,1,1,"STRUCT-BIND",45.4817584403399,81.6888666021348
0,"19",4.5,50,1,1,"STRUCT-BIND",37.2184048201998,56.484010454358
0,"20",5,50,1,1,"STRUCT-BIND",32.7383599771129,47.0746465953558
1,"21",0,50,2,0.5,"STRUCT-BIND",NA,NA
0.994,"22",0.5,50,2,0.5,"STRUCT-BIND",23.9502087818802,7.84510829563603
0.983,"23",0.7,50,2,0.5,"STRUCT-BIND",46.5263979756713,29.4767245343018
0.907,"24",0.9,50,2,0.5,"STRUCT-BIND",82.5733508039025,60.1117522494576
0.825,"25",1,50,2,0.5,"STRUCT-BIND",99.062850072139,66.3674620195346
0.718,"26",1.1,50,2,0.5,"STRUCT-BIND",99.859873387021,65.3252878887417
0.61,"27",1.2,50,2,0.5,"STRUCT-BIND",93.4620420202295,56.3018635388971
0.548,"28",1.3,50,2,0.5,"STRUCT-BIND",86.6576924444421,57.2727781313029
0.443,"29",1.4,50,2,0.5,"STRUCT-BIND",76.1964789153384,47.4522297287114
0.401,"30",1.5,50,2,0.5,"STRUCT-BIND",79.1397134304321,54.1606669775495
0.299,"31",1.75,50,2,0.5,"STRUCT-BIND",69.5036936617203,52.5317048731695
0.22,"32",2,50,2,0.5,"STRUCT-BIND",64.4110148513217,53.8418616228948
0.17,"33",2.25,50,2,0.5,"STRUCT-BIND",63.5971028977034,60.4842586543521
0.115,"34",2.5,50,2,0.5,"STRUCT-BIND",64.2652300301079,76.1941503533951
0.068,"35",2.75,50,2,0.5,"STRUCT-BIND",63.2544090386284,82.375349073538
0.051,"36",3,50,2,0.5,"STRUCT-BIND",59.4291899684869,92.7054077586919
0.007,"37",3.5,50,2,0.5,"STRUCT-BIND",64.5568410730202,113.877326231504
0,"38",4,50,2,0.5,"STRUCT-BIND",47.9715751927722,73.3524689102053
0,"39",4.5,50,2,0.5,"STRUCT-BIND",43.5778950913816,55.7726979217751
0,"40",5,50,2,0.5,"STRUCT-BIND",36.964955285803,42.6178483461659
1,"41",0,50,8,0.125,"STRUCT-BIND",NA,NA
0.998,"42",0.5,50,8,0.125,"STRUCT-BIND",16.7074104552856,1.99150006450184
0.988,"43",0.7,50,8,0.125,"STRUCT-BIND",29.7973575730746,17.990096074279
0.965,"44",0.9,50,8,0.125,"STRUCT-BIND",48.0640218115243,32.3293565591794
0.941,"45",1,50,8,0.125,"STRUCT-BIND",61.8367763656977,45.9243365648208
0.915,"46",1.1,50,8,0.125,"STRUCT-BIND",65.2085671700052,44.5418828984794
0.867,"47",1.2,50,8,0.125,"STRUCT-BIND",72.4796818803942,47.4305629922911
0.786,"48",1.3,50,8,0.125,"STRUCT-BIND",73.4091258044938,49.0735824896708
0.751,"49",1.4,50,8,0.125,"STRUCT-BIND",75.0750200712041,51.221064643384
0.672,"50",1.5,50,8,0.125,"STRUCT-BIND",74.1060396404971,48.1158426996559
0.493,"51",1.75,50,8,0.125,"STRUCT-BIND",79.7924218364912,65.4047320851624
0.338,"52",2,50,8,0.125,"STRUCT-BIND",86.8651096967736,74.3191515794524
0.208,"53",2.25,50,8,0.125,"STRUCT-BIND",92.8319603873135,107.597052780264
0.092,"54",2.5,50,8,0.125,"STRUCT-BIND",110.22447246832,145.420710026716
0.015,"55",2.75,50,8,0.125,"STRUCT-BIND",105.740516222595,163.881833254491
0,"56",3,50,8,0.125,"STRUCT-BIND",79.2976503205788,95.2946346033577
0,"57",3.5,50,8,0.125,"STRUCT-BIND",55.3761772660436,54.157274529851
0,"58",4,50,8,0.125,"STRUCT-BIND",44.331129269843,38.2526211140035
0,"59",4.5,50,8,0.125,"STRUCT-BIND",37.548692225707,30.370828204282
0,"60",5,50,8,0.125,"STRUCT-BIND",31.9814264122734,24.1305635019394
1,"61",0,50,32,0.03125,"STRUCT-BIND",NA,NA
0.997,"62",0.5,50,32,0.03125,"STRUCT-BIND",26.3332106159664,16.1459095784372
0.988,"63",0.7,50,32,0.03125,"STRUCT-BIND",23.4303612292003,11.1042776043194
0.961,"64",0.9,50,32,0.03125,"STRUCT-BIND",40.3281838140238,35.1935701600919
0.961,"65",1,50,32,0.03125,"STRUCT-BIND",43.7632059389516,27.2398565467228
0.93,"66",1.1,50,32,0.03125,"STRUCT-BIND",52.8384866774819,36.080861722353
0.893,"67",1.2,50,32,0.03125,"STRUCT-BIND",70.7316494428345,49.0027362074956
0.821,"68",1.3,50,32,0.03125,"STRUCT-BIND",78.0849474645475,55.4037485244126
0.733,"69",1.4,50,32,0.03125,"STRUCT-BIND",91.6576945265199,67.5803344618911
0.626,"70",1.5,50,32,0.03125,"STRUCT-BIND",95.1805779217798,82.1334150232801
0.297,"71",1.75,50,32,0.03125,"STRUCT-BIND",148.642758219337,162.638245090654
0.014,"72",2,50,32,0.03125,"STRUCT-BIND",151.516501439355,184.799402466949
0,"73",2.25,50,32,0.03125,"STRUCT-BIND",98.193313981083,96.7673354160775
0,"74",2.5,50,32,0.03125,"STRUCT-BIND",71.8375265692421,59.5512388228341
0,"75",2.75,50,32,0.03125,"STRUCT-BIND",58.6809572597496,45.7335944467292
0,"76",3,50,32,0.03125,"STRUCT-BIND",49.7744073320081,32.8097653714204
0,"77",3.5,50,32,0.03125,"STRUCT-BIND",41.2793372546186,24.7523404813699
0,"78",4,50,32,0.03125,"STRUCT-BIND",32.8320622032159,19.2329410375443
0,"79",4.5,50,32,0.03125,"STRUCT-BIND",30.0128994074956,15.9598957763693
0,"80",5,50,32,0.03125,"STRUCT-BIND",26.8645045913477,14.5461946096328
