"survive","parameter.index","kappa","MIC.fraction","drug.outsideConcentration.MULT","cell.type","extinction.time","extinction.time.sd"
1,"1",1e-06,0.9332099,0,"WT",NA,NA
1,"2",1,0.9323611,0,"WT",NA,NA
1,"3",2,0.9311702,0,"WT",NA,NA
1,"4",3,0.9290991,0,"WT",NA,NA
0.784,"5",1e-06,0.9332099,0.5,"WT",25.5504437855758,23.3272098513947
0.814,"6",1,0.9323611,0.5,"WT",23.997636198022,19.1998560305171
0.816,"7",2,0.9311702,0.5,"WT",23.2950192970927,17.1278586070844
0.842,"8",3,0.9290991,0.5,"WT",25.5306095136343,21.1171194132791
0.686,"9",1e-06,0.9332099,0.7,"WT",29.7524535137117,29.9676567594902
0.71,"10",1,0.9323611,0.7,"WT",28.5010297419224,24.5471406299163
0.691,"11",2,0.9311702,0.7,"WT",30.9846674850343,30.830973313933
0.683,"12",3,0.9290991,0.7,"WT",28.7962007469271,25.3123271930873
0.51,"13",1e-06,0.9332099,0.9,"WT",38.3030581303948,42.1353549502825
0.56,"14",1,0.9323611,0.9,"WT",40.2882838563129,41.985648297566
0.563,"15",2,0.9311702,0.9,"WT",39.2341267405321,42.0062665615741
0.571,"16",3,0.9290991,0.9,"WT",39.1323389768412,43.1895482212759
0.482,"17",1e-06,0.9332099,1,"WT",43.7861765939806,57.4580890811307
0.482,"18",1,0.9323611,1,"WT",42.8849720665976,53.0411296654652
0.474,"19",2,0.9311702,1,"WT",42.7548115059407,54.1825238041262
0.523,"20",3,0.9290991,1,"WT",47.3815129181642,56.8731399703097
0.412,"21",1e-06,0.9332099,1.1,"WT",46.5697917077434,58.7220464175453
0.403,"22",1,0.9323611,1.1,"WT",49.5428022476266,61.6731189351787
0.431,"23",2,0.9311702,1.1,"WT",50.9715541932885,60.9251573362072
0.401,"24",3,0.9290991,1.1,"WT",54.5146187738584,73.8468528754942
0.352,"25",1e-06,0.9332099,1.2,"WT",50.3605928030125,64.6421093502682
0.351,"26",1,0.9323611,1.2,"WT",53.5104254221432,73.5300894891317
0.31,"27",2,0.9311702,1.2,"WT",53.456170436277,68.4926827121459
0.334,"28",3,0.9290991,1.2,"WT",58.5124121713947,80.1015303033537
0.265,"29",1e-06,0.9332099,1.3,"WT",63.0154072898593,93.2305772941373
0.28,"30",1,0.9323611,1.3,"WT",67.3446332121541,99.1753857669848
0.261,"31",2,0.9311702,1.3,"WT",64.2557726006646,88.9398927958155
0.245,"32",3,0.9290991,1.3,"WT",74.1000222779808,116.611777804489
0.21,"33",1e-06,0.9332099,1.4,"WT",81.57472296899,127.263833507595
0.216,"34",1,0.9323611,1.4,"WT",80.2686948063768,135.746510536161
0.196,"35",2,0.9311702,1.4,"WT",77.4124856194552,132.764034640153
0.125,"36",3,0.9290991,1.4,"WT",96.0448915487491,156.390277305683
0.117,"37",1e-06,0.9332099,1.5,"WT",92.3206759635207,156.503540594401
0.118,"38",1,0.9323611,1.5,"WT",90.5155507637222,152.338365833437
0.098,"39",2,0.9311702,1.5,"WT",87.0512201684902,153.397618788047
0.056,"40",3,0.9290991,1.5,"WT",92.6220798037245,161.183037985257
0.01,"41",1e-06,0.9332099,1.75,"WT",91.2880226823831,152.240923091557
0.01,"42",1,0.9323611,1.75,"WT",90.7999314636098,163.891263308083
0.005,"43",2,0.9311702,1.75,"WT",86.0465501102001,139.762451890788
0.002,"44",3,0.9290991,1.75,"WT",78.9811606928132,136.508471825532
0,"45",1e-06,0.9332099,2,"WT",68.9901859249152,116.103307614577
0,"46",1,0.9323611,2,"WT",63.2417151761294,100.966268113733
0.001,"47",2,0.9311702,2,"WT",57.9391253446169,89.4061883578802
0,"48",3,0.9290991,2,"WT",54.9440286764428,80.6703140969789
0,"49",1e-06,0.9332099,2.25,"WT",49.4194219093316,76.0586826133999
0,"50",1,0.9323611,2.25,"WT",50.7554827537111,67.6923068764131
0,"51",2,0.9311702,2.25,"WT",48.9726064901992,71.3593885388534
0,"52",3,0.9290991,2.25,"WT",42.7358461018599,57.1823764491777
0,"53",1e-06,0.9332099,2.5,"WT",40.9859996202107,52.3726712624724
0,"54",1,0.9323611,2.5,"WT",39.6686116847186,53.6370255414298
0,"55",2,0.9311702,2.5,"WT",42.9738155641719,59.9049019978642
0,"56",3,0.9290991,2.5,"WT",34.9616608150565,42.6174618931204
0,"57",1e-06,0.9332099,2.75,"WT",35.8359651904682,46.2292920101468
0,"58",1,0.9323611,2.75,"WT",33.3589653325071,41.4144273650656
0,"59",2,0.9311702,2.75,"WT",32.6987529900552,39.9166397610108
0,"60",3,0.9290991,2.75,"WT",31.7052191176839,40.2884218163431
0,"61",1e-06,0.9332099,3,"WT",33.5951716223301,40.5009639157699
0,"62",1,0.9323611,3,"WT",31.7445577511926,40.0111607848578
0,"63",2,0.9311702,3,"WT",30.7125924354645,36.4121316088182
0,"64",3,0.9290991,3,"WT",28.9020724008065,32.7189705264034
0,"65",1e-06,0.9332099,3.5,"WT",25.4404801666428,29.9710679651365
0,"66",1,0.9323611,3.5,"WT",27.1563746524901,32.0438947037554
0,"67",2,0.9311702,3.5,"WT",24.6994331434304,29.1724341415883
0,"68",3,0.9290991,3.5,"WT",24.8115213677812,29.0641269529957
0,"69",1e-06,0.9332099,4,"WT",22.2673055492091,23.5900647090639
0,"70",1,0.9323611,4,"WT",22.8820362026825,27.7412932422618
0,"71",2,0.9311702,4,"WT",22.4709701240124,24.5954276265916
0,"72",3,0.9290991,4,"WT",21.9703219655926,23.7628664371544
0,"73",1e-06,0.9332099,4.5,"WT",20.4018595959513,22.3445852446057
0,"74",1,0.9323611,4.5,"WT",20.0652814298665,21.1574199933047
0,"75",2,0.9311702,4.5,"WT",19.1744852976387,20.5443632874186
0,"76",3,0.9290991,4.5,"WT",18.7300804445351,20.0297204591085
0,"77",1e-06,0.9332099,5,"WT",18.1472400757742,19.8781996559406
0,"78",1,0.9323611,5,"WT",17.8780434080666,17.9717609665434
0,"79",2,0.9311702,5,"WT",17.9523772059198,18.9312179915695
0,"80",3,0.9290991,5,"WT",16.5618321608898,16.4890307035144
