"survive","parameter.index","kappa","MIC.fraction","drug.outsideConcentration.MULT","cell.type","extinction.time","extinction.time.sd"
1,"1",1,0.1043,0,"WT",NA,NA
1,"2",2,0.08951271,0,"WT",NA,NA
1,"3",3,0.08567227,0,"WT",NA,NA
1,"4",4,0.08319832,0,"WT",NA,NA
1,"5",5,0.0822,0,"WT",NA,NA
0.872,"6",1,0.1043,0.5,"WT",35.6927757208531,28.0456598118098
0.98,"7",2,0.08951271,0.5,"WT",29.0262952274468,17.536034711633
0.996,"8",3,0.08567227,0.5,"WT",25.7160274536994,11.8922366091034
1,"9",4,0.08319832,0.5,"WT",NA,NA
0.999,"10",5,0.0822,0.5,"WT",22.2433651223321,NA
0.793,"11",1,0.1043,0.7,"WT",50.2507765660153,45.0552944671747
0.93,"12",2,0.08951271,0.7,"WT",48.5223708159091,47.7532754317439
0.964,"13",3,0.08567227,0.7,"WT",42.3176600813216,35.3113025919816
0.988,"14",4,0.08319832,0.7,"WT",41.923542991354,26.8946295288308
0.997,"15",5,0.0822,0.7,"WT",21.951782231326,1.04091285245645
0.625,"16",1,0.1043,0.9,"WT",76.4391289659416,84.802406415618
0.746,"17",2,0.08951271,0.9,"WT",98.9696835004672,88.5699690607141
0.834,"18",3,0.08567227,0.9,"WT",100.980271244753,77.6190869143035
0.892,"19",4,0.08319832,0.9,"WT",109.540563093894,81.8640130824974
0.889,"20",5,0.0822,0.9,"WT",117.794617538851,82.5716872930272
0.477,"21",1,0.1043,1,"WT",104.314209986231,115.874917812911
0.491,"22",2,0.08951271,1,"WT",171.891867504281,172.847304788115
0.525,"23",3,0.08567227,1,"WT",219.671363212918,199.236804162457
0.515,"24",4,0.08319832,1,"WT",227.953031131505,192.172863190838
0.506,"25",5,0.0822,1,"WT",238.664830052953,207.780502233918
0.345,"26",1,0.1043,1.1,"WT",144.625356573896,159.891966660496
0.113,"27",2,0.08951271,1.1,"WT",260.84037444187,260.201731778318
0.025,"28",3,0.08567227,1.1,"WT",263.20698852784,232.932516260885
0.009,"29",4,0.08319832,1.1,"WT",238.573201978051,203.165128010536
0.002,"30",5,0.0822,1.1,"WT",229.159219455538,189.449193296624
0.173,"31",1,0.1043,1.2,"WT",188.991274875437,218.0216749753
0.001,"32",2,0.08951271,1.2,"WT",167.722311450298,160.703890591863
0,"33",3,0.08567227,1.2,"WT",150.301122738515,107.441182808223
0,"34",4,0.08319832,1.2,"WT",130.430850351997,83.6826285044609
0,"35",5,0.0822,1.2,"WT",125.921146892791,79.2874699110452
0.04,"36",1,0.1043,1.3,"WT",194.53776058257,225.877188470239
0,"37",2,0.08951271,1.3,"WT",131.454994715203,109.359601168115
0,"38",3,0.08567227,1.3,"WT",109.872945926536,69.6131970594339
0,"39",4,0.08319832,1.3,"WT",96.7508333457968,54.107030237274
0,"40",5,0.0822,1.3,"WT",93.2854198948901,50.2719795901312
0.004,"41",1,0.1043,1.4,"WT",173.496216252756,198.632805271681
