"survive","parameter.index","kappa","MIC.fraction","drug.outsideConcentration.MULT","cell.type","extinction.time","extinction.time.sd"
1,"1",1,0.349697,0,"WT",NA,NA
1,"2",2,0.3185616,0,"WT",NA,NA
1,"3",5,0.3003958,0,"WT",NA,NA
1,"4",10,0.2956701,0,"WT",NA,NA
1,"5",20,0.28002,0,"WT",NA,NA
0.908,"6",1,0.349697,0.5,"WT",32.4706310869044,29.430991920503
0.982,"7",2,0.3185616,0.5,"WT",22.869408191478,15.7427701545235
1,"8",5,0.3003958,0.5,"WT",NA,NA
1,"9",10,0.2956701,0.5,"WT",NA,NA
1,"10",20,0.28002,0.5,"WT",NA,NA
0.813,"11",1,0.349697,0.7,"WT",45.7224655869299,39.2423586726406
0.943,"12",2,0.3185616,0.7,"WT",33.2046524932386,22.8454990779541
1,"13",5,0.3003958,0.7,"WT",NA,NA
1,"14",10,0.2956701,0.7,"WT",NA,NA
1,"15",20,0.28002,0.7,"WT",NA,NA
0.673,"16",1,0.349697,0.9,"WT",75.3056893373016,78.18337454887
0.784,"17",2,0.3185616,0.9,"WT",91.478592439235,84.9434597569972
0.985,"18",5,0.3003958,0.9,"WT",98.1854036808491,87.4247923875267
1,"19",10,0.2956701,0.9,"WT",NA,NA
1,"20",20,0.28002,0.9,"WT",NA,NA
0.525,"21",1,0.349697,1,"WT",106.614282859012,122.940095815114
0.507,"22",2,0.3185616,1,"WT",174.239670413583,176.404199951927
0.524,"23",5,0.3003958,1,"WT",379.608804319048,269.079422136551
0.348,"24",10,0.2956701,1,"WT",584.542572163547,290.712823450017
0,"25",20,0.28002,1,"WT",184.083801818375,40.2738960876878
0.337,"26",1,0.349697,1.1,"WT",157.825155094548,190.466515919093
0.051,"27",2,0.3185616,1.1,"WT",269.658624181257,251.099680006173
0,"28",5,0.3003958,1.1,"WT",191.630132189717,95.6154797767346
0,"29",10,0.2956701,1.1,"WT",151.170101752305,42.8626809208994
0,"30",20,0.28002,1.1,"WT",100.116952711926,15.380024286481
0.06,"31",1,0.349697,1.2,"WT",210.651004439146,240.194220119903
0,"32",2,0.3185616,1.2,"WT",181.388288563451,164.105933833592
0,"33",5,0.3003958,1.2,"WT",120.189755503105,51.9231583441973
0,"34",10,0.2956701,1.2,"WT",99.1397520920619,23.6388773352069
0,"35",20,0.28002,1.2,"WT",74.4870140153263,11.4560736619396
0.001,"36",1,0.349697,1.3,"WT",179.630430966398,187.490379217287
0,"37",2,0.3185616,1.3,"WT",119.596530832947,90.5115063518703
0,"38",5,0.3003958,1.3,"WT",92.4840680513795,37.0111702196658
0,"39",10,0.2956701,1.3,"WT",78.1787046639419,17.7332098503746
0,"40",20,0.28002,1.3,"WT",61.0588682841172,9.7762988765396
0,"41",1,0.349697,1.4,"WT",123.365879603509,115.774193610757
0,"42",2,0.3185616,1.4,"WT",98.2773620857474,67.6893428052782
0,"43",5,0.3003958,1.4,"WT",76.1566120182412,28.0500187143295
0,"44",10,0.2956701,1.4,"WT",64.7162845166767,14.9328344052679
0,"45",20,0.28002,1.4,"WT",52.1141268733202,8.87613330799181
0,"46",1,0.349697,1.5,"WT",108.323019821294,99.2312678054531
0,"47",2,0.3185616,1.5,"WT",81.4632979248899,51.1812769152087
0,"48",5,0.3003958,1.5,"WT",65.8364226849194,22.7919394805973
0,"49",10,0.2956701,1.5,"WT",56.5016662133668,12.8138260577622
0,"50",20,0.28002,1.5,"WT",46.4517878152491,8.68987711269492
0,"51",1,0.349697,1.75,"WT",74.2223789257452,54.7860925130883
0,"52",2,0.3185616,1.75,"WT",62.1214022392922,37.0934148799596
0,"53",5,0.3003958,1.75,"WT",49.8929388900378,17.7985123317006
0,"54",10,0.2956701,1.75,"WT",43.4881784355835,10.6679760428292
0,"55",20,0.28002,1.75,"WT",36.6343433698128,7.72605214558135
0,"56",1,0.349697,2,"WT",58.840207520424,41.2672286567459
0,"57",2,0.3185616,2,"WT",51.208907544203,28.7034624430946
0,"58",5,0.3003958,2,"WT",39.7027175937829,15.0243735393265
0,"59",10,0.2956701,2,"WT",35.8855106099317,9.34187090458139
0,"60",20,0.28002,2,"WT",30.1416895469147,7.2246535234276
0,"61",1,0.349697,2.25,"WT",49.6813998235787,34.426049268067
0,"62",2,0.3185616,2.25,"WT",41.2984577369469,22.676222983338
0,"63",5,0.3003958,2.25,"WT",34.492824766107,13.1820263951478
0,"64",10,0.2956701,2.25,"WT",30.5504913591911,9.31871740731422
0,"65",20,0.28002,2.25,"WT",25.9778367565937,7.67422017688158
0,"66",1,0.349697,2.5,"WT",43.1459469116141,26.8939717346102
0,"67",2,0.3185616,2.5,"WT",37.1832650838026,20.0891447735643
0,"68",5,0.3003958,2.5,"WT",29.8475963717418,11.3357490623734
0,"69",10,0.2956701,2.5,"WT",26.7024435630875,8.60218724507288
0,"70",20,0.28002,2.5,"WT",22.9054934792395,7.1432250437402
0,"71",1,0.349697,2.75,"WT",38.715772639447,23.5008870232579
0,"72",2,0.3185616,2.75,"WT",33.802398671369,18.057704996383
0,"73",5,0.3003958,2.75,"WT",27.004715426078,10.5688985317819
0,"74",10,0.2956701,2.75,"WT",23.8094439488439,8.01385378079727
0,"75",20,0.28002,2.75,"WT",20.9812300147391,6.54190319627287
0,"76",1,0.349697,3,"WT",35.988697128391,20.2881141227516
0,"77",2,0.3185616,3,"WT",30.5050368527445,16.2969538359769
0,"78",5,0.3003958,3,"WT",24.9648901425375,9.91129695552166
0,"79",10,0.2956701,3,"WT",21.6931102763578,7.55703789739061
0,"80",20,0.28002,3,"WT",19.1549306370208,6.1781815537662
0,"81",1,0.349697,3.5,"WT",30.6464803666848,17.0746042686189
0,"82",2,0.3185616,3.5,"WT",26.0590542795215,13.7426878757335
0,"83",5,0.3003958,3.5,"WT",21.1892581041513,8.79500267877135
0,"84",10,0.2956701,3.5,"WT",18.6215652349567,6.76445764642673
0,"85",20,0.28002,3.5,"WT",16.9497573959895,6.35185005729256
0,"86",1,0.349697,4,"WT",26.1012690042777,14.5956589372538
0,"87",2,0.3185616,4,"WT",22.6427518442356,11.438222747648
0,"88",5,0.3003958,4,"WT",19.0113407348633,7.85777746401064
0,"89",10,0.2956701,4,"WT",16.957196038755,6.81421671308699
0,"90",20,0.28002,4,"WT",15.3800887168217,6.37632789639313
0,"91",1,0.349697,4.5,"WT",24.1103075225604,13.0046138861486
0,"92",2,0.3185616,4.5,"WT",21.0523586113473,10.746853970198
0,"93",5,0.3003958,4.5,"WT",17.4461698329681,7.90202720397052
0,"94",10,0.2956701,4.5,"WT",15.3032031053939,6.4728795618248
0,"95",20,0.28002,4.5,"WT",13.3240690745929,5.41178098780209
0,"96",1,0.349697,5,"WT",21.7075335398352,11.9494649806985
0,"97",2,0.3185616,5,"WT",19.3550079940345,9.74928434016614
0,"98",5,0.3003958,5,"WT",15.7579427500018,6.78508121542285
0,"99",10,0.2956701,5,"WT",13.9983000460836,5.8705751964256
0,"100",20,0.28002,5,"WT",12.9004265349544,5.90367400840057
