"survive","parameter.index","mutant.effect","drug.outsideConcentration.MULT","drug.off","cell.type","final.size"
1,"1",2,0,Inf,"REG-ON",113832
1,"2",10,0,Inf,"REG-ON",113545
1,"3",50,0,Inf,"REG-ON",113845
1,"4",200,0,Inf,"REG-ON",113814
1,"5",2,0.5,Inf,"REG-ON",103681
1,"6",10,0.5,Inf,"REG-ON",105303
1,"7",50,0.5,Inf,"REG-ON",106662
1,"8",200,0.5,Inf,"REG-ON",107993
1,"9",2,0.7,Inf,"REG-ON",91406
1,"10",10,0.7,Inf,"REG-ON",97864
1,"11",50,0.7,Inf,"REG-ON",105088
1,"12",200,0.7,Inf,"REG-ON",105942
1,"13",2,0.9,Inf,"REG-ON",60229
1,"14",10,0.9,Inf,"REG-ON",83202
1,"15",50,0.9,Inf,"REG-ON",98018
1,"16",200,0.9,Inf,"REG-ON",104013
0,"17",2,1,Inf,"REG-ON",9233
1,"18",10,1,Inf,"REG-ON",68485
1,"19",50,1,Inf,"REG-ON",94275
1,"20",200,1,Inf,"REG-ON",101429
0,"21",2,1.1,Inf,"REG-ON",0
1,"22",10,1.1,Inf,"REG-ON",43034
1,"23",50,1.1,Inf,"REG-ON",87817
1,"24",200,1.1,Inf,"REG-ON",97396
0,"25",2,1.2,Inf,"REG-ON",0
0,"26",10,1.2,Inf,"REG-ON",6783
1,"27",50,1.2,Inf,"REG-ON",80881
1,"28",200,1.2,Inf,"REG-ON",93421
0,"29",2,1.3,Inf,"REG-ON",0
0,"30",10,1.3,Inf,"REG-ON",18
1,"31",50,1.3,Inf,"REG-ON",70219
1,"32",200,1.3,Inf,"REG-ON",88845
0,"33",2,1.4,Inf,"REG-ON",0
0,"34",10,1.4,Inf,"REG-ON",2
1,"35",50,1.4,Inf,"REG-ON",56065
1,"36",200,1.4,Inf,"REG-ON",82171
0,"37",2,1.5,Inf,"REG-ON",0
0,"38",10,1.5,Inf,"REG-ON",0
0,"39",50,1.5,Inf,"REG-ON",34962
1,"40",200,1.5,Inf,"REG-ON",73545
0,"41",2,1.75,Inf,"REG-ON",0
0,"42",10,1.75,Inf,"REG-ON",0
0,"43",50,1.75,Inf,"REG-ON",58
0,"44",200,1.75,Inf,"REG-ON",42561
0,"45",2,2,Inf,"REG-ON",0
0,"46",10,2,Inf,"REG-ON",0
0,"47",50,2,Inf,"REG-ON",0
0,"48",200,2,Inf,"REG-ON",228
0,"49",2,2.25,Inf,"REG-ON",0
0,"50",10,2.25,Inf,"REG-ON",0
0,"51",50,2.25,Inf,"REG-ON",0
0,"52",200,2.25,Inf,"REG-ON",0
0,"53",2,2.5,Inf,"REG-ON",0
0,"54",10,2.5,Inf,"REG-ON",0
0,"55",50,2.5,Inf,"REG-ON",0
0,"56",200,2.5,Inf,"REG-ON",0
0,"57",2,2.75,Inf,"REG-ON",0
0,"58",10,2.75,Inf,"REG-ON",0
0,"59",50,2.75,Inf,"REG-ON",0
0,"60",200,2.75,Inf,"REG-ON",0
0,"61",2,3,Inf,"REG-ON",0
0,"62",10,3,Inf,"REG-ON",0
0,"63",50,3,Inf,"REG-ON",0
0,"64",200,3,Inf,"REG-ON",0
0,"65",2,3.5,Inf,"REG-ON",0
0,"66",10,3.5,Inf,"REG-ON",0
0,"67",50,3.5,Inf,"REG-ON",0
0,"68",200,3.5,Inf,"REG-ON",0
0,"69",2,4,Inf,"REG-ON",0
0,"70",10,4,Inf,"REG-ON",0
0,"71",50,4,Inf,"REG-ON",0
0,"72",200,4,Inf,"REG-ON",0
0,"73",2,4.5,Inf,"REG-ON",0
0,"74",10,4.5,Inf,"REG-ON",0
0,"75",50,4.5,Inf,"REG-ON",0
0,"76",200,4.5,Inf,"REG-ON",0
0,"77",2,5,Inf,"REG-ON",0
0,"78",10,5,Inf,"REG-ON",0
0,"79",50,5,Inf,"REG-ON",0
0,"80",200,5,Inf,"REG-ON",0
1,"81",2,1,30,"REG-ON",107269
1,"82",10,1,30,"REG-ON",108271
1,"83",50,1,30,"REG-ON",111085
1,"84",200,1,30,"REG-ON",111739
0,"85",2,2,30,"REG-ON",63792
1,"86",10,2,30,"REG-ON",72159
1,"87",50,2,30,"REG-ON",95202
1,"88",200,2,30,"REG-ON",100036
0,"89",2,3,30,"REG-ON",17326
0,"90",10,3,30,"REG-ON",26058
1,"91",50,3,30,"REG-ON",56880
1,"92",200,3,30,"REG-ON",75347
0,"93",2,4,30,"REG-ON",2473
0,"94",10,4,30,"REG-ON",6773
0,"95",50,4,30,"REG-ON",23631
0,"96",200,4,30,"REG-ON",40618
0,"97",2,5,30,"REG-ON",106
0,"98",10,5,30,"REG-ON",1688
0,"99",50,5,30,"REG-ON",9950
0,"100",200,5,30,"REG-ON",19281
1,"101",2,1,60,"REG-ON",96947
0,"102",10,1,60,"REG-ON",102994
1,"103",50,1,60,"REG-ON",108105
1,"104",200,1,60,"REG-ON",110756
0,"105",2,2,60,"REG-ON",11273
0,"106",10,2,60,"REG-ON",24507
1,"107",50,2,60,"REG-ON",61105
0,"108",200,2,60,"REG-ON",82331
0,"109",2,3,60,"REG-ON",221
0,"110",10,3,60,"REG-ON",1587
0,"111",50,3,60,"REG-ON",13395
0,"112",200,3,60,"REG-ON",25193
0,"113",2,4,60,"REG-ON",0
0,"114",10,4,60,"REG-ON",0
0,"115",50,4,60,"REG-ON",1009
0,"116",200,4,60,"REG-ON",4269
0,"117",2,5,60,"REG-ON",0
0,"118",10,5,60,"REG-ON",0
0,"119",50,5,60,"REG-ON",0
0,"120",200,5,60,"REG-ON",786
1,"121",2,1,120,"REG-ON",79837
1,"122",10,1,120,"REG-ON",93953
1,"123",50,1,120,"REG-ON",106599
1,"124",200,1,120,"REG-ON",110230
0,"125",2,2,120,"REG-ON",354
0,"126",10,2,120,"REG-ON",2818
1,"127",50,2,120,"REG-ON",22212
1,"128",200,2,120,"REG-ON",54301
0,"129",2,3,120,"REG-ON",0
