"survive","parameter.index","mutant.effect","drug.outsideConcentration.MULT","drug.off","cell.type","extinction.time","extinction.time.sd"
1,"1",2,0,Inf,"REG-ON",NA,NA
1,"2",10,0,Inf,"REG-ON",NA,NA
1,"3",50,0,Inf,"REG-ON",NA,NA
1,"4",200,0,Inf,"REG-ON",NA,NA
0.994,"5",2,0.5,Inf,"REG-ON",19.4422548434706,4.81367090494481
0.995,"6",10,0.5,Inf,"REG-ON",15.8746823124057,7.87648670432513
0.996,"7",50,0.5,Inf,"REG-ON",22.4547701305119,1.08448971604006
0.997,"8",200,0.5,Inf,"REG-ON",14.4238401837369,3.77573506228679
0.964,"9",2,0.7,Inf,"REG-ON",55.1725374082129,43.2120494764109
0.979,"10",10,0.7,Inf,"REG-ON",52.6409186440552,40.473242662732
0.993,"11",50,0.7,Inf,"REG-ON",20.2116043177105,5.88744670483773
0.995,"12",200,0.7,Inf,"REG-ON",17.5857121546946,5.08654561545258
0.723,"13",2,0.9,Inf,"REG-ON",157.539121901495,121.585262211978
0.909,"14",10,0.9,Inf,"REG-ON",90.5596797416522,62.2505077277118
0.973,"15",50,0.9,Inf,"REG-ON",46.3674703464037,27.7376017598354
0.989,"16",200,0.9,Inf,"REG-ON",29.3633472465317,15.9546156507268
0.212,"17",2,1,Inf,"REG-ON",280.301875339588,252.77402828385
0.794,"18",10,1,Inf,"REG-ON",111.175876305462,83.9658987908771
0.962,"19",50,1,Inf,"REG-ON",54.6524074019577,48.749581539324
0.986,"20",200,1,Inf,"REG-ON",32.6888511783776,21.8907456561419
0,"21",2,1.1,Inf,"REG-ON",186.909928135441,164.755736273761
0.536,"22",10,1.1,Inf,"REG-ON",165.194629722045,146.254191573609
0.927,"23",50,1.1,Inf,"REG-ON",56.9555305693074,40.0976093487265
0.97,"24",200,1.1,Inf,"REG-ON",31.6740890104731,15.8033366510391
0,"25",2,1.2,Inf,"REG-ON",126.870187480452,88.4708334185677
0.143,"26",10,1.2,Inf,"REG-ON",224.961380703925,224.475247504787
0.89,"27",50,1.2,Inf,"REG-ON",78.444535712632,61.6782982654246
0.956,"28",200,1.2,Inf,"REG-ON",47.6450259957714,37.2043628435984
0,"29",2,1.3,Inf,"REG-ON",97.0153510012711,62.3544175530059
0.005,"30",10,1.3,Inf,"REG-ON",184.376425374837,177.691037311873
0.8,"31",50,1.3,Inf,"REG-ON",103.398253980343,81.9798363141152
0.929,"32",200,1.3,Inf,"REG-ON",54.280891789848,38.0579740732599
0,"33",2,1.4,Inf,"REG-ON",83.8970002307587,45.6527100180027
0.001,"34",10,1.4,Inf,"REG-ON",132.849422560378,111.818210335413
0.664,"35",50,1.4,Inf,"REG-ON",114.179416817734,88.5285720640079
0.887,"36",200,1.4,Inf,"REG-ON",66.5347906960078,49.0370913090111
0,"37",2,1.5,Inf,"REG-ON",68.5087789989091,35.1725369572747
0,"38",10,1.5,Inf,"REG-ON",98.5178279096701,69.2249640269454
0.438,"39",50,1.5,Inf,"REG-ON",163.238681245815,163.804206653204
0.825,"40",200,1.5,Inf,"REG-ON",80.0494781689374,68.5049271730904
0,"41",2,1.75,Inf,"REG-ON",54.9295595125578,27.098576558189
0,"42",10,1.75,Inf,"REG-ON",71.1404539317605,41.8902156266118
0.005,"43",50,1.75,Inf,"REG-ON",162.913992295136,158.508598846531
0.53,"44",200,1.75,Inf,"REG-ON",138.407249733681,127.252164930887
0,"45",2,2,Inf,"REG-ON",46.7533727490908,21.0159044523829
0,"46",10,2,Inf,"REG-ON",54.9171436467241,29.4219653554517
0,"47",50,2,Inf,"REG-ON",92.0648508049705,67.6607670588985
0.021,"48",200,2,Inf,"REG-ON",202.756959343755,213.736088708564
0,"49",2,2.25,Inf,"REG-ON",39.9089810159618,18.3094610371526
0,"50",10,2.25,Inf,"REG-ON",44.7128903656648,21.9663801196175
0,"51",50,2.25,Inf,"REG-ON",71.6698841702563,47.3918842314432
0,"52",200,2.25,Inf,"REG-ON",110.280126867704,90.1645693742473
0,"53",2,2.5,Inf,"REG-ON",35.5719172418134,15.6185026432549
0,"54",10,2.5,Inf,"REG-ON",41.5656948004858,20.1667436626301
0,"55",50,2.5,Inf,"REG-ON",54.863393770614,31.1345557378465
0,"56",200,2.5,Inf,"REG-ON",81.6418273663513,57.0768614366734
0,"57",2,2.75,Inf,"REG-ON",32.2473200396475,13.5922550857224
0,"58",10,2.75,Inf,"REG-ON",36.7493596825393,17.4647414054214
0,"59",50,2.75,Inf,"REG-ON",48.853435020495,26.5581132981488
0,"60",200,2.75,Inf,"REG-ON",63.9484213646414,39.002518161967
0,"61",2,3,Inf,"REG-ON",29.4050801469179,12.9742328432776
0,"62",10,3,Inf,"REG-ON",33.665453068003,15.7327278694855
0,"63",50,3,Inf,"REG-ON",43.2069830940764,23.0641263688564
0,"64",200,3,Inf,"REG-ON",54.3342902362711,32.5184100503119
0,"65",2,3.5,Inf,"REG-ON",25.9121173404999,11.4423278708255
0,"66",10,3.5,Inf,"REG-ON",28.7648112548709,13.0039089609929
0,"67",50,3.5,Inf,"REG-ON",35.799458632355,18.0347294396181
0,"68",200,3.5,Inf,"REG-ON",43.3603464663745,23.0799494491005
0,"69",2,4,Inf,"REG-ON",23.1141160090462,9.96570621477399
0,"70",10,4,Inf,"REG-ON",25.4305144169605,11.0186552224486
0,"71",50,4,Inf,"REG-ON",30.5636902494369,14.9426384902477
0,"72",200,4,Inf,"REG-ON",36.0698312447587,18.6521461255423
0,"73",2,4.5,Inf,"REG-ON",21.0338196762163,9.19960576101393
0,"74",10,4.5,Inf,"REG-ON",22.9869584151292,10.3073991327907
0,"75",50,4.5,Inf,"REG-ON",27.2378312058889,12.8545048318503
