"cell.type","mutant.effect","IC50","IC90","IC99"
"REG-ON","2",0.819868612749875,0.985865469258014,1.43522025064009
"REG-ON","10",0.97049941424216,1.15801756705111,1.57247768240138
"REG-ON","50",1.30670782274723,1.53133800325768,2.01601335465221
"REG-ON","200",1.53562525622743,1.8257322862486,1.9805621182799
"REG-OFF","2",0.815395727862289,0.984837952003196,1.43383554186351
"REG-OFF","10",0.941922356751272,1.20459329987553,1.38251673318999
"REG-OFF","50",1.12067718495272,1.72449101584,1.95686226283005
"REG-OFF","200",1.34962135514629,1.88128381477638,2.35463065453864
"REG-BURST","2",0.822395814000191,0.991261040895094,1.44389426510283
"REG-BURST","10",0.928511598761325,1.20224084143237,1.37240702330152
"REG-BURST","50",1.05533257045365,2.00131327248694,3.08063124419975
"REG-BURST","200",1.17533326496667,4.45412994826216,9.16801586243215
"STRUCT-BIND","2",0.818266844814137,0.987664467834196,1.43853445584634
"STRUCT-BIND","10",0.93328656892233,1.21021592026196,1.39121285866642
"STRUCT-BIND","50",1.04360774034688,2.03860653596107,3.1050974919815
"STRUCT-BIND","200",1.1796730582775,4.57034288237395,9.47023585178861
"STRUCT-CAT","2",0.800716972234771,0.933375448832003,0.994180252678909
"STRUCT-CAT","10",0.805867139435545,0.937077456139821,0.99543226292506
"STRUCT-CAT","50",0.803371596852407,0.933555985734697,1.12602778544979
"STRUCT-CAT","200",0.806819633066538,0.936984494063543,0.995411661332014
"WT","1",0.903449826449563,0.996233129757163,1.04739302985304
"KO","1",0.947452341619489,1.05611474281683,1.09904597273374
