"sim.label","seed","param.index"
1,2136215791,1
2,1200054420,1
3,1304079785,1
4,764879320,1
5,964023302,1
6,1242488074,1
7,1072087054,1
8,1193748810,1
9,1753682014,1
10,287209651,1
11,981695069,1
12,1014488580,1
13,276768915,1
14,468790973,1
15,827415863,1
16,65016718,1
17,423051171,1
18,460105852,1
19,610366240,1
20,510500972,1
21,892036167,1
22,1823255700,1
23,90836755,1
24,1522070465,1
25,1672848177,1
26,599092633,1
27,1035227166,1
28,835306882,1
29,1263799543,1
30,1484995697,1
31,1128238489,1
32,853800667,1
33,186484961,1
34,1749840523,1
35,740617188,1
36,608570132,1
37,521593220,1
38,670510683,1
39,2140974053,1
40,339416978,1
41,1269897956,1
42,513293500,1
43,1294518697,1
44,579239727,1
45,1776443657,1
46,1613375422,1
47,779854747,1
48,565412844,1
49,1555335394,1
50,1095779182,1
51,16801862,1
52,271453402,1
53,190484840,1
54,855882735,1
55,583050194,1
56,717661168,1
57,1499073,1
58,1267265344,1
59,1006937830,1
60,1060119257,1
61,578331536,1
62,1458677947,1
63,1214415991,1
64,387943767,1
65,633808089,1
66,1936357428,1
67,1379377862,1
68,1794060078,1
69,126757467,1
70,1756679058,1
71,793229706,1
72,343707627,1
73,92228210,1
74,550666324,1
75,1852743396,1
76,1599400707,1
77,1618637667,1
78,164719307,1
79,1848481114,1
80,2119246589,1
81,2082502682,1
82,1210797254,1
83,1482246328,1
84,794646784,1
85,623301693,1
86,1783167405,1
87,1712717320,1
88,546515583,1
89,870405954,1
90,1003173894,1
91,66315183,1
92,1392493132,1
93,2062860660,1
94,1519931724,1
95,175794562,1
96,65924383,1
97,1404087653,1
98,1806428646,1
99,583204888,1
100,124783092,1
101,756468255,1
102,2043439334,1
103,1842358099,1
104,1447685071,1
105,1747604657,1
106,867547269,1
107,452156713,1
108,728116283,1
109,632898418,1
110,968547196,1
111,1584127303,1
112,840736377,1
113,1277060586,1
114,134495136,1
115,1143909704,1
116,755637655,1
117,482453631,1
118,895901215,1
119,1851811520,1
120,1713738270,1
121,2019263163,1
122,1771758457,1
123,72561661,1
124,1018611811,1
125,2053637030,1
126,751328424,1
127,1601183311,1
128,1808239265,1
129,1887742755,1
130,1375970929,1
131,2035718499,1
132,1664324687,1
133,1174390649,1
134,1534526181,1
135,402748107,1
136,1801329842,1
137,689564960,1
138,1043005710,1
139,1418641665,1
140,1806255509,1
141,1134422415,1
142,1999127536,1
143,1170291763,1
144,1241001361,1
145,754150574,1
146,1183067509,1
147,930072064,1
148,2073358914,1
149,1148913713,1
150,1590313448,1
151,1590928401,1
152,979919532,1
153,841469977,1
154,1655803107,1
155,277490081,1
156,1404407635,1
157,2108413839,1
158,877774679,1
159,809857814,1
160,1299715178,1
161,1685382508,1
162,1038430110,1
163,289323521,1
164,872613808,1
165,578626072,1
166,160064300,1
167,1361320610,1
168,1203709978,1
169,855373800,1
170,166687332,1
171,1256159823,1
172,945369796,1
173,1017649064,1
174,1539887730,1
175,1959394925,1
176,309262381,1
177,475707724,1
178,946508678,1
179,2039499093,1
180,1389757308,1
181,71613219,1
182,1657434590,1
183,1418931818,1
184,1718478828,1
185,1099798583,1
186,44653749,1
187,1622493568,1
188,736163458,1
189,1788201340,1
190,189661509,1
191,1515140256,1
192,1598624065,1
193,347500292,1
194,1068175585,1
195,349338124,1
196,933405101,1
197,500997663,1
198,104438563,1
199,1625394032,1
200,1022237684,1
201,295471726,1
202,1780184963,1
