"sim.label","seed","param.index"
1,456584164,1
2,897148836,1
3,1943375569,1
4,1666956628,1
5,1800664880,1
6,1718875386,1
7,1980910274,1
8,453747798,1
9,520548961,1
10,1134792043,1
11,991618709,1
12,1882559579,1
13,1731594656,1
14,1195913346,1
15,1327011844,1
16,67586232,1
17,723236798,1
18,1415905853,1
19,500977835,1
20,1957572678,1
21,1128622643,1
22,431048760,1
23,450630259,1
24,2145392057,1
25,605613423,1
26,587089842,1
27,1130805893,1
28,758050541,1
29,1696052515,1
30,264922963,1
31,99221894,1
32,619258284,1
33,168137555,1
34,89863795,1
35,577286707,1
36,298218000,1
37,2025996846,1
38,421067651,1
39,1370482572,1
40,84544586,1
41,771220821,1
42,262690809,1
43,1184582824,1
44,1275245287,1
45,1739211792,1
46,1792662429,1
47,474867072,1
48,1265475756,1
49,2099873948,1
50,2116875495,1
51,988488170,1
52,2053695259,1
53,928758214,1
54,1710914082,1
55,2001523557,1
56,746475961,1
57,1766759165,1
58,72023275,1
59,969360047,1
60,1403887711,1
61,1568776689,1
62,1693054606,1
63,378262302,1
64,735902790,1
65,49441944,1
66,1595491996,1
67,1541927812,1
68,1380808152,1
69,158302575,1
70,447229769,1
71,1531923516,1
72,929456661,1
73,352061682,1
74,1992247386,1
75,1913644102,1
76,624844852,1
77,468738744,1
78,1645807926,1
79,1871194769,1
80,1478463939,1
81,173492762,1
82,1193332625,1
83,1736902998,1
84,608121776,1
85,1351128931,1
86,1975237412,1
87,1073425398,1
88,891085370,1
89,540952762,1
90,614074087,1
91,1764734256,1
92,1728412947,1
93,1745636050,1
94,462256762,1
95,915075618,1
96,1669277186,1
97,992713082,1
98,1724621216,1
99,1468381267,1
100,973324782,1
101,600975613,1
102,267917860,1
103,1070649904,1
104,1767197367,1
105,267773434,1
106,907782785,1
107,1573205975,1
108,1505806727,1
109,1967546576,1
110,1435173377,1
111,1865891390,1
112,791644158,1
113,463302827,1
114,88593506,1
115,377593987,1
116,1554030910,1
117,1069481527,1
118,1208167748,1
119,818819920,1
120,1781437062,1
121,392559963,1
122,836051649,1
123,465653460,1
124,1822335622,1
125,1931817281,1
126,1916390051,1
127,399245327,1
128,1967178135,1
129,826253897,1
130,797561634,1
131,339513040,1
132,963959085,1
133,2000398396,1
134,349167096,1
135,905236662,1
136,1596302167,1
137,1078282863,1
138,1380838135,1
139,1405429238,1
140,531149315,1
141,984518691,1
142,1170626627,1
143,341310395,1
144,1894601724,1
145,2031028569,1
146,1002811451,1
147,436029324,1
148,683085499,1
149,1338540164,1
150,2065167561,1
151,921485772,1
152,1567756605,1
153,1644911473,1
154,1391167430,1
155,1519565234,1
156,1719028635,1
157,1900043486,1
158,384560483,1
159,1528996727,1
160,1093472095,1
161,1318437716,1
162,535964520,1
163,1713907670,1
164,805129518,1
165,377459803,1
166,713723545,1
167,126050365,1
168,1573986911,1
169,1257891819,1
170,1982119371,1
171,2061229817,1
172,138369827,1
173,400777622,1
174,1902336781,1
175,772350568,1
176,671842335,1
177,672011304,1
178,2057171959,1
179,398461412,1
180,672835747,1
181,35398441,1
182,695152163,1
183,1584985289,1
184,143731900,1
185,2031876967,1
186,147039387,1
187,1968290943,1
188,539814358,1
189,325827661,1
190,1336041865,1
191,1346138324,1
192,937853260,1
193,1078009505,1
194,773132412,1
195,1147262968,1
196,1968928875,1
197,592174018,1
198,136977592,1
199,1418870838,1
200,295688171,1
201,1344421337,1
202,1201577218,1
203,1175305567,1
204,198369678,1
205,1337486674,1
206,1752888944,1
207,83084099,1
208,2007435750,1
209,1767900961,1
210,388981472,1
211,1544410872,1
212,1199605838,1
213,1221186919,1
214,857869105,1
215,1168109725,1
216,62148547,1
217,307217971,1
218,1449182564,1
219,192621195,1
220,1843019491,1
221,1117686509,1
222,789858121,1
223,1415557883,1
224,291522481,1
225,1056673150,1
226,1113085155,1
227,2016476872,1
228,965040702,1
229,291004697,1
230,1551385046,1
231,793085750,1
232,1739894148,1
233,547711235,1
234,1845033410,1
