"survive","param.index","mutant.effect","drug.outsideConcentration.MULT","drug.off","extinction.time","extinction.time.sd","num.reps","cell.type"
1,"1",2,0,Inf,NA,NA,1000,"REG-ON"
1,"2",10,0,Inf,NA,NA,1000,"REG-ON"
1,"3",50,0,Inf,NA,NA,1000,"REG-ON"
1,"4",200,0,Inf,NA,NA,1000,"REG-ON"
0.955,"5",2,0.5,Inf,30.0685533079742,18.6404723648625,1000,"REG-ON"
0.966,"6",10,0.5,Inf,32.3582242032404,22.2962085066208,1000,"REG-ON"
0.987,"7",50,0.5,Inf,31.4756694218471,18.2258657243796,1000,"REG-ON"
0.981,"8",200,0.5,Inf,20.5336670960978,8.12275938072306,1000,"REG-ON"
0.848,"9",2,0.7,Inf,77.0257694854774,69.510545016672,1000,"REG-ON"
0.917,"10",10,0.7,Inf,59.6569575572566,53.5293304332013,1000,"REG-ON"
0.959,"11",50,0.7,Inf,29.7644699455602,22.162709278227,1000,"REG-ON"
0.978,"12",200,0.7,Inf,24.6504105190981,17.7600610190638,1000,"REG-ON"
0.277,"13",2,0.9,Inf,220.756716350209,227.183560880608,1000,"REG-ON"
0.685,"14",10,0.9,Inf,106.681323555742,95.4365082087658,1000,"REG-ON"
0.897,"15",50,0.9,Inf,48.5600870122378,40.9473538266715,1000,"REG-ON"
0.946,"16",200,0.9,Inf,33.9594286488892,26.4040028918849,1000,"REG-ON"
0.009,"17",2,1,Inf,211.300338599032,210.222329960945,1000,"REG-ON"
0.463,"18",10,1,Inf,152.26408190941,163.803389016148,1000,"REG-ON"
0.852,"19",50,1,Inf,58.0528466494074,53.0362013717093,1000,"REG-ON"
0.915,"20",200,1,Inf,41.3508703700345,33.6353416767315,1000,"REG-ON"
0,"21",2,1.1,Inf,138.877898020949,111.836172410018,1000,"REG-ON"
0.14,"22",10,1.1,Inf,224.055239843554,233.349263652352,1000,"REG-ON"
0.762,"23",50,1.1,Inf,79.5318899037949,66.1124825617969,1000,"REG-ON"
0.891,"24",200,1.1,Inf,53.2697688902007,48.9824447143412,1000,"REG-ON"
0,"25",2,1.2,Inf,106.874494260748,79.76886642481,1000,"REG-ON"
0.011,"26",10,1.2,Inf,179.896264186612,180.739757040806,1000,"REG-ON"
0.665,"27",50,1.2,Inf,89.9049874569934,86.8602924230734,1000,"REG-ON"
0.819,"28",200,1.2,Inf,58.0799782207762,46.4900722935129,1000,"REG-ON"
0,"29",2,1.3,Inf,91.1364618466119,60.6301184545845,1000,"REG-ON"
0,"30",10,1.3,Inf,133.661453292495,122.785515381101,1000,"REG-ON"
0.551,"31",50,1.3,Inf,130.612804670507,126.435850938773,1000,"REG-ON"
0.785,"32",200,1.3,Inf,65.6802412591817,52.1684180736429,1000,"REG-ON"
0,"33",2,1.4,Inf,77.6612364978706,52.6675962088661,1000,"REG-ON"
0,"34",10,1.4,Inf,108.669661907886,85.6149727391871,1000,"REG-ON"
0.308,"35",50,1.4,Inf,194.892160134586,215.857517578173,1000,"REG-ON"
0.679,"36",200,1.4,Inf,91.3473965310561,86.6497158258977,1000,"REG-ON"
0,"37",2,1.5,Inf,68.6875586290291,43.819715004776,1000,"REG-ON"
0,"38",10,1.5,Inf,91.5537628432788,64.9883295150801,1000,"REG-ON"
0.094,"39",50,1.5,Inf,201.632550934909,217.859077658154,1000,"REG-ON"
0.568,"40",200,1.5,Inf,108.092021209678,112.369030452483,1000,"REG-ON"
0,"41",2,1.75,Inf,54.3751744139063,32.0294991646997,1000,"REG-ON"
0,"42",10,1.75,Inf,66.8267947738272,42.9581064092158,1000,"REG-ON"
0,"43",50,1.75,Inf,123.403403796599,109.545342989168,1000,"REG-ON"
0.161,"44",200,1.75,Inf,191.819070346801,215.268156722469,1000,"REG-ON"
0,"45",2,2,Inf,46.9046631790102,26.7240985288653,1000,"REG-ON"
0,"46",10,2,Inf,52.0690246970779,31.184684598818,1000,"REG-ON"
0,"47",50,2,Inf,82.0587908293368,69.5457149678787,1000,"REG-ON"
0.001,"48",200,2,Inf,137.328907175922,142.294085301851,1000,"REG-ON"
0,"49",2,2.25,Inf,40.4009471795618,21.2278415053106,1000,"REG-ON"
0,"50",10,2.25,Inf,48.4783087102003,29.4746322681197,1000,"REG-ON"
0,"51",50,2.25,Inf,65.8869145069354,45.7324655096754,1000,"REG-ON"
0,"52",200,2.25,Inf,94.7633328675451,81.7140329582656,1000,"REG-ON"
0,"53",2,2.5,Inf,36.7845109199153,19.0534919601386,1000,"REG-ON"
0,"54",10,2.5,Inf,41.6854122866269,24.3018291501489,1000,"REG-ON"
